N	2gram	Vygotskiy_	OGranits
1	и в	55	13
2	и его	10	12
3	прежде всего	6	9
4	и не	19	8
5	не может	15	8
6	может быть	34	8
7	в его	8	7
8	и их	3	7
9	точки зрения	15	7
10	эстетический объект	3	7
11	не только	24	6
12	мы должны	10	6
13	как бы	33	6
14	таким образом	35	6
15	только в	12	6
16	то что	69	6
17	в поэзии	5	5
18	все же	11	5
19	с точки	5	5
20	и эта	2	5
21	но ведь	2	5
22	и наконец	5	5
23	хотя бы	5	5
24	в музыке	2	5
25	художественного произведения	3	5
26	мы можем	8	4
27	но в	7	4
28	то же	16	4
29	в сознании	2	4
30	но мы	4	4
31	тех пор	2	4
32	не является	3	4
33	в своей	8	4
34	все это	8	4
35	было бы	15	4
36	в двух	9	4
37	вопроса о	2	4
38	мы не	8	4
39	в каждом	2	4
40	слов и	2	4
41	до тех	2	4
42	никогда не	15	3
43	да и	4	3
44	одно и	3	3
45	и для	13	3
46	и то	12	3
47	со всей	4	3
48	и все	15	3
49	материала и	6	3
50	в ее	3	3
51	превращается в	2	3
52	с этим	4	3
53	при анализе	2	3
54	отношению к	2	3
55	и уже	4	3
56	как и	9	3
57	в пределах	3	3
58	не в	12	3
59	в их	3	3
60	ни один	2	3
61	так как	20	3
62	понятно что	6	3
63	в себе	13	3
64	что в	43	3
65	по отношению	3	3
66	самом деле	17	3
67	пор пока	2	3
68	так и	6	3
69	в которой	4	3
70	не как	3	3
71	в одном	5	3
72	в искусстве	12	3
73	здесь мы	2	3
74	но и	16	3
75	в самом	18	2
76	могут быть	8	2
77	мы видим	13	2
78	в этом	30	2
79	смысле слова	2	2
80	в них	7	2
81	данном случае	4	2
82	которые только	2	2
83	кажется что	2	2
84	уже в	7	2
85	в том	50	2
86	тем что	8	2
87	в отношении	2	2
88	есть не	7	2
89	несмотря на	5	2
90	в целом	7	2
91	если бы	21	2
92	элемента в	2	2
93	думать что	3	2
94	с одной	15	2
95	не имеет	2	2
96	зависимости от	9	2
97	и др	2	2
98	ее в	2	2
99	во времени	2	2
100	в действительности	2	2
101	с другой	12	2
102	там где	6	2
103	слова и	2	2
104	а в	7	2
105	и тем	6	2
106	том что	46	2
107	а как	3	2
108	и к	5	2
109	этот материал	2	2
110	в зависимости	7	2
111	в данном	4	2
112	и следовательно	3	2
113	все эти	5	2
114	художественное произведение	5	2
115	в области	2	2
116	что эта	8	2
117	так же	19	2
118	что они	11	2
119	мы уже	7	2
120	те же	3	2
121	героя и	9	2
122	нуждается в	3	2
123	и при	3	2
124	с этой	5	2
125	и может	3	2
126	в своих	9	2
127	его на	2	2
128	в нем	13	2
129	он только	3	2
130	в тех	3	2
131	при этом	11	2
132	каждый элемент	2	2
133	что иное	2	2
134	а не	16	2
135	в ней	5	2
136	вслед за	3	2
137	еще в	2	2
138	в течение	2	2
139	как в	4	2
140	другой стороны	8	2
141	во всем	3	2
142	мог бы	3	2
143	и является	2	2
144	одной стороны	15	2
145	бы в	7	2
146	между тем	4	2
147	мы получим	2	2
148	и этот	2	2
149	которое мы	3	2
150	на язык	2	2
151	имеет место	3	2
152	тот же	5	2
153	иное как	2	2
154	не что	2	2
155	в другом	3	2
156	самого начала	5	2
157	вовсе не	8	2
158	к сожалению	2	2
159	с самого	5	2
160	к тому	12	2
161	против такого	2	2
162	с помощью	3	2
163	для него	5	2
