N	3gram	Tiupa_Anal	Dialekti
1	с точки зрения	2	46
2	по крайней мере	5	26
3	сама по себе	3	26
4	в том что	12	25
5	не может быть	2	18
6	тем не менее	3	16
7	сам по себе	2	16
8	то же время	7	15
9	в то же	7	14
10	в таком случае	2	14
11	о том что	7	12
12	с другой стороны	7	12
13	подобно тому как	3	9
14	не только не	3	8
15	той или иной	6	7
16	можно сказать что	2	7
17	так или иначе	5	7
18	и прежде всего	2	6
19	крайней мере в	2	6
20	во всяком случае	6	6
21	с одной стороны	3	6
22	в сравнении с	2	6
23	одной и той	2	5
24	и той же	2	5
25	в данном случае	11	4
26	к тому же	7	4
27	в этом отношении	3	4
28	с той или	2	4
29	и как бы	2	3
30	одних и тех	2	3
31	как и в	6	3
32	речь идет о	2	3
33	не только в	5	3
34	и тех же	2	3
35	того или иного	5	3
36	в той или	2	3
37	что он не	2	2
38	тот или иной	3	2
39	в чистом виде	2	2
40	дело в том	3	2
41	в свою очередь	7	2
42	мы имеем дело	4	2
43	и то что	2	2
