N	3gram	Vygotskiy_	Vladivir
1	в том что	30	29
2	о том что	10	22
3	в то время	5	13
4	дело в том	2	13
5	во всяком случае	5	12
6	в связи с	3	12
7	в то же	2	10
8	с точки зрения	34	10
9	не может быть	8	10
10	вместе с тем	5	10
11	то же время	2	9
12	то что он	2	9
13	в этом смысле	3	9
14	на то что	9	8
15	на первый план	3	7
16	точно так же	2	7
17	том что он	2	6
18	в данном случае	5	6
19	том что в	3	6
20	в отличие от	3	6
21	с другой стороны	10	6
22	само по себе	3	6
23	то время как	4	5
24	и потому что	2	5
25	то что в	2	5
26	сам по себе	3	4
27	можно сказать что	5	4
28	как мы уже	4	4
29	в этом отношении	6	4
30	в том же	3	4
31	можно было бы	6	4
32	заключается в том	10	4
33	с одной стороны	14	4
34	для того чтобы	19	4
35	в том чтобы	6	4
36	что он не	2	3
37	с самого начала	9	3
38	и в отношении	3	3
39	в первую очередь	3	3
40	в том числе	3	3
41	только то что	2	3
42	в самом деле	5	3
43	мы хотели бы	3	3
44	и речи с	2	3
45	и в частности	3	3
46	не только не	2	3
47	а с другой	6	3
48	к тому что	3	3
49	в последнее время	3	3
50	в свою очередь	3	3
51	но вместе с	5	2
52	и то же	2	2
53	и в своем	2	2
54	если бы мы	3	2
55	то обстоятельство что	2	2
56	так же как	6	2
57	есть прежде всего	2	2
58	до сих пор	4	2
59	сказать что это	2	2
60	вопрос об отношении	6	2
61	одно и то	2	2
62	одной стороны и	3	2
63	говорит что в	2	2
64	то что у	2	2
65	так как он	3	2
66	что даже в	2	2
67	мы уже видели	2	2
68	независимо от того	2	2
