N	3gram	Ircho_Kome	Mirosoze
1	в том что	15	9
2	для того чтобы	8	7
3	в высшей степени	2	7
4	о том что	7	6
5	и там и	3	6
6	там и здесь	3	6
7	вместе с тем	5	6
8	после того как	3	5
9	до сих пор	12	5
10	что и в	2	5
11	потому что в	2	4
12	по отношению к	4	4
13	в конце концов	3	4
14	что он не	3	4
15	и в самом	7	4
16	то время как	3	4
17	в то время	3	4
18	во всяком случае	3	3
19	так как он	2	3
20	по сравнению с	3	3
21	т е в	2	2
22	в чем не	2	2
23	в этом отношении	2	2
24	ни в чем	2	2
25	именно потому что	2	2
26	ни у кого	2	2
