N	3gram	Vygotskiy_	Narrotol
1	в том что	41	18
2	по отношению к	3	11
3	в отличие от	8	11
4	о том что	3	9
5	той или иной	2	8
6	тем не менее	6	8
7	в этом отношении	9	8
8	не может быть	5	8
9	и тем самым	3	6
10	с одной стороны	8	6
11	в известном смысле	2	6
12	состоит в том	4	6
13	для того чтобы	14	5
14	в свою очередь	3	5
15	во всяком случае	10	4
16	то же самое	9	3
17	в этом и	2	3
18	речь идет о	2	3
19	точно так же	4	3
20	того или иного	2	3
21	в связи с	8	3
22	с точки зрения	11	3
23	заключает в себе	3	3
24	в самом деле	4	3
25	до сих пор	3	3
26	в зависимости от	6	3
27	на то что	5	3
28	друг на друга	3	3
29	и то что	3	3
30	одно и то	6	2
31	как если бы	2	2
32	и то же	6	2
33	более или менее	3	2
34	а с другой	4	2
35	тому или иному	4	2
36	друг друга как	2	2
37	одного и того	5	2
38	здесь мы имеем	2	2
39	можно было бы	8	2
40	так же как	9	2
41	что иное как	2	2
42	в том смысле	3	2
43	только потому что	2	2
44	на этот раз	2	2
45	и того же	5	2
46	сами по себе	4	2
47	все же не	2	2
