N	3gram	Bakhtin_Fr	Freidism
1	с точки зрения	5	15
2	не может быть	4	14
3	в самом деле	2	10
4	в том что	8	9
5	как мы видели	4	8
6	и прежде всего	4	7
7	в то же	14	6
8	то же время	14	6
9	в большинстве случаев	5	5
10	можно сказать что	4	5
11	как мы уже	6	5
12	с самого начала	3	5
13	на первый план	3	4
14	в этом отношении	7	4
15	в данном случае	4	4
16	на самом деле	4	4
17	с помощью которых	2	4
18	все то что	5	3
19	точку зрения на	3	3
20	но в общем	2	3
21	но в то	6	3
22	и тот же	2	3
23	о том что	5	3
24	для того чтобы	8	3
25	до сих пор	3	3
26	мы видели что	2	3
27	нужно отметить что	3	2
28	то же самое	3	2
29	таким образом в	3	2
30	в другом месте	3	2
31	в отличие от	3	2
32	с одной стороны	2	2
33	что и в	2	2
34	на самом же	4	2
35	а также и	4	2
36	самом же деле	4	2
37	в чем же	3	2
38	он не только	2	2
39	это и есть	2	2
