N	2gram	Losev_Dial	Myshleni
1	в том	20	195
2	в этом	18	167
3	то что	25	166
4	и в	35	162
5	том что	18	161
6	таким образом	5	147
7	точки зрения	25	143
8	что в	19	119
9	не только	26	116
10	того что	6	109
11	так же	6	100
12	потому что	23	95
13	может быть	30	89
14	с точки	18	89
15	что он	16	86
16	не может	16	81
17	как и	10	79
18	так как	24	78
19	для того	2	78
20	и не	51	78
21	только в	7	75
22	как мы	5	72
23	но и	17	70
24	заключается в	4	67
25	в его	4	67
26	сказать что	19	65
27	как бы	19	64
28	вместе с	3	62
29	в качестве	2	60
30	и что	17	60
31	было бы	14	60
32	то же	21	58
33	в основе	4	58
34	в отношении	5	55
35	что мы	3	53
36	в силу	6	53
37	в самом	6	52
38	в сущности	2	51
39	по сравнению	2	51
40	мы должны	6	50
41	к тому	6	49
42	что они	8	48
43	мы можем	5	48
44	тем что	2	48
45	тогда когда	6	47
46	понятий и	2	47
47	сравнению с	2	46
48	если бы	12	46
49	но не	9	45
50	с другой	10	45
51	с тем	2	43
52	же как	3	43
53	как это	8	42
54	тому что	4	42
55	не является	3	41
56	по своей	5	40
57	одной стороны	3	40
58	о том	8	40
59	так и	18	39
60	никогда не	18	39
61	с одной	4	39
62	в области	2	38
63	вопрос о	3	37
64	не в	12	37
65	если мы	3	37
66	в этой	3	37
67	и к	8	37
68	мы видим	6	37
69	в своем	7	36
70	с самого	2	36
71	все эти	4	36
72	и его	6	36
73	самого начала	2	36
74	как в	3	36
75	а не	24	36
76	друг с	2	35
77	с другом	2	35
78	можно было	5	35
79	он не	5	35
80	в которой	3	35
81	в себе	23	35
82	и как	14	34
83	связи с	3	34
84	при этом	2	33
85	прежде всего	14	33
86	по себе	39	33
87	что и	7	32
88	именно в	4	32
89	по своему	4	32
90	же самое	3	32
91	но в	8	32
92	и тем	2	32
93	что оно	9	32
94	развития и	2	31
95	и то	15	31
96	из того	2	31
97	все же	9	31
98	мысли и	3	30
99	этом отношении	2	30
100	на то	5	30
101	между тем	3	29
102	могут быть	6	29
103	показывает что	2	29
104	от того	2	29
105	как известно	3	29
106	с этим	5	28
107	самом деле	6	28
108	что с	2	28
109	что все	2	27
110	в своей	9	27
111	только что	5	27
112	с этой	3	27
113	в результате	2	27
114	в то	10	27
115	перед нами	3	27
116	другой стороны	7	27
117	и с	10	27
118	мысли в	2	26
119	в их	5	26
120	в частности	4	26
121	что это	21	26
122	для него	2	26
123	все это	14	25
124	по мере	3	25
125	еще не	4	25
126	уже в	5	25
127	что она	18	25
128	это не	18	25
129	только не	2	25
130	в чем	9	25
131	можно сказать	10	25
132	своего развития	2	25
133	мы уже	8	25
134	так что	21	24
135	в какой	3	24
136	что эта	5	24
137	в нем	25	24
138	того как	3	24
139	зависимости от	2	24
140	в смысле	5	24
141	в сфере	2	24
142	как он	5	23
143	бы в	3	23
144	ни в	20	23
145	во всяком	5	22
146	в зависимости	2	22
147	не могут	4	22
148	то время	3	22
149	отношение к	5	21
150	все время	4	21
151	и более	7	21
152	его в	3	21
153	к этому	2	21
154	и все	11	21
155	ее в	2	21
156	и следовательно	7	21
157	не имеет	15	21
158	в сознании	3	21
159	к выводу	2	20
160	в котором	5	20
161	в виду	9	20
162	по существу	2	20
163	а в	8	20
164	должно быть	7	20
165	время как	7	20
166	из них	5	20
167	как раз	7	20
168	в другом	6	20
169	и их	5	20
170	на этом	4	20
171	не менее	5	20
172	говорит что	3	20
173	из этих	2	20
174	но мы	3	19
175	об отношении	6	19
176	в данном	5	19
177	с ним	9	19
178	в той	4	19
179	но если	6	19
180	а с	2	19
181	и по	5	19
182	во всех	3	19
183	мы и	3	19
184	один из	3	19
185	в связи	3	19
186	независимо от	2	19
187	во всем	3	18
188	и другое	3	18
189	всяком случае	3	18
190	но это	12	18
191	этом смысле	4	18
192	для этого	2	17
193	мы находим	7	17
194	на деле	2	17
195	сих пор	4	17
196	и для	2	17
197	все что	2	17
198	в одном	4	17
199	и от	5	17
200	этой точки	2	17
201	то и	3	17
202	и есть	20	17
203	и только	5	17
204	не есть	67	17
205	в этих	6	17
206	их в	2	17
207	тем же	3	17
208	я не	9	17
209	у него	2	17
210	до сих	4	17
211	вовсе не	19	16
212	выводу что	2	16
213	такой же	2	16
214	то в	8	16
215	и даже	23	16
216	в которых	2	16
217	мы имеем	4	16
218	которые не	2	16
219	вопрос об	5	15
220	тем более	2	15
221	когда он	2	15
222	но как	7	15
