N	2gram	Berdyaev_O	Problemy
1	и в	19	106
2	и не	13	90
3	как бы	3	70
4	может быть	11	66
5	т е	4	59
6	в его	7	56
7	в этом	12	52
8	в нем	10	51
9	не может	4	49
10	из подполья	11	48
11	что он	3	44
12	как и	6	44
13	у достоевского	19	43
14	но и	13	40
15	для него	5	39
16	и его	4	39
17	а не	11	38
18	не только	11	36
19	то что	5	33
20	но в	2	33
21	прежде всего	9	32
22	все это	6	29
23	он не	7	29
24	и все	10	28
25	не в	11	27
26	к нему	3	25
27	в самом	5	25
28	и с	2	25
29	и на	2	23
30	по себе	2	22
31	никогда не	9	20
32	все же	2	20
33	потому что	9	20
34	что в	4	19
35	достоевского в	3	19
36	с его	4	19
37	что же	2	19
38	в себе	3	18
39	все эти	4	18
40	еще не	3	18
41	это не	3	17
42	в том	5	17
43	так и	2	17
44	а в	5	17
45	и к	2	17
46	с ним	3	17
47	в другом	2	16
48	в своей	2	16
49	до конца	7	15
50	достоевского не	4	15
51	и для	2	15
52	у него	22	15
53	так как	2	14
54	в своем	2	14
55	лишь в	7	14
56	его в	2	13
57	достоевского и	5	13
58	в романах	4	13
59	том что	2	12
60	ничего не	2	12
61	так что	2	12
62	что и	2	12
63	было бы	3	12
64	для достоевского	5	12
65	не могут	3	11
66	он сам	4	11
67	должно быть	2	11
68	тем что	2	11
69	отношение к	5	10
70	что не	4	10
71	в самой	9	10
72	в творчестве	5	10
73	романах достоевского	3	10
74	и потому	2	9
75	в единстве	2	9
76	могут быть	3	9
77	ивана карамазова	7	9
78	хотя и	2	9
79	хотя бы	3	9
80	достоевского но	2	9
81	человека в	11	9
82	что у	2	9
83	героев достоевского	2	9
84	но он	7	9
85	романов достоевского	2	8
86	уже в	2	8
87	как к	2	8
88	и о	2	8
89	того что	3	8
90	произведений достоевского	2	8
91	самого достоевского	3	8
92	и от	3	8
93	и он	8	8
94	достоевского нет	2	8
95	в человеке	9	8
96	о том	3	8
97	герои достоевского	4	8
98	вопрос о	10	7
99	от него	7	7
100	в этих	3	7
101	он в	2	7
102	что все	2	7
103	о достоевском	2	7
104	что они	2	7
105	и ее	3	7
106	сказать что	2	7
107	мысли и	3	7
108	не было	9	7
109	достоевский не	4	6
110	и этим	2	6
111	достоевского с	2	6
112	и нет	2	6
113	этого мира	2	6
114	и вот	3	6
115	него в	5	6
116	человек и	4	6
117	в этой	5	6
118	в своих	3	6
119	его героев	2	6
120	и то	2	5
121	творчество достоевского	2	5
122	ведь это	2	5
123	достоевского к	2	5
124	с тем	2	5
125	в уста	2	5
126	в ее	2	5
127	записок из	5	5
128	него не	2	5
129	когда он	3	5
130	достоевского он	7	4
131	даже и	2	4
132	он был	8	4
133	которую он	2	4
134	подполья и	3	4
135	него и	4	4
136	в которой	2	4
137	это было	3	4
138	и мысли	4	4
139	все что	3	4
140	не есть	2	4
141	все в	4	4
142	в записках	3	3
143	человека и	10	3
144	иван карамазов	2	3
145	достоевского было	3	3
146	достоевский был	3	3
147	всего в	2	3
148	совсем не	2	3
149	того чтобы	4	3
150	в других	2	3
151	ее в	2	3
152	художественном творчестве	2	3
153	и есть	3	3
154	ивана и	2	3
155	его мысли	4	3
156	все еще	2	3
157	чем в	2	3
158	записках из	3	2
159	человека все	2	2
160	к этому	2	2
161	своей жизни	2	2
162	и ни	2	2
163	человека а	2	2
164	одно из	2	2
165	в душе	2	2
166	что достоевский	2	2
167	и там	2	2
168	с которой	2	2
169	человеческого духа	3	2
170	и очень	2	2
171	достоевским и	2	2
172	же это	2	2
173	самое главное	2	2
174	достоевский прежде	2	2
175	в россии	5	2
176	любовь к	2	2
177	и душа	2	2
178	не все	2	2
179	в этот	2	2
180	есть лишь	4	2
181	образ человека	2	2
182	для того	3	2
183	в истории	2	2
184	к ней	2	2
185	на западе	2	2
186	не имеет	2	2
187	что для	2	2
188	только и	4	2
189	в преступлении	4	2
190	много раз	2	2
191	особенность достоевского	2	2
192	человек не	7	2
