N	3gram	Potebnia_M	Problemy
1	то же время	8	26
2	в то же	8	26
3	с точки зрения	2	25
4	по отношению к	10	18
5	и т п	7	18
6	в этом смысле	2	16
7	на самом деле	4	15
8	не может быть	7	14
9	в большинстве случаев	2	12
10	до сих пор	4	10
11	во всяком случае	3	9
12	с другой стороны	4	9
13	в том что	22	8
14	сама по себе	3	7
15	и т д	5	7
16	том что он	2	6
17	между тем как	4	6
18	а не как	2	5
19	по крайней мере	8	5
20	сам по себе	9	5
21	подобно тому как	3	5
22	тем не менее	7	4
23	более или менее	6	4
24	о том что	5	4
25	так и в	2	4
26	само по себе	6	4
27	как и в	3	4
28	а между тем	6	4
29	сами по себе	3	4
30	в этом отношении	2	4
31	смысле этого слова	9	4
32	все то что	2	3
33	и то же	7	3
34	в то время	7	3
35	того и другого	2	3
36	то что я	2	3
37	в данном случае	3	3
38	нам кажется что	3	3
39	на то что	3	3
40	одно и то	7	3
41	в эту минуту	4	3
42	не только не	4	3
43	и в самом	3	3
44	то время как	3	3
45	в этом случае	2	3
46	то же что	5	3
47	а может быть	2	3
48	можно сказать что	3	3
49	и в слове	3	2
50	что и в	4	2
51	то же самое	3	2
52	но тем не	4	2
53	одна и та	2	2
54	то что в	2	2
55	и в том	3	2
56	и та же	2	2
57	что он не	3	2
58	этого слова и	2	2
59	рано или поздно	2	2
60	слово может быть	4	2
61	друг от друга	2	2
62	не только в	4	2
63	к тому что	3	2
64	в том же	2	2
65	в этом последнем	2	2
66	вместе с тем	5	2
67	для того чтобы	5	2
68	как бы ни	4	2
69	в свою очередь	6	2
70	этого слова в	2	2
