N	3gram	Vygotskiy_	VeschiIm
1	это значит что	4	25
2	не может быть	4	24
3	не что иное	2	12
4	что иное как	2	12
5	в том что	33	9
6	есть не что	2	8
7	в самом деле	6	7
8	на то что	5	7
9	сама по себе	4	7
10	по сравнению с	9	7
11	то и другое	2	6
12	с точки зрения	12	6
13	подобно тому как	6	5
14	в свою очередь	4	5
15	и то что	6	5
16	с этой точки	7	4
17	не только не	7	4
18	то время как	4	4
19	этой точки зрения	7	4
20	о том как	3	4
21	о том что	7	4
22	в то время	4	4
23	само по себе	2	4
24	от того что	6	4
25	мы не можем	2	3
26	из того что	4	3
27	можно сказать что	7	3
28	мы говорим что	2	3
29	в собственном смысле	2	3
30	можно было бы	8	3
31	не может не	3	3
32	вместе с тем	4	3
33	заключается в том	12	3
34	так что в	2	3
35	с одной стороны	10	3
36	только то что	2	3
37	с другой стороны	8	3
38	мы видели что	2	3
39	во всяком случае	2	2
40	в этом и	2	2
41	хотя бы в	2	2
42	бы сказать что	3	2
43	но все же	2	2
44	что только в	2	2
45	для того чтобы	20	2
46	в этом отношении	7	2
47	том что он	3	2
48	к тому что	5	2
49	то что он	3	2
50	в связи с	6	2
51	мы видим что	2	2
52	в конце концов	2	2
53	так же как	9	2
54	вопрос о том	4	2
55	друг с другом	10	2
56	только тогда когда	2	2
57	в данном случае	3	2
58	в этом смысле	5	2
59	остановиться на этом	2	2
60	и в частности	3	2
61	мы имеем дело	2	2
62	в первом случае	2	2
63	в свое время	2	2
64	тех или иных	2	2
65	в том чтобы	3	2
