N	2gram	Vinokur_Ku	VeschiIm
1	т е	54	81
2	не есть	4	79
3	и не	23	57
4	не только	29	48
5	то что	14	48
6	не может	13	46
7	и в	44	45
8	и есть	3	40
9	может быть	25	39
10	и т	62	39
11	т д	21	38
12	а не	17	37
13	что я	4	26
14	потому что	40	25
15	было бы	28	24
16	не просто	7	24
17	в себе	4	23
18	что она	5	23
19	по себе	10	23
20	только в	15	23
21	сказать что	5	22
22	и что	11	22
23	в смысле	2	22
24	и следовательно	2	20
25	что такое	8	20
26	как бы	11	20
27	что это	11	19
28	но и	13	19
29	что же	11	19
30	все же	17	18
31	в этом	31	18
32	есть не	2	17
33	и это	3	17
34	прежде всего	14	17
35	так как	16	17
36	что мы	6	17
37	того что	11	16
38	таким образом	17	16
39	как раз	10	16
40	в том	47	15
41	как и	3	15
42	в ней	6	15
43	уже не	13	15
44	не в	18	14
45	и то	7	14
46	но это	4	14
47	том что	30	13
48	это и	6	13
49	и для	3	13
50	в самом	20	13
51	то ни	2	13
52	в себя	2	13
53	ничего не	6	12
54	иное как	3	12
55	но если	2	12
56	совершенно не	4	12
57	смысл и	5	12
58	что в	25	12
59	точки зрения	25	12
60	она есть	2	12
61	что и	5	12
62	что они	5	12
63	и как	3	12
64	не что	2	12
65	то же	12	12
66	еще не	10	12
67	что иное	2	12
68	между собою	3	12
69	и даже	5	12
70	о том	10	12
71	если мы	5	12
72	и с	11	12
73	есть нечто	2	12
74	не значит	2	12
75	еще и	7	11
76	в то	4	11
77	предполагает что	2	11
78	не менее	12	11
79	что не	10	11
80	вовсе не	18	11
81	тем не	10	11
82	д и	3	11
83	и их	2	11
84	и пр	23	11
85	также и	7	11
86	ни в	3	11
87	и только	2	11
88	крайней мере	11	10
89	в чем	2	10
90	что оно	6	10
91	по крайней	11	10
92	ясно что	7	10
93	это не	13	9
94	нисколько не	6	9
95	со стороны	8	9
96	так что	5	9
97	в своем	4	9
98	то и	4	9
99	ли это	4	9
100	бы и	6	9
101	должно быть	6	9
102	хотя бы	19	9
103	бы в	8	9
104	в результате	8	9
105	у нас	19	9
106	на то	6	9
107	но не	11	9
108	но что	3	9
109	говорить о	5	9
110	и его	8	9
111	с ним	5	9
112	в отношении	2	8
113	и потому	6	8
114	указывает на	2	8
115	что он	7	8
116	но в	11	8
117	в ее	2	8
118	все это	10	8
119	это есть	2	8
120	должна быть	6	8
121	можно сказать	6	8
122	что значит	2	8
123	только и	3	8
124	смысла и	2	8
125	по сравнению	3	8
126	мы имеем	11	8
127	отличается от	2	8
128	если бы	21	8
129	с тем	5	8
130	для него	2	8
131	не с	4	8
132	с другой	14	8
133	как с	2	8
134	отнюдь не	5	8
135	в действительности	2	7
136	не потому	6	7
137	от того	5	7
138	и тем	7	7
139	из них	4	7
140	самом деле	17	7
141	а в	7	7
142	можно ли	6	7
143	все эти	17	7
144	в сущности	11	7
145	е в	3	7
146	я не	5	7
147	относится к	3	7
148	никак не	5	7
149	то не	2	7
150	слова и	8	7
151	тем что	9	7
152	вообще не	2	7
153	с этой	4	7
154	оно не	5	7
155	и тогда	4	7
156	без всякого	2	7
157	никогда не	2	6
158	в каком	6	6
159	вопрос о	11	6
160	когда мы	3	6
161	ведь и	2	6
162	как я	2	6
163	и все	4	6
164	так или	3	6
165	а если	5	6
166	в нем	7	6
167	между ними	2	6
168	в разных	2	6
169	должны быть	4	6
170	в своей	4	6
171	как мы	2	6
172	в данном	8	6
173	можно было	14	6
174	дело в	2	6
175	все равно	4	6
176	быть только	3	6
177	на почве	2	6
178	или иначе	4	6
179	в сфере	3	6
180	этот вопрос	7	6
181	мы говорим	4	6
182	несмотря на	6	6
183	в той	6	6
184	с точки	16	6
185	как только	2	6
186	в одном	4	6
187	и если	4	5
188	да и	5	5
189	мы должны	2	5
190	а это	5	5
191	как к	2	5
192	должен быть	8	5
193	и мы	2	5
194	свою очередь	4	5
195	вместе с	8	5
196	себе в	3	5
197	как это	6	5
198	того же	6	5
199	на себе	10	5
200	даже и	5	5
201	и без	2	5
202	между прочим	4	5
203	тогда когда	7	5
204	то это	3	5
205	мы находим	2	5
206	один из	8	5
207	на себя	3	5
208	в его	16	5
209	и когда	2	5
210	хотя и	7	5
211	для этого	6	5
212	е не	2	5
213	на это	3	5
214	же это	2	5
215	в которой	7	5
216	об этом	4	5
217	и здесь	8	5
218	кроме того	2	5
219	как о	2	5
220	что у	3	5
221	что для	3	5
222	в свою	4	5
223	вообще и	2	5
224	как можно	2	5
225	то или	3	5
226	быть не	2	5
227	те или	2	5
228	так же	8	4
229	том как	3	4
230	к себе	4	4
231	в силу	16	4
232	в конце	5	4
233	отношение к	2	4
234	и у	3	4
235	что именно	2	4
236	в их	3	4
237	так и	10	4
238	только тогда	4	4
239	который мы	2	4
240	что все	6	4
241	в этой	8	4
242	более или	3	4
243	этой точки	4	4
244	переходит в	2	4
245	того чтобы	25	4
246	в качестве	12	4
247	не было	6	4
248	тот же	7	4
249	нельзя было	2	4
250	во всяком	8	4
251	с ними	6	4
252	что нужно	2	4
253	и от	2	4
254	само по	6	4
255	с этим	6	4
256	есть в	6	4
257	только то	2	4
258	дело не	4	4
259	и еще	4	4
260	мы можем	2	4
261	себя самого	2	4
262	в особенности	6	4
263	и вот	4	4
264	и о	3	4
265	но только	5	4
266	и более	3	4
267	что только	2	4
