N	2gram	Bakhtin_KF	KulturaY
1	и в	28	84
2	в том	6	74
3	потому что	2	68
4	не только	5	60
5	точки зрения	13	59
6	в этом	15	57
7	было бы	8	53
8	и не	28	52
9	может быть	45	47
10	том что	4	44
11	того чтобы	2	44
12	что в	4	44
13	для того	3	41
14	самом деле	3	37
15	хотя бы	5	37
16	с точки	10	36
17	в области	2	34
18	а не	17	33
19	если бы	8	32
20	не в	13	30
21	прежде всего	4	30
22	в его	42	30
23	и пр	3	30
24	все же	5	29
25	того что	3	28
26	не менее	3	28
27	все эти	11	28
28	уже не	7	26
29	не может	29	25
30	то что	7	25
31	вовсе не	7	25
32	вопрос о	2	24
33	еще не	5	24
34	так и	2	23
35	то же	5	23
36	только в	18	23
37	тем не	2	21
38	но и	9	20
39	по себе	2	20
40	что он	2	19
41	но в	5	19
42	тем что	3	19
43	о том	3	19
44	между тем	4	18
45	все это	10	18
46	в качестве	2	18
47	с тем	2	18
48	как бы	9	18
49	это не	10	17
50	что это	4	17
51	в виду	3	16
52	ничего не	3	16
53	что не	3	16
54	что и	7	16
55	тот же	3	16
56	но не	12	16
57	по отношению	26	15
58	и тем	3	15
59	один из	2	15
60	а в	5	15
61	при этом	4	15
62	в данном	2	15
63	должно быть	6	15
64	лишь в	8	15
65	ни к	2	15
66	именно в	5	15
67	не было	8	15
68	я не	6	14
69	мы имеем	5	14
70	отношению к	22	14
71	и на	3	14
72	в ней	3	14
73	это и	3	13
74	в этой	2	13
75	для нас	4	13
76	там где	5	13
77	и его	18	13
78	для этого	2	12
79	как в	2	12
80	тогда когда	3	12
81	могут быть	3	12
82	этого слова	2	12
83	говорить о	2	12
84	ясно что	3	12
85	или иной	2	11
86	должен быть	7	11
87	в их	9	11
88	в своем	17	11
89	должна быть	4	11
90	в нем	32	11
91	совершенно не	7	11
92	и здесь	7	11
93	и то	2	11
94	слова в	2	11
95	он не	6	11
96	в каком	4	10
97	тем самым	4	10
98	в то	3	10
99	к этому	2	10
100	со стороны	8	10
101	как и	5	10
102	бы и	3	10
103	того или	3	10
104	от того	3	10
105	этом смысле	3	10
106	конечно не	7	10
107	не потому	2	9
108	в целом	10	9
109	здесь не	3	9
110	и для	10	9
111	в своей	11	9
112	рядом с	3	9
113	или иного	3	9
114	но это	6	9
115	не имеет	6	9
116	ни в	12	9
117	но для	3	9
118	мы говорим	2	9
119	и есть	10	9
120	на самом	3	8
121	в своих	4	8
122	в чем	4	8
123	был бы	3	8
124	с его	2	8
125	независимо от	3	8
126	и как	2	8
127	тому что	2	8
128	смысл и	6	8
129	но все	6	8
130	что я	5	8
131	не есть	22	8
132	отнюдь не	7	8
133	до конца	3	7
134	в свою	3	7
135	в процессе	2	7
136	и потому	2	7
137	не знает	5	7
138	а с	2	7
139	она не	2	7
140	нисколько не	4	7
141	с ними	4	7
142	не следует	2	7
143	есть лишь	5	7
144	в котором	24	7
145	с ним	5	7
146	в одном	5	7
147	сводится к	2	7
148	только как	4	7
149	лишь с	2	7
150	не значит	6	7
151	его к	2	6
152	содержание и	2	6
153	в себе	21	6
154	как к	2	6
155	были бы	2	6
156	это только	2	6
157	может иметь	2	6
158	от этого	2	6
159	можно ли	2	6
160	гораздо более	2	6
161	однако что	2	6
162	в соответствии	2	6
163	в ее	17	6
164	той или	3	6
165	на язык	3	6
166	в корне	3	6
167	что значит	2	6
168	дело не	2	6
169	мы не	3	6
170	же время	2	6
171	оно не	2	6
172	соответствии с	2	6
173	если не	2	6
174	то или	2	6
175	или иное	2	6
176	чтобы не	2	6
177	и именно	2	6
178	на основе	7	6
179	никогда не	5	5
180	к себе	2	5
181	в другом	3	5
182	а это	2	5
183	в современной	3	5
184	по своему	3	5
185	о нем	4	5
186	говорим о	2	5
187	но как	5	5
188	всех этих	3	5
189	не как	4	5
190	могло бы	4	5
191	я и	5	5
192	одного и	2	5
193	лишь как	3	5
194	отношение к	6	5
195	еще более	2	5
196	и их	6	5
197	и того	2	5
198	и только	7	5
199	быть не	2	5
200	не о	2	4
201	все они	2	4
202	его в	5	4
203	для меня	22	4
204	в каждом	3	4
205	а лишь	3	4
206	случае мы	2	4
207	ответственность за	2	4
208	я имею	3	4
209	в виде	2	4
210	быть в	4	4
211	и все	9	4
212	к нему	12	4
213	это уже	2	4
214	себе и	3	4
215	здесь мы	4	4
216	это есть	2	4
217	могла бы	4	4
218	ли это	2	4
219	и содержание	5	4
220	бы не	3	4
221	но ведь	5	4
222	не должно	3	4
223	в смысле	6	4
224	и это	12	4
225	из которых	2	4
226	что за	2	4
227	поскольку она	2	4
228	данный момент	3	4
