N	3gram	Bakhtin_Pr	Myslijsy
1	в том что	6	47
2	по отношению к	12	26
3	не может быть	8	19
4	тем не менее	2	18
5	по крайней мере	2	17
6	и т д	4	15
7	сам по себе	2	14
8	само по себе	4	14
9	то же время	13	13
10	в то же	13	13
11	во всяком случае	4	12
12	с другой стороны	6	12
13	более или менее	4	12
14	до сих пор	9	12
15	и в этом	5	12
16	и т п	10	11
17	подобно тому как	3	11
18	сами по себе	4	11
19	в то время	2	10
20	о том что	2	9
21	на то что	2	9
22	на самом деле	4	8
23	так и в	2	8
24	можно сказать что	2	7
25	как и в	3	7
26	не только не	2	7
27	не только в	2	7
28	с точки зрения	21	7
29	сама по себе	5	7
30	в этом смысле	12	7
31	между тем как	5	5
32	то же что	3	5
33	слово может быть	2	4
34	все то что	3	4
35	в том и	2	4
36	в данном случае	2	4
37	в этом отношении	3	4
38	то время как	2	4
39	на этот вопрос	2	4
40	бы то ни	3	3
41	этой точки зрения	2	3
42	том что он	5	3
43	нам кажется что	3	3
44	можно было бы	3	3
45	в большинстве случаев	10	3
46	хотя бы и	3	3
47	но это не	2	3
48	это не значит	3	3
49	в одном из	2	3
50	но с другой	2	3
51	но при этом	2	2
52	в одном слове	3	2
53	а не как	5	2
54	по себе еще	4	2
55	того и другого	2	2
56	и в других	2	2
57	только то что	2	2
58	друг на друга	2	2
59	то ни было	2	2
60	а следовательно и	2	2
61	себе еще не	4	2
62	и не может	6	2
63	в этих случаях	2	2
64	но все же	3	2
