N	2gram	Bakhtin_Fr	SlovoVZh
1	не может	9	16
2	точки зрения	7	14
3	может быть	4	14
4	и его	19	13
5	как бы	18	13
6	и в	67	12
7	таким образом	20	12
8	в нашем	3	11
9	и не	23	10
10	так как	16	9
11	если бы	2	9
12	прежде всего	19	8
13	сказать что	12	7
14	слова и	2	6
15	все время	3	6
16	при этом	5	6
17	в том	16	6
18	в нем	20	6
19	только в	6	6
20	с помощью	6	6
21	в ней	10	6
22	никогда не	6	5
23	как в	4	5
24	в жизни	4	5
25	в виду	2	5
26	можно сказать	4	5
27	но в	20	5
28	том что	13	5
29	то же	18	5
30	как и	19	5
31	хотя бы	2	5
32	а не	6	5
33	то что	9	5
34	и др	11	5
35	в самом	7	4
36	в этом	27	4
37	не только	23	4
38	в литературе	4	4
39	на самом	8	4
40	что не	4	4
41	его в	10	4
42	жизни и	11	4
43	мы все	2	4
44	не в	8	4
45	с другой	3	4
46	все же	7	4
47	дело в	5	4
48	к нему	5	4
49	за пределы	4	4
50	и к	7	4
51	так и	14	4
52	и на	12	4
53	от того	3	4
54	литературы и	3	4
55	как к	2	3
56	в них	12	3
57	в поэзии	3	3
58	и вообще	3	3
59	о том	8	3
60	и для	4	3
61	да и	2	3
62	он должен	2	3
63	из этого	5	3
64	ни в	5	3
65	все эти	12	3
66	в котором	3	3
67	и наконец	5	3
68	так же	13	3
69	в своей	6	3
70	мы не	6	3
71	конечно не	5	3
72	в себе	3	3
73	нуждается в	3	3
74	еще не	5	3
75	здесь не	7	3
76	все это	15	3
77	когда он	2	3
78	и ее	2	3
79	между тем	3	3
80	и с	18	3
81	не менее	4	3
82	сих пор	3	3
83	с ним	6	3
84	до сих	3	3
85	в пределах	2	3
86	и по	3	3
87	формы и	2	3
88	самом деле	6	3
89	того что	4	3
90	ведь и	3	3
91	но и	23	3
92	для него	4	3
93	в особенности	7	2
94	конечно в	4	2
95	и то	2	2
96	тем как	2	2
97	в его	17	2
98	данном случае	4	2
99	до конца	2	2
100	и здесь	6	2
101	что в	14	2
102	к ним	2	2
103	в отношении	2	2
104	и притом	2	2
105	место в	3	2
106	ничего не	5	2
107	словом и	4	2
108	с его	11	2
109	в атмосфере	12	2
110	что и	8	2
111	это не	5	2
112	более того	3	2
113	и все	18	2
114	кроме того	11	2
115	там где	10	2
116	слова но	2	2
117	с точки	5	2
118	от всех	6	2
119	но все	2	2
120	тому же	5	2
121	в своем	13	2
122	на все	4	2
123	бы не	2	2
124	все они	7	2
125	в данном	4	2
126	но мы	3	2
127	с другими	3	2
128	независимо от	3	2
129	не остается	4	2
130	и что	3	2
131	в то	17	2
132	себя и	2	2
133	перестает быть	3	2
134	одной стороны	2	2
135	связь с	3	2
136	и другие	5	2
137	но это	10	2
138	в условиях	3	2
139	за его	2	2
140	он не	9	2
141	делает его	2	2
142	подчеркнуть что	5	2
143	такой же	5	2
144	точку зрения	3	2
145	как на	6	2
146	его как	4	2
147	но не	6	2
148	как это	5	2
149	если же	2	2
150	в себя	6	2
151	мы можем	5	2
152	до известной	4	2
153	в чем	6	2
154	в форме	2	2
155	значения и	2	2
156	со словом	2	2
157	с одной	2	2
158	относится к	3	2
159	к этому	4	2
160	же самое	3	2
161	между ними	4	2
162	тогда когда	3	2
163	и слово	3	2
164	и та	2	2
165	известной степени	4	2
166	но этот	5	2
167	другой стороны	2	2
168	в корне	2	2
169	вместе с	5	2
170	на него	2	2
