N	3gram	Bakhtin_Fr	slovoVRo
1	в то же	12	18
2	то же время	12	18
3	с точки зрения	4	15
4	в большинстве случаев	9	11
5	с одной стороны	3	11
6	во всех его	3	10
7	более или менее	3	9
8	но в то	3	7
9	в значительной степени	3	7
10	большей или меньшей	2	6
11	в одной плоскости	3	6
12	так и в	3	6
13	с другой стороны	2	6
14	в том что	4	5
15	в этом отношении	3	5
16	как мы уже	4	5
17	по отношению к	3	5
18	в большей или	2	4
19	на первый план	2	4
20	мы уже сказали	2	4
21	таким образом в	2	4
22	а также и	3	4
23	до сих пор	3	4
24	в свою очередь	3	4
25	как мы видели	4	3
26	как и в	2	3
27	со всех сторон	2	3
28	в связи с	2	3
29	и в романе	2	2
30	а следовательно и	2	2
31	мы уже говорили	12	2
32	нужно сказать что	3	2
33	о том что	4	2
34	можно было бы	2	2
35	в средние века	9	2
36	но и в	2	2
37	но по существу	2	2
