N	3gram	Vinokur_Ku	TeoriaLi
1	в том что	23	10
2	по отношению к	8	10
3	в то же	4	8
4	то же время	4	8
5	в отличие от	3	7
6	в конечном счете	2	6
7	состоит в том	4	6
8	с другой стороны	12	6
9	более или менее	3	6
10	того или иного	5	6
11	так или иначе	3	5
12	для того чтобы	21	5
13	не может быть	5	5
14	и того же	2	4
15	одного и того	2	4
16	с точки зрения	16	3
17	с одной стороны	2	3
18	в виду не	2	3
19	в этом смысле	8	3
20	тем не менее	9	3
21	можно сказать что	2	3
22	в связи с	4	3
23	в свою очередь	4	3
24	в противном случае	2	2
25	в данный момент	2	2
26	этой точки зрения	4	2
27	в самом деле	14	2
28	а с другой	3	2
29	том что он	4	2
30	к тому что	2	2
31	с этой точки	3	2
32	в соответствии с	5	2
33	и в самом	4	2
34	по большей части	2	2
