N	3gram	Bakhtin_fo	Literetu
1	в то же	10	21
2	то же время	13	21
3	в том что	4	21
4	по отношению к	3	12
5	с одной стороны	3	12
6	в данном случае	2	11
7	в отличие от	3	11
8	не может быть	4	11
9	о том что	2	10
10	в этом отношении	5	10
11	с точки зрения	9	8
12	в том числе	7	6
13	к тому же	2	6
14	не только в	6	6
15	в соответствии с	2	5
16	прежде всего в	3	5
17	в связи с	12	5
18	и прежде всего	4	4
19	и т п	18	3
20	той или иной	3	3
21	одной стороны и	2	3
22	к себе самому	7	3
23	том числе и	4	3
24	и в частности	2	3
25	в том же	3	3
26	одно и то	4	2
27	то что было	2	2
28	для того чтобы	11	2
29	и то же	4	2
30	все же в	2	2
31	жизни и в	2	2
32	в другом месте	2	2
33	но и в	5	2
34	не могло быть	3	2
35	и не только	2	2
36	вместе с тем	3	2
37	дело в том	2	2
38	в себя и	2	2
