N	2gram	Medvedev_U	Stilisti
1	и в	14	42
2	не только	10	28
3	прежде всего	8	22
4	и т.д	3	21
5	хотя бы	5	18
6	то же	5	16
7	но и	4	16
8	и не	8	14
9	не может	7	13
10	может быть	6	13
11	как и	3	12
12	что мы	2	11
13	в себе	2	10
14	в этом	7	10
15	в то	3	9
16	все же	3	9
17	то что	7	9
18	мы не	2	9
19	ничего не	2	8
20	таким образом	2	8
21	с его	2	8
22	же время	3	7
23	только в	2	7
24	а не	10	7
25	было бы	3	7
26	не в	2	6
27	в области	3	6
28	в конце	2	6
29	в его	2	6
30	в этой	4	6
31	и то	3	5
32	самом деле	2	5
33	и является	2	5
34	но в	3	5
35	в самом	2	5
36	и с	2	5
37	же самое	2	5
38	художественного творчества	5	5
39	вопроса о	2	4
40	если бы	2	4
41	у нас	3	4
42	что такое	4	4
43	все это	5	4
44	тех или	2	4
45	это не	3	3
46	том что	2	3
47	или иных	2	3
48	конце концов	2	3
49	в том	2	3
50	в частности	3	3
51	его и	2	3
52	для него	3	3
53	и для	2	3
54	как таковой	2	3
55	если не	2	3
56	что и	2	3
57	конечно не	4	3
58	между тем	2	3
59	вряд ли	3	3
60	для этого	3	2
61	очевидно что	3	2
62	для всех	2	2
63	на эту	2	2
64	бы и	2	2
65	но даже	2	2
66	на первый	2	2
67	тем что	2	2
68	этом отношении	2	2
69	в их	4	2
70	что он	2	2
71	должна была	2	2
72	сих пор	2	2
73	но не	2	2
74	материал для	2	2
75	даже и	2	2
76	не есть	2	2
77	о чем	2	2
78	смысле этого	2	2
79	но это	2	2
80	в своей	3	2
