N	3gram	Bakhtin_Pr	Komedia
1	в том что	6	29
2	до сих пор	8	16
3	то же время	8	16
4	в то же	8	16
5	о том что	3	13
6	по отношению к	5	9
7	с другой стороны	3	8
8	на себя внимание	2	7
9	с самого начала	4	7
10	с точки зрения	13	6
11	в том числе	15	6
12	тем не менее	2	5
13	можно было бы	2	4
14	по сравнению с	6	4
15	более или менее	3	3
16	друг от друга	2	3
17	в соответствии с	2	3
18	но и в	2	3
19	внешней и внутренней	2	3
20	хотя и не	3	3
21	может быть даже	2	3
22	друг с другом	6	3
23	на то что	2	3
24	в новое время	4	3
25	том числе и	13	3
26	одному и тому	2	2
27	мы имеем в	3	2
28	в большинстве случаев	9	2
29	в зависимости от	3	2
30	к одному и	2	2
31	так и в	2	2
32	выходят за пределы	2	2
33	в отношении к	2	2
34	и тому же	2	2
35	в этом смысле	5	2
36	как и в	4	2
37	в каждом из	3	2
38	и в то	3	2
39	и в дальнейшем	2	2
40	таким образом и	2	2
41	имеем в виду	3	2
