N	3gram	Propp_Isto	KulturaY
1	и т д	35	42
2	в том что	6	33
3	можно было бы	5	25
4	тем не менее	7	19
5	с другой стороны	7	17
6	в зависимости от	3	16
7	до сих пор	11	14
8	по отношению к	6	13
9	в связи с	5	12
10	не может быть	8	11
11	о том что	5	10
12	вместе с тем	7	9
13	на самом деле	2	8
14	не только в	5	8
15	в этом случае	3	8
16	само по себе	2	8
17	после того как	2	7
18	с одной стороны	7	7
19	и тем не	2	7
20	в отличие от	3	6
21	на этот вопрос	2	5
22	но все же	7	5
23	более или менее	5	5
24	потому что он	2	5
25	дело не в	2	5
26	точно так же	8	4
27	т д и	2	4
28	т е с	2	4
29	так же как	6	4
30	на то что	5	4
31	в таких случаях	4	3
32	по мере того	4	3
33	в то время	3	3
34	с тем что	3	3
35	о том как	2	3
36	мере того как	4	3
37	мы увидим что	8	3
38	и вместе с	2	3
39	вместо того чтобы	2	3
40	большей или меньшей	2	3
41	что он не	4	2
42	бы то ни	2	2
43	мы имеем в	4	2
44	не что иное	3	2
45	именно так и	2	2
46	мы знаем что	7	2
47	в большинстве случаев	4	2
48	в другом месте	2	2
49	и тот же	2	2
50	иметь в виду	2	2
51	и только после	2	2
52	что мы имеем	3	2
53	что иное как	3	2
54	один и тот	2	2
55	но они не	3	2
56	но если это	2	2
57	а может быть	2	2
58	на первых порах	2	2
