N	2gram	Vinokur_Vv	EvropaiE
1	и в	35	37
2	в отношении	3	32
3	точки зрения	12	23
4	что в	13	21
5	не только	26	18
6	с точки	4	17
7	в то	6	16
8	отношении к	2	15
9	хотя бы	6	15
10	то же	11	15
11	в своем	3	14
12	но в	10	14
13	но и	7	14
14	и не	13	14
15	же время	6	14
16	в качестве	8	14
17	в этом	35	12
18	в том	38	11
19	в их	12	11
20	в области	4	11
21	так и	2	10
22	все более	4	9
23	т е	40	9
24	так же	3	9
25	не может	19	9
26	в себе	4	9
27	прежде всего	10	9
28	только в	16	9
29	одной стороны	4	8
30	между тем	10	8
31	в ее	11	8
32	было бы	7	8
33	в своей	4	8
34	с одной	4	8
35	к тому	4	8
36	по своему	5	7
37	также и	20	7
38	с другой	8	7
39	а также	3	7
40	как и	7	7
41	так как	15	7
42	того что	12	7
43	том что	30	6
44	во всех	2	6
45	эти области	4	6
46	и даже	6	6
47	может быть	30	6
48	и на	3	6
49	стороны и	3	6
50	с этой	5	6
51	того чтобы	22	6
52	для того	23	6
53	на то	2	6
54	то что	19	6
55	как бы	7	6
56	вовсе не	6	6
57	но не	9	5
58	от этого	5	5
59	и потому	2	5
60	но если	6	5
61	этой точки	2	5
62	в той	10	5
63	как мы	11	5
64	со стороны	16	5
65	не в	10	5
66	в виде	4	5
67	в частности	3	5
68	в течение	5	5
69	же как	3	5
70	одной из	4	5
71	сказать что	6	4
72	в каком	3	4
73	вопрос о	10	4
74	не имеет	4	4
75	или иной	3	4
76	само по	4	4
77	можно сказать	4	4
78	независимо от	5	4
79	культуры в	5	4
80	именно в	8	4
81	в самом	13	4
82	культурной жизни	2	4
83	из числа	2	4
84	мы не	2	4
85	в ней	3	4
86	как совокупность	2	4
87	по себе	11	4
88	несмотря на	2	4
89	тем более	2	4
90	той или	3	4
91	как это	5	4
92	чем в	3	4
93	никогда не	3	3
94	с тем	6	3
95	и для	4	3
96	можно считать	2	3
97	известном смысле	3	3
98	о том	16	3
99	в данном	11	3
100	в общем	14	3
101	вообще не	3	3
102	того же	3	3
103	время в	2	3
104	в которых	6	3
105	можно было	8	3
106	этом смысле	11	3
107	бы и	3	3
108	в свою	2	3
109	и к	3	3
110	в результате	4	3
111	мы можем	2	3
112	уже и	10	3
113	из них	4	3
114	в известном	3	3
115	данного народа	3	3
116	в них	5	3
117	всяком случае	5	3
118	мы видели	3	3
119	что и	5	3
120	во второй	3	3
121	и тем	5	3
122	тем что	6	3
123	говорит о	3	3
124	этом отношении	4	3
125	по признаку	2	3
126	потому что	18	3
127	и со	2	3
128	народов и	2	3
129	представляет собой	14	3
130	в применении	7	3
131	как в	3	3
132	как на	12	3
133	в известной	3	3
134	в прошлом	2	3
135	применении к	6	3
136	во всяком	5	3
137	дело в	5	3
138	данном случае	5	2
139	на этот	6	2
140	в его	12	2
141	отношений между	3	2
142	в известных	2	2
143	не есть	5	2
144	чем больше	2	2
145	что это	3	2
146	человеческой культуры	3	2
147	что к	2	2
148	при помощи	3	2
149	и то	7	2
150	что если	2	2
151	к нему	3	2
152	не могут	6	2
153	а в	6	2
154	с этим	3	2
155	из того	2	2
156	мы должны	2	2
157	и сейчас	2	2
158	в котором	4	2
159	какой бы	2	2
160	но как	2	2
161	как оно	3	2
162	в своих	2	2
163	культуры как	6	2
164	и с	2	2
165	бы в	2	2
166	этот вопрос	7	2
167	не нужно	2	2
168	во втором	2	2
169	могут быть	6	2
170	не говоря	2	2
171	другой стороны	5	2
172	между ними	3	2
173	в значительной	3	2
174	тогда когда	4	2
175	в одном	4	2
176	течением времени	7	2
177	и как	9	2
178	мог бы	2	2
179	что же	3	2
180	есть не	5	2
181	если бы	3	2
182	которое в	2	2
183	в содержании	2	2
184	для них	2	2
185	которого мы	2	2
186	ее от	2	2
187	в этих	3	2
188	но также	16	2
189	жизни и	2	2
190	в силу	3	2
191	и того	3	2
192	а не	5	2
193	большей части	2	2
194	и других	3	2
195	с течением	7	2
196	и что	6	2
197	свою очередь	2	2
198	второй половине	2	2
199	этот процесс	4	2
200	и чем	2	2
201	наряду с	3	2
202	по сравнению	4	2
203	таким образом	21	2
204	а именно	6	2
205	в истории	9	2
206	как будто	3	2
207	на основании	5	2
208	сравнению с	4	2
209	говоря уже	2	2
210	не к	2	2
211	в этой	3	2
212	но с	5	2
213	проблемы и	2	2
214	культуры не	3	2
215	ними и	2	2
216	хотя и	5	2
217	и творчества	2	2
218	в какой	6	2
219	духовной жизни	3	2
220	должна быть	2	2
221	вместе с	6	2
222	заключается в	4	2
223	он сам	3	2
224	всего к	2	2
