N	2gram	Nazirov_Tr	Problema
1	и в	18	182
2	то есть	3	165
3	и не	7	152
4	то что	4	144
5	не только	8	104
6	потому что	2	89
7	в этом	9	88
8	может быть	7	82
9	том что	4	81
10	в том	2	81
11	не просто	2	80
12	но и	4	70
13	в виде	2	69
14	и даже	4	66
15	о том	2	57
16	так и	5	56
17	но в	6	55
18	так что	2	52
19	ни в	2	51
20	отнюдь не	3	48
21	в себе	4	48
22	прежде всего	4	45
23	что в	4	44
24	в его	3	44
25	все эти	3	43
26	не в	2	43
27	то же	5	42
28	и то	2	40
29	что он	6	40
30	и что	4	40
31	не может	5	39
32	в этой	4	39
33	как бы	7	39
34	в данном	2	38
35	в нем	4	37
36	еще не	4	36
37	и все	4	36
38	и с	7	34
39	как и	5	34
40	уже не	2	34
41	в таком	2	33
42	в то	5	32
43	в своем	3	31
44	в конце	3	31
45	все это	4	31
46	так же	4	31
47	но это	4	31
48	перед нами	2	29
49	все же	5	29
50	об этом	4	29
51	данном случае	2	28
52	и как	3	27
53	ничего не	2	27
54	и это	2	27
55	как будто	3	26
56	это не	5	26
57	и его	6	26
58	тем самым	3	25
59	и на	7	25
60	не имеет	2	24
61	с тем	2	24
62	тут же	2	23
63	при этом	3	23
64	то и	2	23
65	никогда не	2	22
66	его в	2	22
67	что и	2	22
68	раз и	2	22
69	и ее	2	21
70	в самом	2	21
71	о чем	3	20
72	несмотря на	5	20
73	тем что	2	20
74	он не	2	19
75	с ним	3	19
76	уже в	3	19
77	как в	3	19
78	в ее	2	18
79	и здесь	2	17
80	к тому	2	16
81	но все	2	16
82	как это	3	16
83	точно так	2	16
84	что она	2	16
85	он и	2	16
86	в частности	2	15
87	у него	6	15
88	и сам	3	15
89	не так	2	14
90	что все	2	14
91	говорит о	2	14
92	в дальнейшем	5	14
93	только о	2	14
94	который в	2	13
95	бы и	2	13
96	что этот	2	12
97	в целом	4	12
98	что это	5	12
99	он сам	7	12
100	не могут	2	11
101	по поводу	2	11
102	к нему	3	11
103	состоит из	2	10
104	один из	3	10
105	в одном	2	10
106	даже если	2	10
107	в году	9	10
108	вопрос о	2	9
109	как же	2	9
110	и до	2	9
111	не был	2	9
112	но эта	2	9
113	жизнь и	3	9
114	от всего	2	8
115	никто не	3	8
116	для него	3	8
117	еще в	2	8
118	для искусства	2	8
119	он был	2	8
120	и он	3	8
121	с ее	3	8
122	это уже	2	8
123	друг друга	2	7
124	в это	2	7
125	только к	2	6
126	до конца	2	6
127	с его	2	6
128	не мог	2	6
129	одна из	2	5
130	отношение к	2	5
131	знает что	2	5
132	с первого	2	5
133	в известной	2	5
134	к людям	3	5
135	из самых	2	5
136	я не	4	5
137	ничем не	2	5
138	у достоевского	5	5
139	iii в	3	5
140	о его	2	5
141	что с	3	5
142	должно быть	3	5
143	по мнению	2	5
144	а как	2	4
145	отличие от	2	4
146	бросается в	2	4
147	под влиянием	2	4
148	вместе со	2	4
149	в глаза	2	4
150	что же?	2	4
151	нет в	2	4
152	он всегда	4	4
153	что вы	3	4
154	и за	2	4
155	что эти	2	4
156	любви и	2	4
157	этот образ	4	4
158	но они	2	4
159	он вообще	2	4
160	мог бы	3	4
161	чем он	2	4
162	в силах	2	3
163	собой но	2	3
164	еще раз	2	3
165	в душе	2	3
166	времени в	2	3
167	в отличие	2	3
168	в образе	6	3
169	в первом	2	3
170	очень важно	2	3
171	столь же	2	3
172	это был	2	3
173	она должна	2	3
174	а что	2	3
175	в романе	10	3
176	не за	2	3
177	но при	2	3
178	говорит что	2	3
179	он вдруг	5	2
180	пусть мы	2	2
181	этого романа	2	2
182	по словам	2	2
183	что за	3	2
184	своего рода	3	2
185	между этими	2	2
186	в глазах	2	2
187	а я	5	2
188	как у	2	2
189	в рассказе	2	2
190	со мной	2	2
191	писателя и	2	2
192	ивана карамазова	2	2
193	и я	2	2
194	имеет в	2	2
195	в бесах	9	2
196	его за	2	2
197	не случайно	2	2
198	что я	4	2
