N	2gram	Voloshinov	EvropaiC
1	таким образом	6	34
2	в том	2	31
3	и в	13	24
4	том что	2	20
5	все эти	2	19
6	не может	8	18
7	то что	6	18
8	может быть	8	17
9	все же	5	15
10	точки зрения	7	14
11	в этом	2	13
12	все это	4	13
13	с этим	3	12
14	самом деле	3	12
15	между тем	2	12
16	по отношению	3	11
17	но и	3	11
18	отношению к	3	11
19	не только	6	10
20	так и	3	10
21	как и	3	10
22	как бы	6	10
23	и не	8	9
24	не в	3	9
25	что в	3	9
26	и все	3	9
27	при этом	2	9
28	так же	2	8
29	если бы	2	8
30	к тому	2	8
31	в самом	2	8
32	с точки	5	8
33	в сознании	4	7
34	так как	3	7
35	не менее	2	7
36	только в	6	6
37	и при	2	6
38	и для	3	6
39	с другой	2	6
40	в общем	2	6
41	мы можем	4	6
42	несмотря на	2	6
43	в себе	3	5
44	в которой	3	5
45	лишь в	4	5
46	и их	7	5
47	между собою	2	5
48	но в	4	5
49	и истории	2	5
50	и к	2	5
51	другой стороны	2	5
52	в целом	2	5
53	в его	7	5
54	никогда не	3	4
55	и то	3	4
56	мы должны	6	4
57	что эта	2	4
58	хотя бы	5	4
59	и т.д	5	4
60	то же	4	4
61	в их	3	4
62	в области	2	4
63	в течение	2	4
64	ни один	3	4
65	мы уже	2	4
66	данном случае	2	3
67	в тех	2	3
68	бы в	2	3
69	с этой	2	3
70	в связи	2	3
71	и наконец	5	3
72	прежде всего	9	3
73	с одной	2	3
74	в данном	2	3
75	а в	2	3
76	в нем	2	3
77	в ней	2	3
78	было бы	4	3
79	и может	2	3
80	ничего общего	3	3
81	во всем	2	3
82	тот же	2	3
83	конечно в	2	2
84	в процессе	5	2
85	и ее	2	2
86	в другом	2	2
87	до тех	4	2
88	для себя	2	2
89	зависимости от	2	2
90	что они	2	2
91	точку зрения	3	2
92	для него	2	2
93	не имеет	2	2
94	общего с	3	2
95	но так	2	2
96	тех пор	4	2
97	те же	2	2
98	в своих	2	2
99	одной стороны	2	2
100	но для	3	2
101	в них	2	2
102	что же	3	2
103	с ними	2	2
104	и уже	3	2
105	говорить о	3	2
106	и его	12	2
107	во всей	2	2
108	имеет место	2	2
109	вовсе не	2	2
