N	2gram	Trubetskoy	KulturaY
1	и т	3	143
2	и в	14	84
3	в том	17	74
4	потому что	5	68
5	не только	9	60
6	точки зрения	11	59
7	в этом	17	57
8	было бы	5	53
9	и не	19	52
10	может быть	9	47
11	том что	9	44
12	того чтобы	8	44
13	что в	4	44
14	для того	6	41
15	в самом	3	41
16	самом деле	7	37
17	хотя бы	5	37
18	так как	4	36
19	с точки	9	36
20	в области	2	34
21	таким образом	11	33
22	а не	2	33
23	можно было	4	32
24	если бы	6	32
25	не в	4	30
26	прежде всего	8	30
27	в его	4	30
28	все же	4	29
29	того что	3	28
30	все эти	2	28
31	в силу	2	26
32	уже не	2	26
33	не может	22	25
34	то что	13	25
35	вопрос о	5	24
36	еще не	3	24
37	то же	11	23
38	только в	5	23
39	во всяком	9	20
40	но и	10	20
41	по себе	2	20
42	и что	2	20
43	что он	6	19
44	но в	2	19
45	тем что	3	19
46	о том	7	19
47	всяком случае	6	19
48	что же	4	19
49	между тем	5	18
50	связи с	3	18
51	все это	6	18
52	в качестве	3	18
53	к тому	7	18
54	с тем	6	18
55	как бы	4	18
56	и с	7	18
57	вместе с	4	18
58	что это	3	17
59	что и	3	16
60	но не	4	16
61	по отношению	2	15
62	и тем	2	15
63	а в	5	15
64	при этом	5	15
65	в данном	7	15
66	должно быть	3	15
67	целый ряд	2	15
68	лишь в	3	15
69	ни к	7	15
70	том чтобы	3	15
71	именно в	3	15
72	не было	3	15
73	как на	8	15
74	сих пор	5	14
75	что такое	2	14
76	и на	5	14
77	в ней	2	14
78	до сих	5	14
79	не могут	4	13
80	по существу	5	13
81	в этой	4	13
82	для нас	2	13
83	этот вопрос	2	12
84	для этого	3	12
85	тогда когда	4	12
86	в результате	2	12
87	говорить о	3	12
88	ясно что	2	12
89	в таких	2	11
90	или иной	5	11
91	в их	4	11
92	в своем	6	11
93	из этих	3	11
94	должна быть	2	11
95	в нем	5	11
96	совершенно не	2	11
97	и то	4	11
98	и если	7	11
99	он не	5	11
100	тем самым	2	10
101	так же	2	10
102	в то	10	10
103	со стороны	4	10
104	как и	4	10
105	речь идет	2	10
106	вряд ли	3	10
107	того или	2	10
108	с этим	2	10
109	несмотря на	3	10
110	от того	4	10
111	конечно не	5	10
112	не просто	2	10
113	что все	3	9
114	и для	6	9
115	в своей	5	9
116	или иного	2	9
117	но это	2	9
118	и вот	2	9
119	на то	5	9
120	ни в	2	9
121	но для	2	9
122	и есть	2	9
123	на самом	6	8
124	в частности	2	8
125	в своих	6	8
126	состоит в	2	8
127	а потому	5	8
128	и о	2	8
129	что они	3	8
130	этом случае	3	8
131	да и	3	8
132	и как	3	8
133	в этих	2	8
134	тому что	2	8
135	не есть	3	8
136	отнюдь не	7	8
137	в таком	2	8
138	и потому	3	7
139	а с	2	7
140	к вопросу	4	7
141	она не	2	7
142	на том	3	7
143	нисколько не	2	7
144	том случае	4	7
145	и более	2	7
146	и должно	2	7
147	в котором	2	7
148	с ним	2	7
149	сводится к	3	7
150	данном случае	3	6
151	в себе	9	6
152	говоря о	2	6
153	были бы	2	6
154	это только	2	6
155	этого не	2	6
156	можно ли	3	6
157	на этой	2	6
158	на себя	2	6
159	что оно	3	6
160	что с	2	6
161	той или	3	6
162	в корне	4	6
163	как будто	2	6
164	то это	3	6
165	отличается от	2	6
166	или в	3	6
167	только для	2	6
168	же время	10	6
169	приводит к	4	6
170	если не	2	6
171	главным образом	3	6
172	никогда не	5	5
173	и к	6	5
174	мы должны	7	5
175	к себе	2	5
176	в другом	3	5
177	а во-вторых	2	5
178	в конце	3	5
179	но если	3	5
180	и при	6	5
181	или менее	4	5
182	так что	2	5
183	не так	2	5
184	вопросу о	3	5
185	более или	4	5
186	даже и	2	5
187	и тогда	2	5
188	отметить что	2	5
189	и от	2	5
190	время в	2	5
191	всех этих	3	5
192	и даже	2	5
193	у него	2	5
194	русской культуры	2	5
195	и является	2	5
196	о котором	3	5
197	и только	5	5
198	не о	2	4
199	все они	3	4
200	его в	4	4
201	о которых	3	4
202	остается в	2	4
203	при том	4	4
204	а лишь	4	4
205	в виде	3	4
206	точку зрения	4	4
207	к нему	2	4
208	к этой	4	4
209	себе и	4	4
210	точно так	2	4
211	это есть	2	4
212	то в	3	4
213	ли это	4	4
214	это в	2	4
215	чтобы понять	2	4
216	на это	2	4
217	и по	3	4
218	мы можем	2	4
219	что ничего	2	4
220	том и	2	4
221	отношения к	2	4
222	не к	2	4
223	что для	3	4
224	из которых	5	4
225	из них	3	4
226	в лучшем	3	4
227	именно на	2	4
228	последнее время	2	4
229	если же	2	4
