N	2gram	Savitsky_P	Freidism
1	и не	12	34
2	точки зрения	3	31
3	не может	4	30
4	и пр	5	29
5	может быть	5	28
6	и в	14	28
7	в этом	10	28
8	прежде всего	3	26
9	в его	2	25
10	как бы	4	19
11	то что	4	17
12	с точки	3	15
13	во всех	2	13
14	но в	9	13
15	и потому	4	12
16	том что	4	12
17	то же	9	12
18	все это	2	12
19	только в	7	11
20	и с	2	10
21	не только	17	10
22	но и	6	10
23	не в	5	10
24	в том	9	10
25	тот же	3	10
26	мы должны	4	9
27	могут быть	3	9
28	мы не	3	9
29	а не	2	9
30	с этим	2	8
31	было бы	6	8
32	и вот	2	8
33	а в	4	8
34	в ней	6	8
35	в жизни	2	7
36	в то	7	7
37	в себе	3	7
38	что в	4	7
39	хотя бы	8	7
40	я и	3	7
41	того что	2	7
42	но не	3	7
43	в нем	3	7
44	и к	4	7
45	из них	2	7
46	не менее	2	6
47	для того	3	6
48	и о	5	6
49	в пределах	8	6
50	как раз	2	6
51	же время	7	6
52	со стороны	2	5
53	в общем	2	5
54	это не	3	5
55	отнюдь не	2	5
56	не было	2	5
57	в ее	2	5
58	с ними	3	5
59	говорить о	2	5
60	заключается в	3	5
61	одна из	2	4
62	в области	11	4
63	если бы	4	4
64	в своем	4	4
65	в котором	4	4
66	потому что	3	4
67	именно в	2	4
68	главным образом	2	4
69	по себе	4	4
70	сводится к	3	4
71	не будем	2	3
72	и как	3	3
73	как на	2	3
74	что мы	3	3
75	в них	2	3
76	для них	2	3
77	и есть	2	3
78	во всей	2	3
79	между тем	3	3
80	да и	2	2
81	в отношении	10	2
82	а также	4	2
83	время в	2	2
84	должно быть	2	2
85	из важнейших	2	2
86	и тем	2	2
87	современной европейской	2	2
88	для нас	2	2
89	с одной	3	2
90	в мире	2	2
91	исторического материализма	3	2
92	думать что	2	2
93	в эту	2	2
94	с другой	5	2
95	исключительно в	2	2
96	еще более	2	2
97	одной стороны	3	2
98	по-видимому не	2	2
99	в качестве	9	2
100	отношения к	2	2
101	не к	2	2
102	хх века	2	2
