N	2gram	Bakhtin_Pr	VrazhdaK
1	у тургенева	6	11
2	не только	26	9
3	достоевского с	4	9
4	достоевский в	10	8
5	и что	5	8
6	в этом	33	8
7	и в	64	8
8	что в	11	7
9	но и	26	7
10	и все	6	7
11	достоевского в	15	7
12	достоевского и	9	7
13	то что	21	7
14	но в	14	6
15	как и	25	6
16	в котором	7	6
17	в нем	28	6
18	и с	9	6
19	о нем	15	6
20	все же	11	6
21	в романе	12	6
22	и даже	5	6
23	и не	55	5
24	не было	5	5
25	об этом	3	5
26	в россии	2	5
27	то же	18	5
28	в то	15	5
29	же время	13	5
30	у него	11	5
31	между тем	7	5
32	в письме	2	5
33	для нас	2	4
34	уже в	5	4
35	целый ряд	2	4
36	несмотря на	7	4
37	у достоевского	29	4
38	в своих	4	4
39	это не	12	4
40	в виду	3	4
41	все это	9	4
42	при этом	8	4
43	о том	5	4
44	в ней	2	4
45	как бы	33	4
46	так же	8	4
47	что он	15	4
48	достоевского не	15	4
49	в истории	2	4
50	письме к	2	4
51	с ним	8	4
52	может быть	43	4
53	человека в	8	3
54	т е	44	3
55	и у	3	3
56	в том	12	3
57	одним из	7	3
58	его в	8	3
59	далеко не	7	3
60	что у	2	3
61	и уже	3	3
62	и во	3	3
63	в своем	12	3
64	том что	8	3
65	в его	30	3
66	и о	7	3
67	и его	21	3
68	достоевский не	5	3
69	и как	9	3
70	он был	2	3
71	он не	14	3
72	о себе	19	3
73	достоевского к	4	3
74	связи с	3	3
75	из подполья	12	3
76	но он	4	3
77	на то	5	3
78	я не	6	3
79	в конце	8	3
80	с его	11	3
81	тем что	6	3
82	никогда не	11	2
83	же не	4	2
84	с нею	2	2
85	в них	5	2
86	уже не	15	2
87	в мире	7	2
88	одна из	5	2
89	в него	6	2
90	в той	5	2
91	для него	23	2
92	и это	8	2
93	с точки	21	2
94	как же	6	2
95	роман достоевского	12	2
96	а в	10	2
97	он писал	2	2
98	он сам	5	2
99	в этой	5	2
100	достоевского он	3	2
101	о достоевском	7	2
102	том же	4	2
103	в своей	11	2
104	как раз	9	2
105	он пишет	2	2
106	же в	2	2
107	но как	4	2
108	и он	5	2
109	в себе	11	2
110	еще не	10	2
111	точки зрения	31	2
112	же как	2	2
113	это в	2	2
114	что ж	4	2
115	таким образом	15	2
116	и ее	5	2
117	что я	7	2
118	его и	3	2
119	отношения к	5	2
120	их в	8	2
121	достоевский был	3	2
122	рядом с	19	2
123	не может	26	2
124	из них	3	2
125	не менее	3	2
126	его на	2	2
127	но это	6	2
128	к себе	6	2
129	а с	2	2
130	он тоже	3	2
131	отношение к	4	2
