N	3gram	Tiupa_Disk	Vladivir
1	в том что	18	29
2	о том что	8	22
3	что же касается	4	14
4	и то что	2	14
5	дело в том	3	13
6	во всяком случае	2	12
7	более или менее	2	11
8	содержит в себе	3	11
9	к тому же	4	11
10	в то же	7	10
11	с точки зрения	3	10
12	не может быть	5	10
13	то же время	9	9
14	в свое время	3	7
15	в данном случае	6	6
16	том что в	3	6
17	в отличие от	12	6
18	с другой стороны	4	6
19	и в то	2	5
20	не говоря уже	2	5
21	не только в	2	5
22	по крайней мере	3	4
23	можно сказать что	3	4
24	говоря уже о	2	4
25	в этом отношении	4	4
26	с одной стороны	12	4
27	в том чтобы	2	4
28	с самого начала	2	3
29	потому что в	2	3
30	в первую очередь	3	3
31	в том числе	3	3
32	только то что	2	3
33	только в том	2	3
34	а с другой	4	3
35	не в том	3	3
36	в свою очередь	3	3
37	а в том	2	3
38	и прежде всего	2	2
39	а не только	2	2
40	и то же	2	2
41	при этом в	2	2
42	так и в	4	2
43	в себе не	2	2
44	одно и то	2	2
45	одной стороны и	3	2
46	и все же	3	2
47	в этом случае	3	2
