N	2gram	Nazirov_Tv	Poddanst
1	не только	16	17
2	и в	40	14
3	и не	12	12
4	в этом	11	10
5	но в	11	9
6	то же	19	9
7	в том	13	9
8	в качестве	2	9
9	хотя бы	5	8
10	в то	23	7
11	только в	7	7
12	же время	18	7
13	быть может	3	6
14	но и	10	6
15	было бы	2	6
16	в ней	2	6
17	xix века	13	6
18	а я	3	5
19	с другой	4	5
20	не в	3	5
21	и о	2	5
22	в которых	3	5
23	отношении к	2	5
24	может быть	11	5
25	по себе	2	4
26	что в	17	4
27	если бы	4	4
28	и потому	4	4
29	в своем	4	4
30	том что	14	4
31	в котором	8	4
32	в русской	5	4
33	как бы	26	4
34	и если	3	4
35	то что	9	4
36	не может	9	4
37	в с	2	4
38	а в	10	4
39	и как	5	3
40	но не	7	3
41	тем самым	10	3
42	это не	9	3
43	сводится к	2	3
44	сами по	2	3
45	в россии	5	3
46	столь же	2	3
47	мы не	3	3
48	я и	3	3
49	в себе	3	3
50	потому что	10	3
51	в нем	4	3
52	между тем	2	3
53	вслед за	2	3
54	и без	2	3
55	могут быть	4	3
56	прежде всего	10	3
57	и т	14	3
58	хотя и	5	3
59	тот же	3	3
60	с одной	2	3
61	с ними	3	3
62	наряду с	6	3
63	переход от	2	2
64	в жизни	3	2
65	в мире	8	2
66	было в	2	2
67	если в	3	2
68	одна из	5	2
69	есть не	2	2
70	для них	2	2
71	не к	2	2
72	и это	2	2
73	в статье	2	2
74	и тем	2	2
75	и достоевского	2	2
76	и других	5	2
77	в его	19	2
78	с этим	2	2
79	и вот	2	2
80	в xix	3	2
81	не менее	8	2
82	время в	3	2
83	именно в	6	2
84	в начале	2	2
85	в виде	4	2
86	еще более	3	2
87	все это	14	2
88	в частности	4	2
89	а не	9	2
90	во всей	2	2
91	не было	3	2
92	мысль о	3	2
93	и есть	2	2
94	например в	3	2
95	и с	9	2
96	на этих	2	2
97	во всех	2	2
98	в ее	3	2
99	не нужно	2	2
100	xix веке	3	2
101	эта идея	2	2
102	как раз	2	2
103	в сфере	2	2
104	того что	3	2
105	из них	4	2
106	в которую	2	2
107	xix век	2	2
108	не столько	4	2
109	отнюдь не	9	2
