N	2gram	Potebnia_M	Problemy
1	и в	48	106
2	и не	28	90
3	как бы	10	70
4	может быть	46	66
5	в его	6	56
6	в этом	19	52
7	в нем	16	51
8	не может	18	49
9	что он	8	44
10	как и	22	44
11	но и	30	40
12	точки зрения	4	40
13	для него	14	39
14	и его	4	39
15	а не	22	38
16	не только	32	36
17	то же	35	36
18	то что	37	33
19	но в	8	33
20	прежде всего	6	32
21	в то	16	29
22	все это	4	29
23	он не	4	29
24	и все	5	28
25	не в	24	27
26	в одном	4	27
27	к другому	3	27
28	же время	8	26
29	к нему	7	25
30	в сущности	3	25
31	с точки	3	25
32	и т	12	25
33	в самом	11	25
34	и с	4	25
35	самом деле	5	24
36	не как	3	24
37	вовсе не	13	24
38	рядом с	2	23
39	слова и	8	23
40	и на	5	23
41	таким образом	24	22
42	в каждом	6	22
43	что я	5	22
44	по себе	26	22
45	как мы	8	21
46	там где	6	21
47	никогда не	2	20
48	все же	3	20
49	потому что	82	20
50	только в	29	20
51	что в	30	19
52	отношению к	10	19
53	слова в	7	19
54	что же	3	19
55	на самом	4	18
56	в себе	26	18
57	по отношению	12	18
58	т п	7	18
59	уже не	11	18
60	еще не	9	18
61	но не	8	18
62	это не	2	17
63	в том	47	17
64	так и	17	17
65	а в	14	17
66	и к	5	17
67	с ним	10	17
68	так же	6	16
69	если бы	20	16
70	в своей	2	16
71	этом смысле	2	16
72	и наконец	3	15
73	у него	3	15
74	так как	20	14
75	в своем	6	14
76	лишь в	2	14
77	с другим	2	14
78	а как	2	14
79	его в	6	13
80	перед нами	3	13
81	и это	6	13
82	большинстве случаев	2	13
83	в целом	5	13
84	себя и	4	13
85	с другими	9	13
86	в мире	3	13
87	на него	3	13
88	но все	2	13
89	в большинстве	2	13
90	том что	28	12
91	слово в	6	12
92	даже в	3	12
93	так что	14	12
94	к тому	9	12
95	между тем	19	12
96	не знает	4	12
97	что и	16	12
98	при этом	6	12
99	было бы	16	12
100	во всяком	4	12
101	так сказать	6	12
102	но это	9	12
103	за пределы	2	12
104	и даже	3	12
105	и как	8	12
106	и слово	6	12
107	как в	17	12
108	отношении к	3	12
109	в котором	7	12
110	и что	13	12
111	у меня	2	12
112	слово с	4	11
113	не могут	7	11
114	в форме	2	11
115	слово и	4	11
116	сливается с	2	11
117	она не	4	11
118	этого слова	14	11
119	бы и	4	11
120	это слово	6	11
121	он сам	2	11
122	должно быть	9	11
123	бы в	3	11
124	тем что	13	11
125	сознания и	2	11
126	с другой	8	11
127	их в	3	11
128	входит в	3	11
129	мы уже	5	11
130	к одному	7	10
131	в произведении	4	10
132	отношение к	2	10
133	для себя	3	10
134	идеи в	2	10
135	что не	12	10
136	слово не	6	10
137	до сих	4	10
138	слова с	4	10
139	сих пор	4	10
140	далеко не	5	10
141	той же	6	10
142	в слове	41	10
143	и потому	9	9
144	в единстве	2	9
145	или в	4	9
146	могут быть	6	9
147	в них	9	9
148	хотя и	3	9
149	да и	2	9
150	другой стороны	4	9
151	хотя бы	3	9
152	человека в	2	9
153	из одного	3	9
154	что у	4	9
155	ни в	2	9
156	всяком случае	3	9
157	в той	2	9
158	но он	3	9
159	мы должны	6	8
160	но как	2	8
161	уже в	10	8
162	никак не	3	8
163	одним из	3	8
164	это и	2	8
165	и о	6	8
166	того что	24	8
167	несмотря на	2	8
168	сознание и	5	8
169	нам кажется	7	8
170	с ними	6	8
171	и до	2	8
172	должна быть	2	8
173	и от	5	8
174	что это	6	8
175	в человеке	4	8
176	был бы	2	8
177	ни было	2	8
178	о том	7	8
179	из них	11	8
180	же и	3	8
181	вопрос о	2	7
182	его к	2	7
183	и следовательно	3	7
184	от него	2	7
185	в этих	2	7
186	но эта	3	7
187	с которым	3	7
188	в их	2	7
189	в виде	3	7
190	к своему	3	7
191	тем как	4	7
192	в процессе	2	7
193	все его	2	7
194	к самому	2	7
195	только на	4	7
196	между ними	4	7
197	и другого	2	7
198	как слово	4	7
199	что все	5	7
200	что они	2	7
201	все равно	5	7
202	например в	9	7
203	тот же	2	7
204	бы то	2	7
205	сказать что	8	7
206	кажется что	3	7
207	его с	3	7
208	друг другу	2	7
209	что она	4	7
210	мысли и	8	7
211	т д	5	7
212	сама по	3	7
213	и их	4	7
214	но на	2	7
215	на мир	2	7
216	не было	12	7
217	другого в	2	6
218	может стать	3	6
219	на вопрос	2	6
220	отличие от	2	6
221	а с	4	6
222	не менее	9	6
223	собою и	3	6
224	стремится к	3	6
225	на его	4	6
226	во время	4	6
227	и здесь	3	6
228	на них	2	6
229	с этим	12	6
230	словом и	6	6
231	в начале	3	6
232	ни был	3	6
233	за ним	4	6
234	во всем	2	6
235	и самое	3	6
236	превращается в	3	6
237	человек и	2	6
