N	2gram	Bakhtin_KF	VerxiiNi
1	и в	28	26
2	с тем	2	18
3	в этом	15	15
4	точки зрения	13	13
5	как бы	9	12
6	в том	6	11
7	не только	5	10
8	может быть	45	10
9	что в	4	9
10	в области	2	9
11	но и	9	9
12	но не	12	8
13	и не	28	8
14	но все	6	7
15	к нему	12	7
16	потому что	2	7
17	то что	7	7
18	но в	5	7
19	том что	4	7
20	а с	2	7
21	все же	5	6
22	о том	3	6
23	в себе	21	6
24	что и	7	6
25	с точки	10	6
26	и т.д	4	6
27	все эти	11	6
28	все это	10	6
29	и потому	2	6
30	так и	2	6
31	никогда не	5	5
32	в мире	8	5
33	и для	10	5
34	не имеет	6	5
35	отношение к	6	5
36	того чтобы	2	5
37	лишь в	8	5
38	в его	42	5
39	для того	3	5
40	а не	17	5
41	а в	5	4
42	в котором	24	4
43	в нем	32	4
44	не может	29	4
45	в смысле	6	4
46	из которых	2	4
47	в виде	2	4
48	то же	5	4
49	только в	18	4
50	что он	2	4
51	и только	7	4
52	он не	6	4
53	в этой	2	4
54	в то	3	4
55	что это	4	3
56	культура в	2	3
57	в своем	17	3
58	к ним	4	3
59	уже не	7	3
60	хотя бы	5	3
61	к этому	2	3
62	тем не	2	3
63	и как	2	3
64	если бы	8	3
65	при этом	4	3
66	не менее	3	3
67	в качестве	2	3
68	ясно что	3	3
69	отношению к	22	3
70	в одном	5	3
71	того что	3	3
72	для него	13	3
73	культуры и	5	3
74	по своему	3	2
75	для этого	2	2
76	этот факт	2	2
77	и это	12	2
78	или иной	2	2
79	ли это	2	2
80	выход из	2	2
81	мы имеем	5	2
82	ко всему	5	2
83	в процессе	2	2
84	ему в	2	2
85	между тем	4	2
86	не потому	2	2
87	в свою	3	2
88	из себя	11	2
89	не как	4	2
90	ни у	2	2
91	именно в	5	2
92	конечно не	7	2
93	если не	2	2
94	тогда когда	3	2
95	и на	3	2
96	и здесь	7	2
97	и действительно	6	2
98	еще не	5	2
99	то или	2	2
100	жизни и	8	2
101	не было	8	2
102	и мир	2	2
103	не в	13	2
104	из него	4	2
105	то ни	2	2
106	ничего общего	2	2
107	ни было	4	2
108	той или	3	2
109	и все	9	2
110	же время	2	2
111	один из	2	2
112	в виду	3	2
113	со всеми	2	2
114	людей и	3	2
115	прежде всего	4	2
116	бы то	2	2
117	или иное	2	2
118	тот же	3	2
119	с его	2	2
120	во всех	11	2
121	всех других	2	2
122	культурные ценности	3	2
123	быть и	3	2
