N	3gram	Losev_Prob	Myslijsy
1	в том что	17	47
2	не может быть	5	19
3	тем не менее	23	18
4	по крайней мере	9	17
5	и т д	20	15
6	сам по себе	10	14
7	само по себе	5	14
8	в то же	10	13
9	в том смысле	4	13
10	во всяком случае	8	12
11	с другой стороны	11	12
12	более или менее	2	12
13	только в том	2	12
14	до сих пор	4	12
15	и в этом	6	12
16	подобно тому как	2	11
17	сами по себе	8	11
18	для того чтобы	4	11
19	в то время	6	10
20	с одной стороны	2	10
21	мы не можем	2	9
22	о том что	8	9
23	на то что	2	9
24	в таком случае	7	9
25	но и в	2	9
26	что и в	3	9
27	на самом деле	5	8
28	то есть не	5	8
29	так и в	2	8
30	в этом случае	8	8
31	только потому что	3	8
32	и то же	5	7
33	можно сказать что	2	7
34	как и в	2	7
35	одно и то	4	7
36	не только не	5	7
37	не только в	2	7
38	с точки зрения	9	7
39	сама по себе	11	7
40	в этом смысле	5	7
41	потому что мы	2	7
42	не было бы	3	6
43	то же самое	17	6
44	и как бы	2	6
45	и может быть	2	6
46	друг от друга	3	6
47	то тем самым	2	6
48	то что мы	3	6
49	по себе а	3	5
50	в сравнении с	4	5
51	и то что	8	5
52	что не только	2	4
53	не есть ни	4	4
54	или по крайней	6	4
55	так что в	2	4
56	в данном случае	12	4
57	обратить внимание на	2	4
58	том смысле что	4	4
59	не что иное	6	4
60	мы не знаем	2	4
61	то время как	6	4
62	в том виде	4	4
63	что иное как	6	4
64	это было бы	2	4
65	дело в том	4	4
66	бы то ни	5	3
67	то есть в	5	3
68	что же касается	5	3
69	этой точки зрения	2	3
70	то это не	2	3
71	том что он	2	3
72	ничего общего с	2	3
73	что он не	2	3
74	не менее в	3	3
75	можно было бы	6	3
76	на первый взгляд	3	3
77	и тем самым	3	3
78	точно так же	5	3
79	потому что он	6	3
80	хотя бы и	2	3
81	в связи с	9	3
82	заключается в том	5	3
83	а не есть	2	3
84	есть то что	3	3
85	так или иначе	2	3
86	когда мы говорим	5	3
87	по себе и	2	3
88	но с другой	2	3
89	равно как и	2	3
90	и говорить о	2	2
91	и независимо от	2	2
92	это значит что	8	2
93	то или другое	2	2
94	нечто такое что	2	2
95	так же как	3	2
96	даже и в	3	2
97	и в других	2	2
98	есть прежде всего	3	2
99	только то что	4	2
100	он не есть	4	2
101	так что мы	2	2
102	как мы видели	2	2
103	и не в	2	2
104	то ни было	4	2
105	до того что	2	2
106	в таких случаях	2	2
107	но никак не	4	2
108	не есть нечто	2	2
109	могло бы быть	2	2
110	о том как	4	2
111	для нас не	4	2
112	и тем более	4	2
113	так же и	3	2
114	у нас в	2	2
115	мы могли бы	3	2
116	то есть от	2	2
117	мы говорим о	2	2
118	не может обойтись	2	2
119	мы имеем дело	2	2
120	а может быть	2	2
121	для нас значение	2	2
122	в буквальном смысле	2	2
123	мы в то	2	2
124	всяком случае не	2	2
125	в себе в	2	2
126	только при помощи	4	2
