N	2gram	Vinokur_Ku	Vvedenie
1	и т	62	45
2	т е	54	40
3	т д	21	39
4	в том	47	38
5	в этом	31	35
6	и в	44	35
7	том что	30	30
8	может быть	25	30
9	не только	29	26
10	для того	23	23
11	того чтобы	25	22
12	таким образом	17	21
13	также и	7	20
14	не может	13	19
15	то что	14	19
16	потому что	40	18
17	но также	6	16
18	со стороны	8	16
19	о том	10	16
20	только в	15	16
21	так как	16	15
22	языка и	16	15
23	в общем	4	14
24	и не	23	13
25	что в	25	13
26	в самом	20	13
27	в нем	7	13
28	и именно	3	13
29	в их	3	12
30	того что	11	12
31	что такое	8	12
32	точки зрения	25	12
33	в его	16	12
34	как на	4	12
35	этом смысле	8	11
36	в данном	8	11
37	то же	12	11
38	по себе	10	11
39	в ее	2	11
40	как мы	2	11
41	ясно что	7	11
42	вопрос о	11	10
43	не в	18	10
44	прежде всего	14	10
45	но в	11	10
46	в той	6	10
47	уже и	3	10
48	между тем	11	10
49	из этих	5	9
50	этого рода	6	9
51	тем не	10	9
52	и как	3	9
53	все же	17	9
54	смысле этого	5	9
55	но не	11	9
56	не менее	12	9
57	дело с	2	9
58	науки о	3	9
59	как об	2	9
60	в истории	3	9
61	это не	13	8
62	можно было	14	8
63	о котором	4	8
64	с другой	14	8
65	а только	10	8
66	именно в	7	8
67	широком смысле	5	8
68	в качестве	12	8
69	в широком	2	7
70	и то	7	7
71	не трудно	8	7
72	с течением	2	7
73	самом деле	17	7
74	сих пор	5	7
75	как и	3	7
76	как бы	11	7
77	течением времени	2	7
78	в большей	2	7
79	этот вопрос	7	7
80	смысле слова	3	7
81	но и	13	7
82	в разных	2	7
83	только как	3	7
84	было бы	28	7
85	до сих	5	7
86	сказать что	5	6
87	не могут	5	6
88	как например	3	6
89	том чтобы	9	6
90	истории языка	5	6
91	хотя бы	19	6
92	иное как	3	6
93	об этом	4	6
94	и даже	5	6
95	но если	2	6
96	о языке	8	6
97	трудно видеть	3	6
98	тем что	9	6
99	а именно	4	6
100	мере в	7	6
101	в какой	7	6
102	так например	3	6
103	на этот	4	6
104	с тем	5	6
105	и это	3	6
106	а в	7	6
107	уже не	13	6
108	в которых	8	6
109	той мере	6	6
110	могут быть	5	6
111	видеть что	3	6
112	в то	4	6
113	один из	8	6
114	что история	2	6
115	и что	11	6
116	и его	8	6
117	и историей	2	6
118	все это	10	6
119	же время	4	6
120	этом случае	4	6
121	вовсе не	18	6
122	вместе с	8	6
123	данном случае	2	5
124	дело в	2	5
125	с их	3	5
126	дело не	4	5
127	не что	2	5
128	в виду	7	5
129	и тем	7	5
130	одним из	2	5
131	с этой	4	5
132	что он	7	5
133	так что	5	5
134	т п	39	5
135	что иное	2	5
136	быть в	2	5
137	что не	10	5
138	одно из	3	5
139	наука о	3	5
140	от этого	4	5
141	как это	6	5
142	в г	3	5
143	на почве	2	5
144	а потому	6	5
145	есть не	2	5
146	не есть	4	5
147	она есть	2	5
148	при том	2	5
149	язык как	9	5
150	другой стороны	12	5
151	в них	10	5
152	уже в	5	5
153	в целом	5	5
154	всяком случае	8	5
155	внимание на	5	5
156	что и	5	5
157	языка в	14	5
158	говорить о	5	5
159	не просто	7	5
160	а не	17	5
161	в первом	3	5
162	но с	2	5
163	хотя и	7	5
164	приходим к	2	5
165	во всяком	8	5
166	да и	5	4
167	еще и	7	4
168	все более	2	4
169	само по	6	4
170	по сравнению	3	4
171	любовь к	2	4
172	в результате	8	4
173	мы имеем	11	4
174	о чем	2	4
175	одной стороны	2	4
176	в области	15	4
177	по отношению	9	4
178	в каждом	3	4
179	только что	2	4
180	должен быть	8	4
181	в особенности	6	4
182	этом отношении	8	4
183	это только	5	4
184	но ведь	3	4
185	как о	2	4
186	еще не	10	4
187	по мере	3	4
188	е в	3	4
189	по крайней	11	4
190	отношению к	9	4
191	речь в	7	4
192	в чем	2	4
193	отличие от	3	4
194	в отличие	3	4
195	с одной	3	4
196	заключается в	3	4
197	к тому	8	4
198	но все	5	4
199	и для	3	4
200	не имеет	6	4
201	так или	3	4
202	в котором	4	4
203	в более	2	4
204	от истории	2	4
205	даже и	5	4
206	ответ на	2	4
207	тогда когда	7	4
208	в одном	4	4
209	из них	4	4
210	или иначе	4	4
211	в прямом	2	4
212	в себе	4	4
213	с точки	16	4
214	общем случае	2	4
215	научное языковедение	2	4
216	крайней мере	11	4
217	в своей	4	4
218	как раз	10	4
219	можно сказать	6	4
220	той же	5	4
221	однако не	9	4
222	так называемых	3	4
223	никогда не	2	3
224	культурной истории	2	3
225	до конца	3	3
226	в каком	6	3
227	в отношении	2	3
228	свое время	4	3
229	что это	11	3
230	или иной	3	3
231	в своем	4	3
232	а также	3	3
233	с этим	6	3
234	с историей	2	3
235	так же	8	3
236	нисколько не	6	3
237	в собственном	2	3
238	например что	2	3
239	но дело	2	3
240	бы и	6	3
241	для этого	6	3
242	что она	5	3
243	к этому	4	3
244	не как	2	3
245	в другом	2	3
246	в конце	5	3
247	обе эти	4	3
248	от того	5	3
249	отношение к	2	3
250	и здесь	8	3
251	или же	3	3
252	если бы	21	3
253	этого термина	4	3
254	зависимости от	9	3
255	разумеется и	2	3
256	в свое	4	3
257	так называемой	2	3
258	русский язык	9	3
259	в сущности	11	3
260	и вот	4	3
261	конечном итоге	2	3
262	в этих	5	3
263	в силу	16	3
264	язык в	7	3
265	в частности	6	3
266	как история	2	3
267	как в	6	3
268	свое выражение	2	3
269	что даже	2	3
270	не с	4	3
271	мы видели	3	3
272	как такового	2	3
273	идет речь	3	3
274	вообще не	2	3
275	можно говорить	4	3
276	на этой	4	3
277	на том	4	3
278	и на	8	3
279	гораздо более	6	3
280	того же	6	3
281	другое дело	2	3
282	может служить	4	3
283	за собой	2	3
284	в ней	6	3
285	в конечном	3	3
286	вообще и	2	3
287	мы говорим	4	3
288	на этом	4	3
289	между ними	2	3
290	однако в	2	3
