N	2gram	Vygotskiy_	Poddanst
1	не только	25	17
2	и в	55	14
3	и не	24	12
4	в области	12	11
5	в этом	21	10
6	в отношении	3	10
7	но в	5	9
8	то же	17	9
9	в том	55	9
10	в качестве	3	9
11	хотя бы	4	8
12	в то	8	7
13	только в	18	7
14	же время	2	7
15	быть может	2	6
16	но и	12	6
17	было бы	14	6
18	в смысле	3	6
19	в ней	3	6
20	с другой	7	5
21	не в	19	5
22	и о	4	5
23	в которых	5	5
24	отношении к	3	5
25	может быть	35	5
26	по себе	21	4
27	что в	39	4
28	если бы	10	4
29	и потому	2	4
30	в своем	3	4
31	том что	30	4
32	мы должны	4	4
33	в котором	5	4
34	и к	5	4
35	как бы	11	4
36	и если	4	4
37	то что	47	4
38	не может	30	4
39	а в	10	4
40	что мы	9	3
41	и как	9	3
42	с тем	11	3
43	исторического материализма	3	3
44	но не	5	3
45	тем самым	2	3
46	т е	3	3
47	с точки	12	3
48	сводится к	3	3
49	сами по	4	3
50	столь же	6	3
51	мы не	15	3
52	для того	12	3
53	в себе	6	3
54	точки зрения	32	3
55	потому что	27	3
56	одной стороны	7	3
57	в нем	5	3
58	между тем	6	3
59	вслед за	10	3
60	и без	3	3
61	она есть	2	3
62	могут быть	15	3
63	прежде всего	5	3
64	и т	36	3
65	хотя и	3	3
66	тот же	8	3
67	с одной	6	3
68	с ними	2	3
69	заключается в	15	3
70	наряду с	3	3
71	для нас	5	2
72	должно быть	2	2
73	в них	4	2
74	в жизни	5	2
75	если в	2	2
76	одна из	5	2
77	есть не	6	2
78	признание что	2	2
79	которое в	2	2
80	не к	2	2
81	никак не	7	2
82	в русском	4	2
83	стороны и	3	2
84	и мы	6	2
85	и это	6	2
86	есть нечто	4	2
87	творчества и	3	2
88	точек зрения	3	2
89	и тем	5	2
90	и других	4	2
91	в его	8	2
92	с этим	7	2
93	по сравнению	3	2
94	и вот	5	2
95	в общем	2	2
96	не менее	9	2
97	бы ни	2	2
98	время в	2	2
99	со стороны	5	2
100	еще более	2	2
101	все это	11	2
102	но к	3	2
103	в частности	6	2
104	как на	6	2
105	начала и	2	2
106	а не	18	2
107	не было	5	2
108	и есть	5	2
109	например в	5	2
110	и с	5	2
111	во всех	4	2
112	в ее	7	2
113	ней не	2	2
114	заключает в	3	2
115	как раз	4	2
116	есть в	7	2
117	к чему	2	2
118	того что	15	2
119	думать что	3	2
120	в силу	4	2
121	главным образом	3	2
122	из них	4	2
123	отнюдь не	11	2
