N	2gram	Vinokur_Ku	Formalny
1	и в	44	95
2	т е	54	94
3	и не	23	78
4	может быть	25	66
5	в этом	31	61
6	не может	13	57
7	и пр	23	53
8	вовсе не	18	53
9	таким образом	17	52
10	и его	8	51
11	так и	10	50
12	точки зрения	25	47
13	в нем	7	42
14	в его	16	42
15	прежде всего	14	41
16	с точки	16	40
17	как и	3	39
18	и т	62	37
19	не в	18	35
20	в самом	20	35
21	а не	17	34
22	но и	13	33
23	то же	12	32
24	самом деле	17	32
25	не только	29	30
26	в пределах	8	28
27	в том	47	26
28	отнюдь не	5	26
29	если бы	21	26
30	то что	14	25
31	на самом	3	24
32	при этом	6	24
33	в своей	4	24
34	лишь в	6	24
35	на почве	2	24
36	в ней	6	23
37	связи с	8	23
38	было бы	28	23
39	с помощью	12	23
40	в то	4	22
41	в истории	3	21
42	как бы	11	21
43	что в	25	21
44	и с	11	21
45	в их	3	20
46	не менее	12	20
47	между ними	2	20
48	и от	2	20
49	с тем	5	20
50	как мы	2	20
51	же время	4	20
52	не могут	5	19
53	все это	10	19
54	хотя бы	19	19
55	т д	21	19
56	социального общения	3	19
57	по себе	10	19
58	т п	39	18
59	все же	17	18
60	и все	4	18
61	все эти	17	18
62	в связи	4	18
63	должна быть	6	18
64	с его	4	18
65	и их	2	18
66	только в	15	18
67	социальной жизни	3	17
68	более того	2	17
69	как в	6	17
70	как раз	10	17
71	так же	8	16
72	в искусстве	2	16
73	во всяком	8	16
74	совершенно не	4	16
75	с другой	14	16
76	потому что	40	16
77	всяком случае	8	16
78	но в	11	15
79	бы в	8	15
80	так как	16	15
81	должно быть	6	15
82	именно в	7	15
83	и на	8	15
84	что он	7	14
85	в целом	5	14
86	языка и	16	14
87	в ее	2	14
88	в своем	4	14
89	еще не	10	14
90	в этой	8	14
91	если мы	5	14
92	и потому	6	14
93	вместе с	8	14
94	до конца	3	13
95	в настоящее	2	13
96	настоящее время	2	13
97	со стороны	8	13
98	того что	11	13
99	языка как	7	13
100	а в	7	13
101	что же	11	13
102	могут быть	5	13
103	для них	2	13
104	что и	5	13
105	сводится к	3	13
106	в результате	8	13
107	тем что	9	13
108	ни в	3	13
109	как таковой	2	13
110	в действительности	2	12
111	по отношению	9	12
112	как это	6	12
113	история литературы	2	12
114	того чтобы	25	12
115	лишь как	3	12
116	там где	7	12
117	и здесь	8	12
118	к тому	8	12
119	отношению к	9	12
120	и для	3	12
121	оно не	5	12
122	уже не	13	12
123	никогда не	2	11
124	этом отношении	8	11
125	это и	6	11
126	они не	4	11
127	в общем	4	11
128	так сказать	5	11
129	в большинстве	3	11
130	но не	11	11
131	то ни	2	11
132	слова и	8	11
133	что они	5	11
134	для него	2	11
135	зависимости от	9	11
136	между тем	11	11
137	не есть	4	10
138	не как	2	10
139	язык как	9	10
140	в зависимости	7	10
141	не было	6	10
142	по существу	9	10
143	мы видели	3	10
144	другой стороны	12	10
145	не является	2	10
146	как о	2	10
147	в первом	3	10
148	и как	3	10
149	в своих	2	10
150	главным образом	3	10
151	большинстве случаев	3	10
152	конечно не	3	10
153	он не	4	10
154	на фоне	3	10
155	в слове	3	10
156	тем же	2	10
157	ничего не	6	9
158	здесь не	5	9
159	но это	4	9
160	и может	3	9
161	или иного	5	9
162	в каждом	3	9
163	и даже	5	9
164	но ведь	3	9
165	у нас	19	9
166	в свою	4	9
167	языка в	14	9
168	говорить о	5	9
169	мы знаем	3	9
170	отношения к	2	9
171	в языке	16	9
172	это не	13	8
173	была бы	5	8
174	до сих	5	8
175	одной стороны	2	8
176	в них	10	8
177	с одной	3	8
178	в области	15	8
179	же как	3	8
180	для этого	6	8
181	что это	11	8
182	с этим	6	8
183	в данном	8	8
184	всех этих	4	8
185	сих пор	5	8
186	следует что	6	8
187	как такового	2	8
188	и должно	2	8
189	первый период	2	8
190	и является	4	8
191	должен быть	8	8
192	роль в	6	8
193	в сторону	2	8
194	для того	23	8
195	не следует	6	8
196	на основе	2	8
197	ясно что	7	8
198	следовательно и	2	7
199	том что	30	7
200	языке как	5	7
201	в себе	4	7
202	свою очередь	4	7
203	смысла и	2	7
204	как к	2	7
205	что именно	2	7
206	или менее	3	7
207	более или	3	7
208	даже и	5	7
209	во втором	2	7
210	в сущности	11	7
211	не на	4	7
212	значение и	2	7
213	сказать что	5	7
214	к этому	4	7
215	того или	6	7
216	время в	2	7
217	пр и	2	7
218	в первый	2	7
219	в особенности	6	7
220	можно говорить	4	7
221	и только	2	7
222	смысл и	5	7
223	в какой	7	7
224	и более	3	7
225	но все	5	7
226	сами по	2	7
227	столь же	2	7
228	только и	3	7
229	за счет	2	7
230	из них	4	7
231	в той	6	7
232	мы увидим	3	7
233	же и	4	7
234	от этого	4	7
235	данном случае	2	6
236	тем самым	5	6
237	в которой	7	6
238	именно так	2	6
239	в конце	5	6
240	отношение к	2	6
241	на этом	4	6
242	и тем	7	6
243	в частности	6	6
244	так в	2	6
245	и это	3	6
246	тому что	3	6
247	в этих	5	6
248	один из	8	6
249	смысле этого	5	6
250	нисколько не	6	6
251	этого слова	8	6
252	должны быть	4	6
253	ее в	2	6
254	общения и	2	6
255	из этих	5	6
256	отличается от	2	6
257	кроме того	2	6
258	в статье	3	6
259	но для	4	6
260	в живом	2	6
261	например в	5	6
262	о том	10	6
263	по преимуществу	3	6
264	в смысле	2	6
265	уже в	5	6
266	в плоскости	2	6
267	с ним	5	6
268	той же	5	6
269	учение о	4	6
270	даже в	4	5
271	в широком	2	5
272	мы должны	2	5
273	тому чтобы	2	5
274	все более	2	5
275	что оно	6	5
276	о языке	8	5
277	от того	5	5
278	или же	3	5
279	к которому	3	5
280	в виду	7	5
281	на все	3	5
282	роли в	3	5
283	может и	2	5
284	показать что	2	5
285	отличие от	3	5
286	всего в	2	5
287	так например	3	5
288	не так	2	5
289	не приходится	2	5
290	а только	10	5
291	она есть	2	5
292	в отличие	3	5
293	то это	3	5
294	в такой	2	5
295	что не	10	5
296	и по	4	5
297	можно сказать	6	5
298	слов и	2	5
299	на язык	4	5
300	хотя и	7	5
301	бы и	6	5
302	да и	5	5
303	и то	7	5
304	если в	2	5
305	не столько	2	5
306	как например	3	5
307	то и	4	5
308	совершенно справедливо	2	5
309	мы можем	2	5
310	как они	2	5
311	с этой	4	5
312	для нас	6	5
313	целом и	2	5
314	не имеет	6	5
315	в самой	6	5
316	в котором	4	5
317	слова в	7	5
318	в отношении	2	5
319	приводит к	3	5
320	этом смысле	8	5
321	язык по	2	5
322	и что	11	5
323	же в	5	5
324	как на	4	5
325	в нашем	8	5
326	однако не	9	5
327	вопрос о	11	5
328	все дело	3	4
329	или даже	2	4
330	очевидно что	4	4
331	и следовательно	2	4
332	а на	3	4
333	но даже	3	4
334	увидим что	2	4
335	и сами	2	4
336	одним из	2	4
337	слово в	2	4
338	конце концов	3	4
339	он должен	2	4
340	тогда когда	7	4
341	п в	3	4
342	себе в	3	4
343	о нем	2	4
344	никаких оснований	2	4
345	идет о	3	4
346	к этой	3	4
347	того же	6	4
348	науки о	3	4
349	аналогии с	3	4
350	или в	5	4
351	содержания и	2	4
352	нужно было	3	4
353	и тогда	4	4
354	был бы	4	4
355	только как	3	4
356	нет в	2	4
357	могла бы	2	4
358	не значит	2	4
359	тех же	2	4
360	только то	2	4
361	однако и	2	4
362	для данного	2	4
363	тем не	10	4
364	целый ряд	8	4
365	как не	4	4
366	превращается в	4	4
367	в таком	3	4
368	в последнем	2	4
369	и о	3	4
370	под влиянием	3	4
371	это положение	2	4
372	в целях	2	4
373	но если	2	4
374	наука о	3	4
375	есть лишь	3	4
376	что для	3	4
377	слова как	5	4
378	что такое	8	4
379	знаем что	3	4
380	или иначе	4	4
381	этот вопрос	7	4
382	мы говорим	4	4
383	не для	2	4
384	или иное	2	4
385	чтобы показать	2	4
386	что было	2	4
387	е как	5	4
388	лишь с	3	4
389	в каких	2	4
390	и если	4	3
391	перед нами	4	3
392	к одному	2	3
393	во все	2	3
394	или иной	3	3
395	в роде	2	3
396	содержание и	5	3
397	том как	3	3
398	в каком	6	3
399	то мы	4	3
400	противном случае	2	3
401	ни были	3	3
402	вся эта	2	3
403	это только	5	3
404	не всегда	4	3
405	в науке	4	3
406	в году	3	3
407	и при	3	3
408	в современной	3	3
409	так что	5	3
410	так называемым	2	3
411	о возможности	2	3
412	связано с	3	3
413	том смысле	2	3
414	к сожалению	2	3
415	подойти к	3	3
416	вопроса о	7	3
417	может иметь	3	3
418	но как	2	3
419	языка который	3	3
420	для этой	2	3
421	так или	3	3
422	речи и	8	3
423	состоит в	4	3
424	широком смысле	5	3
425	что на	2	3
426	из одного	3	3
427	к такому	2	3
428	этого термина	4	3
429	пр но	2	3
430	же касается	4	3
431	внутренняя форма	2	3
432	смысле слова	3	3
433	на его	3	3
434	нуждается в	5	3
435	ни одного	2	3
436	прав когда	2	3
437	к своему	2	3
438	было в	2	3
439	в качестве	12	3
440	поставить вопрос	2	3
441	е в	3	3
442	ли нужно	2	3
443	тот же	7	3
444	вряд ли	5	3
445	никак не	5	3
446	быть только	3	3
447	тем более	2	3
448	дело в	2	3
449	в это	3	3
450	это было	2	3
451	борьбы с	2	3
452	дело с	2	3
453	но уже	6	3
454	то или	3	3
455	фактов и	2	3
456	все те	3	3
457	язык в	7	3
458	в чем	2	3
459	именно это	2	3
460	в форме	3	3
461	в контексте	2	3
462	не с	4	3
463	том чтобы	9	3
464	формы в	2	3
465	вообще не	2	3
466	пришлось бы	2	3
467	на то	6	3
468	когда он	4	3
469	значения в	2	3
470	в которых	8	3
471	в одном	4	3
472	а именно	4	3
473	языка то	3	3
474	но что	3	3
475	приходим к	2	3
476	лишь к	2	3
477	языка к	2	3
478	внимание на	5	3
479	в системе	3	3
480	ту же	6	3
481	с их	3	3
482	в противном	2	3
483	с проблемой	2	3
484	не просто	7	3
485	в противовес	3	3
486	ничего общего	2	3
487	но оно	2	3
488	как некоторое	3	3
489	и именно	3	3
490	часто и	2	3
491	но он	2	3
492	материалом для	2	3
493	иначе как	2	2
494	только тогда	4	2
495	смысле что	2	2
496	мы приходим	2	2
497	исторической жизни	2	2
498	той мере	6	2
499	о чем	2	2
500	в тех	4	2
501	ними и	2	2
502	связанных с	2	2
503	в другом	2	2
504	что язык	7	2
505	не был	2	2
506	с историей	2	2
507	но есть	2	2
508	грамматических форм	4	2
509	это определение	2	2
510	есть не	2	2
511	то она	2	2
512	не знают	2	2
513	не потому	6	2
514	в язык	2	2
515	были бы	2	2
516	sui generis	2	2
517	что если	4	2
518	привести в	3	2
519	смысл в	2	2
520	не знает	4	2
521	а с	3	2
522	ведь и	2	2
523	то оно	2	2
524	характер и	2	2
525	к ним	2	2
526	только потому	13	2
527	и эти	3	2
528	к вопросу	4	2
529	общего с	2	2
530	но так	2	2
531	мере в	7	2
532	а все	2	2
533	в современном	3	2
534	в более	2	2
535	только к	2	2
536	что этот	2	2
537	а если	5	2
538	языка если	2	2
539	и без	2	2
540	мы имеем	11	2
541	что этого	3	2
542	уже о	2	2
543	и социальной	2	2
544	говорим о	3	2
545	не говоря	3	2
546	этой точки	4	2
547	однако в	2	2
548	языку как	4	2
549	в русском	14	2
550	языка но	3	2
551	говорить лишь	2	2
552	мы в	3	2
553	в силу	16	2
554	бы уже	2	2
555	с ними	6	2
556	находится в	2	2
557	сюда же	3	2
558	заключается в	3	2
559	говоря уже	2	2
560	этом случае	4	2
561	выходит за	2	2
562	в структуре	3	2
563	для самого	3	2
564	представление о	3	2
565	также что	2	2
566	то под	2	2
567	же это	2	2
568	отсюда следует	2	2
569	в собственном	2	2
570	можно было	14	2
571	указать на	5	2
572	что она	5	2
573	в наши	2	2
574	дело не	4	2
575	чтобы создать	2	2
576	речи но	2	2
577	и вовсе	7	2
578	переход от	4	2
579	переходит в	2	2
580	здесь дело	2	2
581	языка на	2	2
582	языковой системы	2	2
583	и вот	4	2
584	в речи	5	2
585	именно этот	3	2
586	как у	2	2
587	слова с	2	2
588	что его	2	2
589	но только	5	2
590	поскольку оно	2	2
591	свое выражение	2	2
592	последнее время	3	2
593	самый факт	2	2
594	так называемые	5	2
595	лингвистики и	2	2
596	все равно	4	2
597	связан с	2	2
598	на этот	4	2
599	конечно и	3	2
600	очень много	3	2
601	далеко не	2	2
602	не должно	2	2
603	бы например	2	2
604	самого языка	4	2
605	как с	2	2
606	во многом	2	2
607	языка не	5	2
608	указывает что	3	2
609	что между	2	2
610	выражение в	4	2
611	том случае	3	2
612	где нет	2	2
613	что мы	6	2
614	несмотря на	6	2
615	смысле и	2	2
616	и того	2	2
617	иной раз	2	2
618	данный момент	3	2
619	и есть	3	2
620	но с	2	2
621	литературе и	2	2
622	и становится	3	2
623	значение слова	3	2
624	чем в	3	2
