N	2gram	Medvedev_S	Myshleni
1	в том	5	195
2	в этом	5	167
3	то что	2	166
4	и в	3	162
5	том что	2	161
6	таким образом	2	147
7	что в	2	119
8	не только	3	116
9	может быть	2	89
10	только в	2	75
11	но и	2	70
12	в его	3	67
13	как бы	2	64
14	и что	2	60
15	было бы	2	60
16	то же	2	58
17	по отношению	2	45
18	отношению к	2	42
19	не в	3	37
20	в результате	2	27
21	в частности	2	26
22	все это	7	25
23	еще не	2	25
24	в смысле	2	24
25	по существу	2	20
26	к которому	2	20
27	и только	3	17
28	для нас	3	16
29	тем более	2	15
30	очевидно что	2	14
31	это и	2	12
32	за пределы	2	12
33	в конце	2	11
34	и заключается	2	9
35	как только	2	9
36	главным образом	2	8
37	должна быть	2	7
38	или даже	2	6
39	нужно было	2	6
40	и мы	2	6
41	исторического развития	2	5
42	конце концов	2	5
43	дело не	2	5
44	только как	2	5
45	но ведь	3	4
46	она может	2	4
47	как будто	2	4
48	как же	3	3
49	нашей науки	2	3
50	по природе	2	3
51	далеко не	2	3
52	ведь это	2	3
53	более чем	3	2
54	метод в	4	2
