N	2gram	Losev_Prob	Otkroven
1	и в	64	19
2	но и	23	13
3	и не	63	13
4	в этом	30	12
5	не только	37	11
6	не в	6	11
7	из подполья	2	11
8	а не	21	11
9	может быть	29	11
10	и все	9	10
11	в нем	14	10
12	вопрос о	4	10
13	никогда не	8	9
14	в самой	3	9
15	потому что	24	9
16	не было	7	9
17	прежде всего	17	9
18	он был	2	8
19	лишь в	4	7
20	в его	12	7
21	нет ничего	12	7
22	он не	5	7
23	он всегда	3	7
24	но он	3	7
25	как и	7	6
26	все это	11	6
27	для него	2	5
28	а в	7	5
29	в том	19	5
30	о его	2	5
31	в самом	10	5
32	то что	72	5
33	в этой	14	5
34	и его	3	4
35	что в	21	4
36	он сам	2	4
37	только и	5	4
38	всегда есть	7	4
39	того чтобы	10	4
40	все эти	15	4
41	т е	2	4
42	не может	18	4
43	что не	8	4
44	с его	3	4
45	в себе	16	3
46	и от	3	3
47	о том	25	3
48	это не	7	3
49	к нему	5	3
50	не могут	6	3
51	что он	11	3
52	о природе	2	3
53	было бы	16	3
54	для того	10	3
55	еще не	18	3
56	и есть	7	3
57	все что	2	3
58	в этих	7	3
59	в своих	3	3
60	и ее	9	3
61	никто не	2	3
62	как бы	18	3
63	хотя бы	15	3
64	могут быть	2	3
65	это было	3	3
66	с ним	4	3
67	это за	2	3
68	мысли и	2	3
69	того что	18	3
70	ли сказать	3	2
71	одно из	2	2
72	и то	15	2
73	сказать что	33	2
74	можно ли	9	2
75	и на	11	2
76	с тем	6	2
77	уже в	6	2
78	что же	18	2
79	ничего и	2	2
80	мысль о	3	2
81	и для	10	2
82	совсем не	9	2
83	что все	9	2
84	о любви	2	2
85	не имеет	8	2
86	ничего не	20	2
87	в человеческом	2	2
88	и все-таки	4	2
89	и с	12	2
90	что и	2	2
91	ее в	2	2
92	и потому	3	2
93	и ни	7	2
94	в ее	3	2
95	в других	5	2
96	в своем	7	2
97	тем что	10	2
98	человека а	2	2
99	но в	19	2
100	том что	26	2
101	к этой	2	2
102	что для	4	2
103	от человека	2	2
104	все же	7	2
105	не очень	4	2
106	в своей	8	2
107	он в	2	2
108	ведь это	4	2
109	так как	16	2
110	по себе	20	2
111	же это	3	2
112	что они	5	2
113	в истории	6	2
114	так что	12	2
115	отношений это	2	2
116	даже и	18	2
117	не все	4	2
118	для всякого	2	2
119	должно быть	3	2
120	и о	11	2
121	не есть	49	2
122	с которой	3	2
123	и нет	2	2
124	все еще	5	2
125	и к	2	2
126	так и	17	2
127	и очень	3	2
128	в которой	2	2
129	хотя и	8	2
130	момент в	2	2
131	учение о	5	2
132	в другом	2	2
133	сразу же	2	2
134	его в	9	2
