N	2gram	Medvedev_F	Morfolog
1	и т	22	62
2	может быть	30	61
3	т д	11	60
4	и пр	30	45
5	таким образом	28	26
6	т е	50	25
7	могут быть	7	21
8	так как	4	20
9	не может	26	19
10	в этом	39	18
11	в этих	3	17
12	и в	54	17
13	и не	34	16
14	перед нами	3	14
15	с этим	6	14
16	прежде всего	34	14
17	по существу	8	13
18	при помощи	2	12
19	и др	8	12
20	связи с	12	12
21	а не	11	11
22	вопрос о	3	10
23	мы увидим	5	10
24	то же	16	10
25	в том	17	10
26	то что	14	10
27	так и	24	10
28	что в	10	10
29	что и	10	10
30	в связи	11	10
31	все же	8	9
32	но и	18	9
33	с другой	8	9
34	не только	14	8
35	в результате	8	8
36	но не	5	8
37	а в	11	8
38	мы не	6	8
39	в качестве	2	8
40	как мы	10	8
41	не могут	8	7
42	том что	3	7
43	если в	3	7
44	по отношению	4	7
45	тем не	2	7
46	или же	4	7
47	не менее	12	7
48	отношению к	4	7
49	как это	8	7
50	и здесь	8	7
51	и этим	2	7
52	точки зрения	21	7
53	во втором	7	7
54	один из	4	7
55	потому что	2	7
56	это не	4	6
57	но это	4	6
58	во всех	9	6
59	и как	6	6
60	или в	2	6
61	и другие	3	6
62	в нашем	2	6
63	если мы	5	6
64	с точки	17	6
65	в форме	2	6
66	как бы	10	6
67	вовсе не	18	6
68	одна из	2	5
69	ничего не	5	5
70	они и	2	5
71	и ее	15	5
72	хотя бы	10	5
73	было бы	10	5
74	со стороны	7	5
75	что он	8	5
76	как в	12	5
77	далеко не	2	5
78	тому что	3	5
79	прежде чем	2	5
80	к тому	6	5
81	между тем	4	5
82	в целом	7	5
83	главным образом	5	5
84	другой стороны	5	5
85	на его	2	5
86	там где	3	5
87	в других	5	5
88	все эти	12	5
89	что они	4	5
90	он не	8	5
91	по их	2	5
92	в первом	8	5
93	если же	4	5
94	хотя и	3	5
95	учение о	4	5
96	ясно что	3	5
97	сказать что	3	4
98	на самом	8	4
99	его в	5	4
100	тех же	2	4
101	независимо от	5	4
102	так же	5	4
103	в то	14	4
104	к этому	3	4
105	на него	3	4
106	тем что	6	4
107	не является	3	4
108	еще не	6	4
109	могла бы	3	4
110	самом деле	12	4
111	из них	5	4
112	но в	9	4
113	на котором	2	4
114	но все	4	4
115	и для	5	4
116	как и	18	4
117	ни одна	2	4
118	входит в	8	4
119	уже не	9	4
120	этот вопрос	2	4
121	и к	7	4
122	на этом	2	4
123	несмотря на	2	4
124	того чтобы	4	4
125	с теми	2	4
126	говорить о	4	4
127	в некоторых	2	4
128	никто не	2	4
129	от того	2	4
130	то в	3	3
131	но как	2	3
132	здесь не	5	3
133	как таковое	3	3
134	в настоящее	11	3
135	в которой	5	3
136	а на	2	3
137	пр и	4	3
138	то ни	5	3
139	вопроса о	2	3
140	том случае	2	3
141	это было	3	3
142	даже не	2	3
143	и их	13	3
144	целый ряд	4	3
145	но есть	2	3
146	друг друга	4	3
147	если бы	8	3
148	в последнем	2	3
149	в виде	2	3
150	это и	7	3
151	кроме того	3	3
152	и тем	3	3
153	та же	3	3
154	он должен	4	3
155	сам он	2	3
156	не в	16	3
157	можно будет	2	3
158	для того	3	3
159	с этой	4	3
160	у нас	6	3
161	к ней	3	3
162	в пределах	13	3
163	в какой	3	3
164	того что	7	3
165	приводит к	4	3
166	так например	3	3
167	для этой	2	3
168	ее в	3	3
169	к нему	3	3
170	они не	7	3
171	на то	2	3
172	ни в	3	3
173	что такое	2	3
174	состоит в	3	3
175	не происходит	2	3
176	в большинстве	6	3
177	и функции	3	3
178	но для	4	3
179	настоящее время	11	3
180	большинстве случаев	5	3
181	совсем не	2	3
182	и что	2	3
183	и по	3	3
184	же в	4	3
185	и его	27	3
186	или на	2	3
187	только в	6	3
188	в сущности	3	3
189	в ином	2	3
190	и только	5	3
191	значение и	4	3
192	в этой	10	3
193	приходим к	2	3
194	бы то	4	3
195	с его	12	3
196	данном случае	2	2
197	нашей работы	3	2
198	не от	3	2
199	и иных	2	2
200	в россии	4	2
201	в данном	2	2
202	из этих	4	2
203	от него	2	2
204	одной стороны	5	2
205	же происходит	3	2
206	бы в	6	2
207	во второй	3	2
208	если она	2	2
209	в другом	2	2
210	и даже	7	2
211	или менее	7	2
212	как такового	8	2
213	является в	2	2
214	роль в	2	2
215	что именно	2	2
216	превращается в	2	2
217	этом отношении	7	2
218	не на	3	2
219	в частности	4	2
220	ни было	2	2
221	а вовсе	2	2
222	ничем не	4	2
223	их на	2	2
224	вот как	3	2
225	его и	2	2
226	это положение	2	2
227	в чем	2	2
228	с одной	5	2
229	должна быть	11	2
230	или другой	2	2
231	эти функции	2	2
232	и более	4	2
233	совершается в	2	2
234	не с	2	2
235	одной из	2	2
236	не по	4	2
