N	3gram	Bakhtin_Pr	Marksizm
1	с точки зрения	6	46
2	не может быть	11	25
3	в самом деле	3	19
4	в то же	3	15
5	по отношению к	19	15
6	то же время	3	15
7	в том что	3	14
8	бы то ни	3	12
9	и не может	2	12
10	то ни было	2	12
11	в высшей степени	5	12
12	для того чтобы	2	11
13	в отличие от	5	10
14	в большинстве случаев	5	9
15	то же самое	2	8
16	с другой стороны	4	7
17	на самом деле	3	6
18	с одной стороны	3	6
19	той или иной	2	5
20	в этом отношении	2	5
21	и прежде всего	5	4
22	одной из важнейших	2	4
23	можно сказать что	2	4
24	лишь там где	2	4
25	в применении к	3	3
26	тем не менее	3	3
27	на первый план	2	3
28	можно было бы	3	3
29	не могут быть	2	3
30	точки зрения самого	2	3
31	не только в	2	3
32	но и в	2	3
33	в коем случае	2	2
34	во всех своих	2	2
35	так и в	2	2
36	ни в коем	2	2
37	в противном случае	3	2
38	в данном случае	4	2
39	между тем как	5	2
40	как мы увидим	3	2
41	не следует что	2	2
42	в его целом	5	2
43	мы можем сказать	2	2
44	к нему и	2	2
45	в нашем примере	2	2
46	со всех сторон	2	2
47	в этом смысле	3	2
48	только по отношению	4	2
49	того или иного	2	2
50	совершенно независимо от	2	2
