N	2gram	Tiupa_Anal	Sovremen
1	не может	26	17
2	точки зрения	10	12
3	может быть	33	12
4	таким образом	5	11
5	и в	30	7
6	в этом	31	7
7	и не	33	6
8	ничего не	10	6
9	как и	23	6
10	в результате	3	6
11	что же	3	5
12	с точки	6	5
13	все эти	3	5
14	и наконец	2	5
15	прежде всего	8	5
16	нет и	2	4
17	вопрос о	2	4
18	это не	7	4
19	не только	30	4
20	в том	36	4
21	мы должны	2	4
22	как бы	15	4
23	так как	3	4
24	в целом	9	4
25	вместе с	6	4
26	а в	11	4
27	из них	2	4
28	и т.д	4	3
29	может не	2	3
30	в два	2	3
31	он может	2	3
32	ведь это	2	3
33	и потому	2	3
34	на этой	2	3
35	но в	11	3
36	при этом	20	3
37	но мы	2	3
38	не в	17	3
39	все же	4	3
40	он в	5	3
41	как он	4	3
42	было бы	4	3
43	в области	4	3
44	в себе	17	3
45	еще не	5	3
46	и все	5	3
47	все это	2	3
48	в нем	3	3
49	между собой	2	3
50	а не	25	3
51	в первом	3	3
52	и к	5	3
53	в этой	12	3
54	при таком	2	3
55	то же	12	3
56	в одном	3	3
57	отличается от	3	3
58	отнюдь не	22	3
59	в конце	4	3
60	принципиально не	3	2
61	может иметь	2	2
62	на его	4	2
63	на этот	2	2
64	и по	2	2
65	же самое	3	2
66	что все	2	2
67	роль в	3	2
68	не менее	5	2
69	той же	4	2
70	не могут	3	2
71	в его	15	2
72	и что	2	2
73	то и	2	2
74	и во	3	2
75	с другом	2	2
76	такого рода	6	2
77	приводит к	2	2
78	из этих	2	2
79	в самом	12	2
80	она может	3	2
81	и есть	3	2
82	что в	7	2
83	времени и	7	2
84	совершенно не	2	2
85	в таком	5	2
86	в которой	3	2
87	у него	5	2
88	такой же	3	2
89	из четырех	2	2
90	самом деле	3	2
91	уже не	6	2
92	то ни	3	2
93	в нашем	3	2
94	могут быть	12	2
95	в один	4	2
96	в отличие	8	2
97	отличие от	8	2
98	тот же	2	2
99	с одной	7	2
100	на этом	4	2
101	как мы	3	2
102	говорить о	3	2
103	или иной	8	2
104	тем не	3	2
105	на котором	3	2
106	о жизни	3	2
107	из которых	4	2
108	своего предмета	3	2
109	как известно	4	2
110	и даже	10	2
111	в которую	2	2
112	друг с	2	2
