N	2gram	Propp_Isto	UchenyiS
1	и в	44	14
2	не только	17	10
3	а не	5	10
4	и не	19	8
5	прежде всего	7	8
6	то что	16	7
7	не может	10	7
8	вот почему	2	7
9	в этом	20	7
10	может быть	31	6
11	то же	9	5
12	хотя бы	2	5
13	все это	4	5
14	но и	16	4
15	в этой	5	4
16	с другой	11	4
17	в частности	9	3
18	для этого	3	3
19	это не	8	3
20	очевидно что	3	3
21	и то	5	3
22	в своей	3	3
23	все же	17	3
24	не как	5	3
25	как и	12	3
26	в то	5	3
27	но в	7	3
28	было бы	2	3
29	другой стороны	10	3
30	для него	2	3
31	что мы	4	2
32	и у	3	2
33	мы и	3	2
34	о чем	6	2
35	что он	29	2
36	таким образом	21	2
37	формы и	3	2
38	но не	8	2
39	и для	3	2
40	если бы	5	2
41	самом деле	2	2
42	только в	8	2
43	одним из	4	2
44	что она	3	2
45	ничего не	4	2
46	всех этих	2	2
47	даже и	2	2
48	и с	8	2
49	что и	11	2
50	могут быть	9	2
51	но даже	2	2
52	не могут	2	2
53	это было	2	2
54	превращается в	10	2
55	сих пор	7	2
56	по себе	2	2
57	тем что	12	2
58	том что	12	2
59	а как	3	2
60	в его	16	2
61	это уже	2	2
62	в том	13	2
63	что все	4	2
64	если не	4	2
65	с его	3	2
66	должна быть	3	2
67	его и	2	2
68	но это	10	2
69	по существу	2	2
70	не в	11	2
71	в некоторых	6	2
72	мы не	6	2
73	до сих	7	2
