N	3gram	Bakhtin_sl	Freidism
1	с точки зрения	11	15
2	не может быть	11	14
3	по отношению к	2	11
4	в том что	4	9
5	во всяком случае	7	8
6	как мы видели	2	8
7	в то же	15	6
8	может быть и	2	6
9	то же время	15	6
10	в большинстве случаев	11	5
11	как мы уже	4	5
12	тем не менее	2	4
13	в этом отношении	2	4
14	не могут быть	3	4
15	в данном случае	3	4
16	в зависимости от	4	4
17	в свою очередь	3	4
18	но в то	6	3
19	о том что	2	3
20	в собственном смысле	2	3
21	так и в	5	3
22	а вовсе не	4	3
23	и не может	2	3
24	до сих пор	4	3
25	точка зрения на	3	2
26	к тому что	2	2
27	а следовательно и	2	2
28	во всех областях	4	2
29	не укладывается в	2	2
30	таким образом в	4	2
31	и связанных с	2	2
32	хотя бы и	5	2
33	в отличие от	12	2
34	связанные с этими	2	2
35	с одной стороны	7	2
36	а также и	3	2
37	в узком смысле	13	2
38	выходит за пределы	3	2
39	обстоит дело и	2	2
