N	3gram	Losev_Prob	Analitik
1	в том что	7	25
2	не может быть	5	19
3	в то же	4	16
4	о том что	16	15
5	той или иной	5	14
6	в данном случае	10	14
7	подобно тому как	2	9
8	с одной стороны	4	9
9	с другой стороны	7	9
10	по крайней мере	8	9
11	того или иного	6	9
12	в этом отношении	2	8
13	не только в	3	8
14	с точки зрения	3	8
15	во всяком случае	11	7
16	что иное как	5	7
17	в таком случае	14	7
18	тем не менее	25	6
19	одного и того	2	6
20	не что иное	5	6
21	так или иначе	7	6
22	и того же	2	6
23	но и не	2	5
24	есть не что	5	5
25	но и в	3	5
26	в этом случае	6	5
27	не только не	4	5
28	здесь не только	2	4
29	в самом деле	4	4
30	для того чтобы	9	4
31	и тем самым	4	4
32	и в этом	5	4
33	в этом смысле	8	4
34	тех или иных	2	4
35	сама по себе	6	4
36	то есть в	6	3
37	бы то ни	2	3
38	как раз и	11	3
39	то же самое	9	3
40	и как бы	2	3
41	тот или иной	3	3
42	содержит в себе	7	3
43	сам по себе	7	3
44	именно в этом	2	3
45	хотя бы и	3	3
46	в том числе	2	3
47	в связи с	7	3
48	можно сказать что	6	3
49	сами по себе	5	3
50	и в самом	2	3
51	крайней мере в	2	3
52	дело в том	3	3
53	и то что	9	3
54	в себе не	3	2
55	а не только	2	2
56	в таких случаях	2	2
57	что же касается	3	2
58	более или менее	7	2
59	же самое время	4	2
60	что в конце	2	2
61	можно было бы	4	2
62	в частности в	2	2
63	но в таком	7	2
64	и в своей	3	2
65	не есть ни	8	2
66	говоря уже о	5	2
67	в чистом виде	3	2
68	заключается в том	2	2
69	в этих случаях	3	2
70	до тех пор	4	2
71	до сих пор	6	2
72	но отнюдь не	4	2
73	мысль о том	2	2
74	на первый взгляд	2	2
75	не говоря уже	6	2
76	на то что	12	2
77	что не есть	2	2
