N	2gram	Losev_Prob	VrazhdaK
1	не только	37	9
2	и что	21	8
3	в этом	30	8
4	и в	64	8
5	что в	21	7
6	но и	23	7
7	и все	9	7
8	то что	72	7
9	года в	2	7
10	но в	19	6
11	как и	7	6
12	в котором	5	6
13	в нем	14	6
14	и с	12	6
15	о нем	3	6
16	все же	7	6
17	и даже	19	6
18	и не	63	5
19	не было	7	5
20	об этом	10	5
21	то же	10	5
22	в то	7	5
23	между тем	3	5
24	для нас	11	4
25	уже в	6	4
26	несмотря на	6	4
27	в своих	3	4
28	это не	7	4
29	в виду	10	4
30	все это	11	4
31	при этом	8	4
32	о том	25	4
33	как бы	18	4
34	так же	12	4
35	что он	11	4
36	в истории	6	4
37	с ним	4	4
38	может быть	29	4
39	т е	2	3
40	в том	19	3
41	в чем	3	3
42	одним из	2	3
43	его в	9	3
44	имел в	2	3
45	далеко не	9	3
46	и уже	4	3
47	и во	4	3
48	в своем	7	3
49	том что	26	3
50	в его	12	3
51	в связи	7	3
52	и о	11	3
53	и его	3	3
54	и как	10	3
55	он был	2	3
56	он не	5	3
57	речь идет	2	3
58	связи с	8	3
59	из подполья	2	3
60	но он	3	3
61	чтобы он	2	3
62	на то	12	3
63	в конце	13	3
64	с его	3	3
65	тем что	10	3
66	никогда не	8	2
67	с нею	2	2
68	и то	15	2
69	в них	8	2
70	уже не	9	2
71	одна из	4	2
72	место в	2	2
73	в него	3	2
74	в той	2	2
75	что к	2	2
76	для него	2	2
77	при помощи	21	2
78	и это	13	2
79	в в	2	2
80	на первый	5	2
81	с точки	3	2
82	как же	6	2
83	а в	7	2
84	человека с	2	2
85	а также	6	2
86	он сам	2	2
87	в этой	14	2
88	в нашей	3	2
89	в своей	8	2
90	как раз	20	2
91	же в	5	2
92	но как	11	2
93	в себе	16	2
94	еще не	18	2
95	точки зрения	5	2
96	о чем	11	2
97	же как	2	2
98	тем более	13	2
99	это в	3	2
100	после этого	4	2
101	таким образом	9	2
102	и ее	9	2
103	в момент	2	2
104	отношения к	2	2
105	время и	2	2
106	их в	6	2
107	в эту	2	2
108	не может	18	2
109	из них	3	2
110	в это	2	2
111	не менее	26	2
112	но это	11	2
113	отнюдь не	15	2
114	вместе с	4	2
115	он тоже	2	2
