N	3gram	Potebnia_M	Freidism
1	с точки зрения	2	15
2	не может быть	7	14
3	по отношению к	10	11
4	в том что	22	9
5	во всяком случае	3	8
6	в то же	8	6
7	то же время	8	6
8	в большинстве случаев	2	5
9	можно сказать что	3	5
10	в таком случае	2	4
11	тем не менее	7	4
12	в этом отношении	2	4
13	сам по себе	9	4
14	не могут быть	3	4
15	в данном случае	3	4
16	на самом деле	4	4
17	в свою очередь	6	4
18	все то что	2	3
19	мы не можем	5	3
20	и той же	4	3
21	и тот же	2	3
22	о том что	5	3
23	в собственном смысле	2	3
24	так и в	2	3
25	один и тот	2	3
26	для того чтобы	5	3
27	до сих пор	4	3
28	одной и той	4	3
29	но вместе с	2	2
30	в таких случаях	2	2
31	то же самое	3	2
32	том что он	2	2
33	к тому что	3	2
34	то что мы	3	2
35	с одной стороны	4	2
36	что и в	4	2
37	в этом смысле	2	2
38	и может быть	2	2
39	что мы называем	2	2
40	равно как и	2	2
41	связь с другими	2	2
