N	3gram	Tiupa_Hudo	Dialekti
1	с точки зрения	3	46
2	сама по себе	2	26
3	в том что	8	25
4	не может быть	4	18
5	тем не менее	3	16
6	то же время	7	15
7	в то же	7	14
8	в таком случае	2	14
9	одно и то	3	12
10	и то же	3	12
11	с другой стороны	6	12
12	в самом деле	2	10
13	подобно тому как	3	9
14	в этом смысле	3	8
15	той или иной	5	7
16	можно сказать что	3	7
17	в связи с	3	7
18	так или иначе	4	7
19	коем случае не	2	6
20	в коем случае	2	6
21	и прежде всего	2	6
22	более или менее	6	6
23	для того чтобы	5	6
24	может быть и	2	6
25	ни в коем	2	6
26	с одной стороны	3	6
27	и в то	2	6
28	к тому что	2	5
29	этой точки зрения	2	4
30	с этой точки	2	4
31	бы то ни	2	3
32	ту или иную	2	3
33	в данный момент	2	3
34	того или иного	4	3
35	тех или иных	2	3
36	в той или	2	3
37	что в основе	2	2
38	в силу своей	4	2
39	в отношении к	2	2
40	тот или иной	3	2
41	в свою очередь	2	2
42	мы имеем дело	2	2
