N	2gram	Bakhtin_Pr	Problema
1	и в	59	182
2	то есть	64	165
3	и не	66	152
4	вовсе не	13	145
5	то что	21	144
6	не есть	2	113
7	не только	26	104
8	потому что	20	89
9	в этом	40	88
10	может быть	38	82
11	том что	15	81
12	в том	17	81
13	только в	15	73
14	сказать что	9	72
15	но и	22	70
16	у нас	2	68
17	и даже	4	66
18	по себе	13	64
19	даже и	2	63
20	не менее	3	58
21	о том	5	57
22	так и	13	56
23	а не	30	56
24	но в	7	55
25	так что	3	52
26	ни в	5	51
27	для нас	3	50
28	в себе	9	48
29	было бы	10	46
30	в своей	17	45
31	прежде всего	17	45
32	что в	14	44
33	в его	44	44
34	все эти	12	43
35	не в	10	43
36	таким образом	22	42
37	как раз	9	42
38	то же	15	42
39	а именно	4	42
40	так как	11	40
41	что мы	2	40
42	что он	16	40
43	и что	2	40
44	не может	31	39
45	в этой	5	39
46	и тем	2	39
47	во всяком	5	39
48	как бы	40	39
49	той или	3	38
50	в данном	3	38
51	никак не	3	37
52	хотя бы	5	37
53	того что	4	37
54	в нем	38	37
55	еще не	11	36
56	есть нечто	2	36
57	точки зрения	36	36
58	и все	4	36
59	в виду	2	34
60	и с	10	34
61	как и	21	34
62	уже не	14	34
63	не является	2	33
64	или иной	3	33
65	в таком	2	33
66	в то	15	32
67	здесь не	2	32
68	но не	13	32
69	в своем	12	31
70	в конце	9	31
71	все это	12	31
72	так же	10	31
73	но это	7	31
74	с другой	3	30
75	и для	5	30
76	как мы	10	29
77	художественный образ	2	29
78	перед нами	8	29
79	все же	9	29
80	об этом	4	29
81	можно сказать	3	29
82	данном случае	3	28
83	и о	5	28
84	что же	5	28
85	есть только	5	28
86	мы не	3	28
87	а в	9	28
88	и как	10	27
89	ничего не	8	27
90	и это	5	27
91	по крайней	3	26
92	в результате	6	26
93	как будто	4	26
94	вместе с	2	26
95	это не	13	26
96	крайней мере	3	26
97	да и	3	26
98	другой стороны	3	26
99	и его	21	26
100	тем самым	3	25
101	с точки	21	25
102	и на	15	25
103	мы можем	3	25
104	всяком случае	3	25
105	на самом	5	24
106	тем более	2	24
107	не имеет	2	24
108	и вполне	2	24
109	в нашем	3	24
110	и притом	3	23
111	а только	3	23
112	есть не	3	23
113	при этом	5	23
114	конце концов	7	23
115	то и	2	23
116	никогда не	19	22
117	его в	6	22
118	и есть	6	22
119	что и	10	22
120	и от	3	22
121	другими словами	2	22
122	раз и	4	22
123	всех этих	3	22
124	есть в	10	22
125	тоже не	2	22
126	и к	5	22
127	мы должны	6	21
128	и ее	5	21
129	для себя	5	21
130	сама по	3	21
131	в самом	19	21
132	говорить о	3	21
133	и только	2	21
134	и потому	9	20
135	но как	4	20
136	для того	3	20
137	именно в	8	20
138	можно было	5	20
139	несмотря на	7	20
140	или в	2	20
141	тем что	5	20
142	в отношении	3	19
143	в каком	2	19
144	если бы	12	19
145	кроме того	3	19
146	но только	3	19
147	если не	2	19
148	он не	11	19
149	с ним	13	19
150	уже в	9	19
151	самом деле	9	19
152	в них	5	19
153	как в	10	19
154	этом смысле	12	19
155	жизни и	21	19
156	того чтобы	5	18
157	в ее	4	18
158	в этих	5	18
159	мы и	2	18
160	не было	5	18
161	в ней	8	18
162	мы уже	4	17
163	и здесь	5	17
164	это и	10	17
165	что они	3	17
166	совершенно не	2	17
167	во всех	8	17
168	но все	8	16
169	же в	3	16
170	далеко не	3	16
171	для этого	4	16
172	как это	2	16
173	точно так	2	16
174	что она	6	16
175	он и	9	16
176	в чем	2	15
177	здесь в	3	15
178	и более	2	15
179	в частности	2	15
180	у него	9	15
181	что не	6	15
182	с этим	2	15
183	в той	9	15
184	и сам	5	15
185	не так	3	14
186	что все	5	14
187	за пределы	10	14
188	в дальнейшем	2	14
189	уже и	2	14
190	людей и	2	14
191	все равно	3	14
192	сих пор	3	14
193	в котором	6	14
194	с другими	11	14
195	то ни	3	14
196	до сих	3	14
197	только при	3	13
198	который в	2	13
199	или даже	2	13
200	в их	5	13
201	бы и	6	13
202	тому что	3	13
203	мы имеем	2	13
204	в области	3	13
205	же и	2	13
206	сами по	4	13
207	ни на	2	13
208	из них	8	13
209	нисколько не	2	12
210	но именно	5	12
211	в которой	6	12
212	в самой	10	12
213	в целом	8	12
214	для них	3	12
215	в начале	3	12
216	в литературе	7	12
217	время как	2	12
218	в смысле	4	12
219	он сам	9	12
220	то время	3	12
221	не о	3	11
222	и следовательно	7	11
223	никак нельзя	2	11
224	могли бы	3	11
225	и во	2	11
226	и самого	4	11
227	в истории	3	11
228	тот же	4	11
229	художественные образы	2	11
230	не могут	6	11
231	и у	6	11
232	по этому	2	11
233	имеет значение	2	11
234	бы то	3	11
235	по поводу	2	11
236	жизни в	3	11
237	и их	7	11
238	к нему	13	11
239	заключается в	3	11
240	в искусстве	2	11
241	все еще	2	10
242	один из	4	10
243	однако в	2	10
244	все время	4	10
245	отличается от	3	10
246	быть только	3	10
247	слова и	2	10
248	что у	5	10
249	что для	4	10
250	в одном	14	10
251	художественного творчества	3	10
252	он в	3	10
253	что оно	2	10
254	относится к	2	10
255	только то	3	10
256	бы не	3	10
257	есть то	4	10
258	из которых	3	10
259	но он	3	10
260	вопрос о	4	9
261	как же	5	9
262	человеческой жизни	4	9
263	или как	5	9
264	тогда когда	2	9
265	в условиях	4	9
266	а его	3	9
267	здесь мы	3	9
268	которые в	2	9
269	она не	9	9
270	в художественном	5	9
271	а может	3	9
272	был бы	6	9
273	и до	5	9
274	это вовсе	2	9
275	только для	2	9
276	и наконец	5	9
277	то он	3	9
278	чем же	2	9
279	в своих	5	9
280	их в	8	9
281	на себе	2	9
282	правда в	2	9
283	но эта	4	9
284	однако не	2	9
285	нет и	4	9
286	в которых	2	9
287	что если	4	9
288	бы в	7	9
289	это было	3	9
290	поэтому и	3	9
291	и другие	4	9
292	жизнь и	3	9
293	в жизни	7	9
294	были бы	5	8
295	как он	5	8
296	от этого	2	8
297	является для	2	8
298	этот термин	3	8
299	на его	7	8
300	и по	4	8
301	для него	23	8
302	не все	2	8
303	и нет	2	8
304	только что	3	8
305	себе и	3	8
306	входит в	11	8
307	и особенно	2	8
308	является не	3	8
309	если же	3	8
310	идея и	2	8
311	здесь нет	3	8
312	в сознании	4	8
313	только с	2	8
314	из этих	2	8
315	во всей	2	8
316	с самого	3	8
317	и он	3	8
318	с ее	5	8
319	если и	2	8
320	но ведь	4	8
321	ни было	4	8
322	не значит	4	8
323	но для	2	8
324	конечно не	7	8
325	он есть	5	8
326	как только	2	8
327	друг друга	10	7
328	самого начала	4	7
329	а с	4	7
330	тут и	2	7
331	быть даже	2	7
332	в основе	6	7
333	сознания и	9	7
334	его как	6	7
335	с самим	3	7
336	все они	4	7
337	себе но	2	7
338	в какой	2	7
339	оно не	2	7
340	все в	7	7
341	даже в	7	7
342	во все	5	7
343	не на	6	7
344	в науке	2	7
345	не раз	3	7
346	человека но	2	7
347	жизни а	2	7
348	была бы	5	7
349	мира и	8	7
350	к другому	2	7
351	же как	5	7
352	же это	2	7
353	о своем	2	7
354	по преимуществу	3	7
355	ни его	2	7
356	это в	3	7
357	на этот	2	7
358	ее в	2	7
359	не как	15	6
360	идеи и	2	6
361	тем или	2	6
362	а есть	3	6
363	есть он	2	6
364	она является	2	6
365	или не	2	6
366	в зависимости	5	6
367	само по	4	6
368	на него	4	6
369	самой действительности	2	6
370	этого слова	3	6
371	имеем в	2	6
372	этот вопрос	3	6
373	как таковой	2	6
374	именно на	2	6
375	что именно	2	6
376	не знает	5	6
377	но с	4	6
378	до конца	11	6
379	для меня	2	6
380	есть и	2	6
381	по существу	5	6
382	который мы	2	6
383	на первом	2	6
384	с которой	4	6
385	могут быть	5	6
386	же мы	2	6
387	из тех	3	6
388	мы его	2	6
389	бы быть	3	6
390	с его	14	6
391	под этим	2	6
392	с которыми	2	6
393	и уже	3	6
394	перестает быть	4	6
395	себе все	2	6
396	зависимости от	5	6
397	этом отношении	7	6
398	нового времени	4	6
399	можно найти	3	6
400	жизнь в	2	6
401	как на	4	6
402	отношения к	4	6
403	слова но	2	5
404	его на	2	5
405	человека и	2	5
406	одна из	4	5
407	отношение к	4	5
408	и прежде	2	5
409	нами в	5	5
410	нам кажется	4	5
411	ли он	2	5
412	нужно сказать	2	5
413	только один	2	5
414	вот что	2	5
415	о себе	12	5
416	лишь в	4	5
417	нет ни	5	5
418	тотчас же	3	5
419	все что	6	5
420	тому как	5	5
421	я не	7	5
422	для его	4	5
423	между тем	5	5
424	от того	4	5
425	ведь это	3	5
426	ничем не	2	5
427	что может	2	5
428	его не	2	5
429	в настоящем	4	5
430	мы видели	3	5
431	о нем	16	5
432	говорить об	2	5
433	он говорит	3	5
434	на себя	3	5
435	у достоевского	35	5
436	там где	12	5
437	здесь и	2	5
438	к этому	6	5
439	и еще	2	5
440	в противоположность	3	5
441	должно быть	4	5
442	себя в	5	5
443	в этот	2	5
444	в свете	4	5
445	мира в	6	5
446	человека в	8	5
447	одним из	11	5
448	человека из	4	5
449	в пределах	13	5
450	они не	5	5
451	подобно тому	5	5
452	поэтому в	2	5
453	которая не	2	5
454	человеческого духа	2	5
455	в каждом	11	5
456	как его	2	5
457	или к	2	5
458	от него	3	4
459	в духе	3	4
460	начала и	3	4
461	следовательно и	2	4
462	а как	8	4
463	друг от	2	4
464	и вы	2	4
465	отличие от	3	4
466	одно из	2	4
467	здесь конечно	3	4
468	здесь то	2	4
469	для своего	2	4
470	и само	2	4
471	она и	3	4
472	переходит в	2	4
473	от человека	2	4
474	себя и	4	4
475	со всем	2	4
476	существует только	2	4
477	кажется что	4	4
478	не могли	3	4
479	бы он	3	4
480	человека а	2	4
481	за ним	2	4
482	конечно и	5	4
483	тут не	2	4
484	всей его	2	4
485	или точнее	2	4
486	со своим	4	4
487	ни одна	2	4
488	именно потому	3	4
489	можно говорить	2	4
490	данте и	2	4
491	им в	4	4
492	о них	2	4
493	друг к	4	4
494	от друга	2	4
495	его именно	2	4
496	именно к	2	4
497	той же	7	4
498	время и	2	4
499	не потому	4	4
500	сознании и	3	4
501	но на	2	4
502	что из	3	4
503	входящих в	2	4
504	и был	3	4
505	как нам	2	4
506	на котором	3	4
507	тем как	4	4
508	в контексте	2	4
509	во что	2	4
510	этой точки	3	4
511	в сущности	11	4
512	войти в	2	4
513	мы сказали	2	4
514	например в	5	4
515	и свое	2	4
516	в мир	4	4
517	с их	9	4
518	он как	4	4
519	действительности то	2	4
520	но эти	2	4
521	к ним	3	4
522	на это	2	4
523	бы к	2	4
524	другом случае	2	4
525	если нет	2	4
526	к другу	4	4
527	себя самого	5	4
528	и самое	4	4
529	человек и	2	4
530	смысл и	2	4
531	этот мир	3	4
532	и пр	3	4
533	но они	4	4
534	в русской	3	4
535	так чтобы	3	4
536	представляется нам	2	4
537	он все	2	3
538	как ее	2	3
539	с теорией	2	3
540	ее и	2	3
541	как человек	2	3
542	что дело	2	3
543	еще раз	3	3
544	мысли в	2	3
545	одного и	2	3
546	за себя	2	3
547	самой жизни	2	3
548	в каждой	3	3
549	разобраться в	2	3
550	от других	2	3
551	образ а	2	3
552	есть с	2	3
553	в свои	2	3
554	времени в	2	3
555	а потому	4	3
556	в отличие	3	3
557	в образе	4	3
558	сравнению с	2	3
559	в первом	3	3
560	должна быть	4	3
561	выходит за	2	3
562	что значит	2	3
563	чтобы в	2	3
564	по сравнению	2	3
565	в чисто	2	3
566	его с	2	3
567	время не	3	3
568	превращается в	4	3
569	и над	2	3
570	поэтому не	2	3
571	образ в	2	3
572	он может	4	3
573	найти и	3	3
574	типа и	3	3
575	зрения на	12	3
576	заметить что	2	3
577	как она	2	3
578	весь этот	2	3
579	находится в	2	3
580	друг другу	3	3
581	них не	2	3
582	каждом из	2	3
583	и других	8	3
584	чем в	3	3
585	его к	4	3
586	а что	2	3
587	в одной	9	3
588	и земли	2	3
589	не во	3	3
590	с начала	2	3
591	но есть	2	3
592	проявляется в	2	3
593	со стороны	6	3
594	относится и	2	3
595	ни один	5	3
596	в романе	12	3
597	только он	2	3
598	образом в	2	3
599	со всей	2	3
600	от них	3	3
601	как предмет	3	3
