N	2gram	Medvedev_V	NovoeSre
1	а не	7	17
2	и в	26	16
3	не может	17	16
4	и не	20	11
5	и есть	5	10
6	что в	11	9
7	жизни и	3	8
8	в том	15	8
9	он не	2	8
10	может быть	23	7
11	как и	7	7
12	в этом	29	7
13	никогда не	5	6
14	лишь в	2	6
15	не в	6	6
16	с его	4	6
17	не только	26	5
18	в жизни	2	5
19	должен быть	4	5
20	все это	13	5
21	в нем	7	5
22	в ней	2	5
23	и к	3	5
24	должно быть	2	4
25	в них	5	4
26	и для	2	4
27	прежде всего	13	4
28	не менее	2	4
29	не было	7	4
30	и потому	2	4
31	то что	7	4
32	о том	10	4
33	это не	7	4
34	значит что	2	4
35	смысле слова	2	3
36	тому как	3	3
37	но и	10	3
38	подобно тому	3	3
39	с другой	11	3
40	в ее	4	3
41	она не	3	3
42	к тому	5	3
43	что такое	2	3
44	в своей	4	3
45	еще не	2	3
46	к ним	2	3
47	человека и	3	3
48	дня и	2	3
49	должна быть	2	3
50	сказать что	5	3
51	во всех	7	3
52	с тем	4	3
53	зависит от	2	2
54	в себе	6	2
55	что она	2	2
56	все они	2	2
57	одна из	4	2
58	том чтобы	2	2
59	формы и	2	2
60	но не	2	2
61	нет и	3	2
62	что все	4	2
63	и от	3	2
64	роль в	4	2
65	войны и	2	2
66	того чтобы	3	2
67	хотя бы	20	2
68	и заключается	2	2
69	и весь	2	2
70	же как	2	2
71	а в	3	2
72	но в	2	2
73	том что	8	2
74	с этим	3	2
75	ли это	2	2
76	все эти	8	2
77	вот почему	5	2
78	можно было	2	2
79	это и	6	2
80	ни одна	2	2
81	мира и	3	2
82	у него	6	2
83	равно как	4	2
84	по существу	4	2
85	как это	12	2
86	другой стороны	8	2
87	так же	3	2
88	так и	6	2
89	могут быть	8	2
90	но для	2	2
91	одной стороны	2	2
92	в то	6	2
93	который в	2	2
94	познания и	4	2
95	хотя и	2	2
96	связана с	2	2
97	с одной	2	2
98	и формы	2	2
99	и даже	2	2
100	вместе с	8	2
