N	3gram	Tiupa_Lite	RusskieA
1	в том что	15	49
2	состоит в том	8	29
3	тем не менее	4	14
4	в этом случае	2	12
5	о том что	3	10
6	в данном случае	6	8
7	подобно тому как	4	8
8	не может быть	5	6
9	в связи с	4	5
10	во всяком случае	2	4
11	можно было бы	2	4
12	в отличие от	6	4
13	по отношению к	4	3
14	с точки зрения	4	3
15	до тех пор	2	3
16	в свою очередь	2	3
17	тех пор пока	2	3
18	в равной степени	2	2
19	в этом отношении	5	2
20	ту или иную	2	2
21	не только в	4	2
22	ничего общего с	2	2
23	с одной стороны	8	2
24	и т п	2	2
25	с другой стороны	5	2
26	в е годы	3	2
