N	2gram	Savitsky_E	Tvorches
1	и в	37	56
2	как бы	6	41
3	в его	2	37
4	в то	16	30
5	то же	15	25
6	не только	18	24
7	но в	14	24
8	же время	14	24
9	то есть	6	23
10	и не	14	23
11	а в	2	23
12	как и	7	23
13	в этом	12	22
14	в том	11	21
15	что в	21	21
16	том что	6	19
17	он не	2	19
18	может быть	6	19
19	потому что	3	19
20	то что	6	18
21	и на	6	17
22	таким образом	2	17
23	никогда не	3	16
24	прежде всего	9	16
25	как в	3	16
26	не может	9	16
27	но и	14	16
28	в этой	2	15
29	в мире	2	15
30	и с	2	15
31	и даже	6	14
32	о том	3	13
33	а не	2	13
34	тем самым	5	12
35	в котором	2	12
36	в своей	8	11
37	отнюдь не	9	11
38	не в	5	10
39	так и	10	10
40	представление о	2	10
41	по нашему	3	10
42	но не	5	10
43	нашему мнению	2	10
44	в самом	4	10
45	когда он	3	10
46	он сам	2	10
47	только в	9	10
48	как будто	2	10
49	в свою	3	9
50	и от	3	9
51	жизни в	3	9
52	наряду с	2	9
53	в своих	2	9
54	во многом	2	9
55	даже в	4	8
56	так же	9	8
57	в себе	9	8
58	в их	11	8
59	одной из	5	8
60	так как	7	8
61	вовсе не	6	8
62	именно в	4	8
63	хотя и	2	8
64	вместе с	2	8
65	влияние на	2	7
66	в этих	2	7
67	и все	2	6
68	место в	3	6
69	хотя бы	15	6
70	и как	2	6
71	если бы	2	6
72	еще более	2	6
73	начиная с	2	5
74	из всех	3	5
75	но если	5	5
76	и других	2	5
77	в виде	5	5
78	в своем	14	5
79	в них	3	5
80	что и	3	5
81	отметить что	3	5
82	в ее	8	5
83	мы не	4	5
84	и по	5	5
85	в истории	2	5
86	во всей	2	5
87	что это	2	5
88	в россии	5	5
89	с этим	2	5
90	между тем	8	5
91	в известной	3	5
92	с другой	7	5
93	с большой	2	5
94	из них	3	5
95	в таком	3	5
96	но с	2	5
97	и отчасти	2	4
98	при помощи	2	4
99	и потому	5	4
100	в частности	5	4
101	как это	4	4
102	того что	7	4
103	что все	2	4
104	к нему	2	4
105	точки зрения	23	4
106	что на	2	4
107	могут быть	2	4
108	же как	5	4
109	мы видим	2	4
110	говорит о	3	4
111	и мы	3	4
112	по преимуществу	2	4
113	дело в	3	4
114	это значит	2	4
115	тем что	3	4
116	и наконец	2	4
117	с этой	6	4
118	такой же	2	4
119	не означает	2	4
120	и более	2	4
121	далеко не	2	4
122	этот вопрос	2	4
123	в которых	3	4
124	представляет собой	3	4
125	с точки	17	4
126	и тут	2	4
127	не есть	2	3
128	в процессе	4	3
129	и тем	3	3
130	со стороны	5	3
131	в области	11	3
132	человеческой культуры	2	3
133	к тому	8	3
134	в ней	4	3
135	на себя	3	3
136	другой стороны	2	3
137	всяком случае	3	3
138	иными словами	4	3
139	там где	3	3
140	можно сказать	4	3
141	заключается в	2	3
142	как мы	5	3
143	сказать что	4	3
144	если в	2	3
145	во многих	4	3
146	то в	4	3
147	время в	3	3
148	и еще	2	3
149	к ней	4	3
150	ни на	3	3
151	во второй	3	3
152	не является	3	3
153	ее в	3	3
154	для того	6	3
155	себе не	3	3
156	в будущее	2	3
157	на этот	2	3
158	и если	2	3
159	и к	3	3
160	но на	3	3
161	по себе	4	3
162	несмотря на	4	3
163	жизни и	2	3
164	в направлении	4	3
165	и что	2	3
166	во всяком	3	3
167	или в	2	3
168	и только	3	3
169	в одном	2	3
170	как было	3	2
171	данном случае	2	2
172	все более	9	2
173	в отношении	32	2
174	и притом	4	2
175	во все	3	2
176	не могут	2	2
177	но как	2	2
178	вслед за	6	2
179	и поэтому	2	2
180	но даже	4	2
181	каких бы	2	2
182	не дают	2	2
183	в силу	2	2
184	по своей	2	2
185	есть не	2	2
186	сказывается в	2	2
187	свою очередь	2	2
188	одном из	2	2
189	связано с	3	2
190	с тем	3	2
191	этот факт	3	2
192	следовало бы	2	2
193	и имеет	2	2
194	она не	2	2
195	того же	3	2
196	точка зрения	2	2
197	между прочим	7	2
198	и та	2	2
199	между собой	2	2
200	в известном	3	2
201	что же	2	2
202	или вернее	2	2
203	и рядом	2	2
204	не будет	3	2
205	для них	2	2
206	духовной жизни	2	2
207	того чтобы	6	2
208	было бы	8	2
209	же в	2	2
210	в качестве	14	2
211	заключает в	3	2
212	и того	2	2
213	кажется что	2	2
214	отношений между	2	2
215	имеет в	2	2
216	что если	2	2
217	известном смысле	3	2
218	в данном	3	2
219	с другими	2	2
220	ли это	3	2
221	во всех	6	2
222	не нужно	2	2
223	мира в	4	2
224	и со	3	2
225	в результате	3	2
226	отношении к	15	2
227	с одной	8	2
228	культуры и	2	2
229	в сферу	2	2
230	не имеет	4	2
231	столь же	5	2
232	в сфере	3	2
233	в эту	2	2
234	не из	3	2
235	мог бы	2	2
236	ко всему	2	2
237	и теперь	2	2
238	в стороне	3	2
239	бы ни	3	2
240	как на	3	2
241	не к	2	2
242	не дает	3	2
