N	2gram	Bakhtin_KF	Problema
1	и в	28	182
2	и не	28	152
3	вовсе не	7	145
4	то что	7	144
5	не есть	22	113
6	не только	5	104
7	потому что	2	89
8	в этом	15	88
9	может быть	45	82
10	том что	4	81
11	в том	6	81
12	только в	18	73
13	но и	9	70
14	в виде	2	69
15	по себе	2	64
16	не менее	3	58
17	о том	3	57
18	так и	2	56
19	тем не	2	56
20	а не	17	56
21	но в	5	55
22	ни в	12	51
23	для нас	4	50
24	отнюдь не	7	48
25	в себе	21	48
26	было бы	8	46
27	в своей	11	45
28	прежде всего	4	45
29	что в	4	44
30	в его	42	44
31	все эти	11	43
32	не в	13	43
33	то же	5	42
34	и то	2	40
35	что он	2	40
36	не может	29	39
37	в этой	2	39
38	и тем	3	39
39	как бы	9	39
40	той или	3	38
41	в данном	2	38
42	хотя бы	5	37
43	того что	3	37
44	в нем	32	37
45	еще не	5	36
46	точки зрения	13	36
47	и все	9	36
48	в виду	3	34
49	как и	5	34
50	уже не	7	34
51	или иной	2	33
52	в то	3	32
53	здесь не	3	32
54	едва ли	2	32
55	но не	12	32
56	в своем	17	31
57	все это	10	31
58	но это	6	31
59	ясно что	3	30
60	и для	10	30
61	все же	5	29
62	мы не	3	28
63	а в	5	28
64	и как	2	27
65	ничего не	3	27
66	и это	12	27
67	ничего общего	2	27
68	это не	10	26
69	и его	18	26
70	тем самым	4	25
71	с точки	10	25
72	и на	3	25
73	на самом	3	24
74	не имеет	6	24
75	с тем	2	24
76	при этом	4	23
77	в качестве	2	23
78	по своему	3	23
79	никогда не	5	22
80	его в	5	22
81	и есть	10	22
82	что и	7	22
83	можно ли	2	22
84	раз и	2	22
85	всех этих	3	22
86	и ее	2	21
87	для себя	7	21
88	говорить о	2	21
89	и только	7	21
90	и потому	2	20
91	но как	5	20
92	для того	3	20
93	именно в	5	20
94	тем что	3	20
95	в каком	4	19
96	того или	3	19
97	если бы	8	19
98	если не	2	19
99	он не	6	19
100	с ним	5	19
101	самом деле	3	19
102	это есть	2	19
