N	2gram	Propp_Russ	VLabPisa
1	таким образом	10	32
2	в этом	18	29
3	не только	28	26
4	и в	59	26
5	и т	13	25
6	может быть	14	23
7	и не	6	20
8	т е	41	18
9	не может	6	17
10	т д	12	16
11	в том	33	15
12	в его	3	15
13	в силу	2	14
14	прежде всего	2	13
15	все это	12	13
16	в частности	2	12
17	как это	11	12
18	в качестве	5	12
19	что в	35	11
20	из них	12	11
21	то же	6	10
22	но и	20	10
23	и др	4	10
24	о том	14	10
25	по этому	4	10
26	к этому	7	9
27	об этом	11	9
28	он пишет	2	9
29	в своем	3	8
30	том что	33	8
31	могут быть	3	8
32	все эти	5	8
33	было бы	3	8
34	только в	4	8
35	вместе с	16	8
36	очевидно что	2	7
37	это не	14	7
38	из этих	6	7
39	во всех	6	7
40	в году	5	7
41	в основном	4	7
42	то что	10	7
43	тому что	4	7
44	как и	19	7
45	их в	7	7
46	в нем	3	7
47	главным образом	5	7
48	этому поводу	3	7
49	не было	3	7
50	говорит о	3	7
51	же в	5	7
52	а не	3	7
53	не в	2	6
54	в то	3	6
55	он же	4	6
56	все же	7	6
57	том же	6	6
58	у него	2	6
59	так и	8	6
60	приводит к	4	6
61	один из	10	6
62	и его	2	6
63	между тем	9	6
64	показывают что	3	5
65	в одном	4	5
66	перед нами	2	5
67	в пределах	2	5
68	в их	5	5
69	не является	2	5
70	одним из	2	5
71	и при	2	5
72	к тому	4	5
73	как бы	18	5
74	в них	10	5
75	в целом	2	5
76	связи с	6	5
77	одна из	12	4
78	и ее	3	4
79	в виду	3	4
80	ее в	7	4
81	что он	2	4
82	по существу	7	4
83	с тем	14	4
84	что все	2	4
85	следующим образом	9	4
86	что для	4	4
87	когда он	3	4
88	должен быть	2	4
89	отнюдь не	3	4
90	их и	3	4
91	с ними	6	4
92	в связи	4	4
93	во время	23	4
94	в этой	4	4
95	пишет в	5	4
96	и от	2	3
97	некоторые из	2	3
98	например в	3	3
99	и к	3	3
100	с этим	4	3
101	мы имеем	7	3
102	так же	7	3
103	всех этих	2	3
104	но даже	2	3
105	в форме	3	3
106	его в	9	3
107	и как	2	3
108	тому как	3	3
109	подобно тому	3	3
110	как он	2	3
111	для того	6	3
112	и их	4	3
113	у нас	11	3
114	как на	2	3
115	того что	6	3
116	образом в	2	3
117	из приведенных	3	3
118	п в	25	3
119	мы видели	3	3
120	далеко не	5	3
121	этот вопрос	4	3
122	что у	3	3
123	она не	4	3
124	а в	16	3
125	в котором	2	3
126	именно в	3	3
127	точки зрения	3	3
128	в которых	8	3
129	а н	21	3
130	того чтобы	6	3
131	что и	8	3
132	и по	10	3
133	или в	7	3
134	что они	8	3
135	в целях	4	2
136	также что	2	2
137	если в	3	2
138	иметь в	2	2
139	показывает что	9	2
140	и потому	3	2
141	как например	6	2
142	которые в	2	2
143	сообщает о	5	2
144	с другими	3	2
145	только у	2	2
146	а к	3	2
147	о чем	7	2
148	можно было	3	2
149	вплоть до	4	2
150	в каждом	2	2
151	должно быть	2	2
152	что она	4	2
153	и через	2	2
154	из своих	2	2
155	начиная с	4	2
156	представления об	2	2
157	и у	5	2
158	в особенности	3	2
159	не всегда	4	2
160	в области	3	2
161	только для	3	2
162	и наконец	2	2
163	у них	2	2
164	еще не	7	2
165	после этого	6	2
166	как у	2	2
167	в которой	3	2
168	в течение	7	2
169	его от	2	2
170	после того	3	2
171	не с	5	2
172	как известно	2	2
173	эта теория	5	2
174	так например	7	2
175	в жизни	2	2
176	от них	4	2
177	они и	2	2
178	к ним	4	2
179	том чтобы	3	2
180	но не	7	2
181	и для	3	2
182	н ф	2	2
183	не менее	3	2
184	только с	2	2
185	но в	5	2
186	на то	2	2
187	мы наблюдаем	2	2
188	в своих	3	2
189	ни одна	2	2
190	в ней	3	2
191	будто бы	10	2
192	между прочим	2	2
193	на этом	6	2
194	тогда когда	4	2
195	из которых	2	2
196	в образе	3	2
197	значит что	2	2
198	не столько	3	2
199	для них	5	2
200	и некоторые	3	2
201	а затем	5	2
202	же как	5	2
203	в противном	2	2
204	говорить о	2	2
205	этому вопросу	2	2
206	и непосредственно	2	2
207	по его	2	2
208	е в	17	2
209	во всей	2	2
210	в различных	3	2
211	из основных	2	2
212	ту же	2	2
213	что при	2	2
214	много и	3	2
215	который в	2	2
216	хотя и	3	2
217	того как	6	2
