N	3gram	Bakhtin_sl	Marksizm
1	с точки зрения	11	46
2	передачи чужой речи	8	29
3	не может быть	11	25
4	в то же	15	15
5	по отношению к	2	15
6	то же время	15	15
7	в связи с	2	14
8	в том что	4	14
9	и не может	2	12
10	до сих пор	4	11
11	в отличие от	12	10
12	но в то	6	9
13	в большинстве случаев	11	9
14	может быть и	2	8
15	в отношении к	9	8
16	с другой стороны	5	7
17	в свою очередь	3	7
18	во всяком случае	7	6
19	с одной стороны	7	6
20	как мы уже	4	6
21	той или иной	13	5
22	как мы видели	2	5
23	в этом отношении	2	5
24	к тому что	2	5
25	в этом случае	4	5
26	в первом случае	2	4
27	о том что	2	4
28	как мы сказали	6	4
29	в узком смысле	13	4
30	форм передачи чужой	2	4
31	в зависимости от	4	4
32	чужая речь в	2	4
33	и то же	2	3
34	тем не менее	2	3
35	более или менее	5	3
36	в пределах одного	8	3
37	друг с другом	2	3
38	можно было бы	2	3
39	не могут быть	3	3
40	одно и то	2	3
41	одной стороны и	2	3
42	точки зрения самого	2	3
43	не только в	3	3
44	свое выражение в	3	3
45	но и в	2	3
46	хотя бы и	5	3
47	в значительной степени	6	3
48	и в этом	2	3
49	в той или	12	3
50	слово как мы	2	2
51	до известной степени	3	2
52	то же слово	2	2
53	в этих формах	2	2
54	с установкой на	4	2
55	в широком смысле	3	2
56	таким образом в	4	2
57	но и здесь	3	2
58	так и в	5	2
59	в пределах одной	3	2
60	в данном случае	3	2
61	рано или поздно	2	2
62	как и в	2	2
63	а между тем	2	2
64	и в особенности	5	2
65	или иной степени	12	2
66	сама по себе	2	2
67	а следовательно и	2	2
68	во всех областях	4	2
69	в собственном смысле	2	2
70	и в том	2	2
71	чужого слова и	3	2
72	того или иного	2	2
73	языка в смысле	3	2
74	на данном языке	2	2
