N	3gram	Losev_Prob	Russkaja
1	в то же	4	10
2	с точки зрения	3	9
3	в том что	7	7
4	для того чтобы	9	6
5	во всяком случае	11	6
6	на самом деле	6	6
7	до сих пор	6	5
8	бы то ни	2	4
9	на то что	12	4
10	в том случае	2	4
11	более или менее	7	4
12	не может быть	5	4
13	вместе с тем	2	3
14	что бы то	2	3
15	в этом случае	6	3
16	в конце концов	11	3
17	во что бы	2	3
18	то ни стало	2	3
19	в данном случае	10	3
20	той или иной	5	3
21	и то что	9	3
22	можно было бы	4	3
23	точно так же	7	2
24	и тем самым	4	2
25	в другом случае	2	2
26	по самому своему	2	2
27	того или иного	6	2
28	только в том	4	2
29	в значительной мере	2	2
30	о том что	16	2
31	ни одна из	2	2
32	в настоящее время	17	2
33	сама по себе	6	2
