N	2gram	Bakhtin_KF	Myshleni
1	в том	6	195
2	в этом	15	167
3	то что	7	166
4	и в	28	162
5	том что	4	161
6	точки зрения	13	143
7	что в	4	119
8	мышления и	2	117
9	не только	5	116
10	того что	3	109
11	в процессе	2	101
12	потому что	2	95
13	того чтобы	2	91
14	может быть	45	89
15	с точки	10	89
16	что он	2	86
17	не может	29	81
18	как и	5	79
19	для того	3	78
20	и не	28	78
21	только в	18	75
22	в целом	10	74
23	но и	9	70
24	в его	42	67
25	как бы	9	64
26	в качестве	2	60
27	было бы	8	60
28	то же	5	58
29	в основе	5	58
30	тем что	3	48
31	мы не	3	47
32	тогда когда	3	47
33	на основе	7	47
34	если бы	8	46
35	но не	12	45
36	по отношению	26	45
37	тем самым	4	43
38	с тем	2	43
39	тому что	2	42
40	отношению к	22	42
41	о том	3	40
42	так и	2	39
43	никогда не	5	39
44	в области	2	38
45	вопрос о	2	37
46	не в	13	37
47	в этой	2	37
48	в своем	17	36
49	все эти	11	36
50	и его	18	36
51	как в	2	36
52	а не	17	36
53	он не	6	35
54	в себе	21	35
55	для себя	7	35
56	и т.д	4	35
57	и как	2	34
58	при этом	4	33
59	прежде всего	4	33
60	по себе	2	33
61	что и	7	32
62	именно в	5	32
63	по своему	3	32
64	но в	5	32
65	и тем	3	32
66	и на	3	32
67	и то	2	31
68	все же	5	31
69	между тем	4	29
70	могут быть	3	29
71	этого слова	2	29
72	от того	3	29
73	самом деле	3	28
74	в своей	11	27
75	в то	3	27
76	в их	9	26
77	что это	4	26
78	для него	13	26
79	все это	10	25
80	еще не	5	25
81	это не	10	25
82	в чем	4	25
83	тот же	3	24
84	что эта	2	24
85	в нем	32	24
86	оба эти	2	24
87	в смысле	6	24
88	слова в	2	23
89	ни в	12	23
90	отношение к	6	21
91	его в	5	21
92	там где	5	21
93	к этому	2	21
94	и все	9	21
95	и ее	2	21
96	не имеет	6	21
97	в сознании	2	21
98	мышления как	2	20
99	в котором	24	20
100	в виду	3	20
101	и других	2	20
102	а в	5	20
103	должно быть	6	20
104	в другом	3	20
105	и их	6	20
106	едва ли	2	20
107	не менее	3	20
108	в данном	2	19
109	в себя	8	19
110	с ним	5	19
111	из которых	2	19
112	а с	2	19
113	во всех	11	19
114	один из	2	19
115	независимо от	3	19
116	во всем	7	18
117	во всей	4	18
118	одного и	2	18
119	но это	6	18
120	этом смысле	3	18
121	для этого	2	17
122	и для	10	17
123	в своих	4	17
124	в свою	3	17
125	и того	2	17
126	в одном	5	17
127	мысль не	2	17
128	и есть	10	17
129	и только	7	17
130	не есть	22	17
131	до конца	3	17
132	я не	6	17
133	нами в	2	17
134	вовсе не	7	16
135	для нас	4	16
136	мы имеем	5	16
137	но как	5	15
138	от этого	2	15
139	мышление и	2	15
140	со всеми	2	15
141	хотя бы	5	15
142	ничего не	3	15
143	и это	12	15
144	это есть	2	14
145	один и	3	14
146	с его	2	14
147	и здесь	7	14
148	она не	2	13
149	но все	6	13
150	и тот	3	13
151	лишь в	8	13
152	в виде	2	13
153	человека и	3	13
154	отнюдь не	7	13
155	его к	2	13
156	были бы	2	12
157	и потому	2	12
158	в ее	17	12
159	тем не	2	12
160	входит в	4	12
161	это и	3	12
162	в ней	3	12
163	от его	5	12
164	еще более	2	12
165	ясно что	3	12
166	к нему	12	12
167	на самом	3	11
168	в каком	4	11
169	что этот	3	11
170	с ее	2	11
171	гораздо более	2	11
172	не знает	5	11
173	только по	2	11
174	ничего общего	2	11
175	не по	4	11
176	здесь мы	4	10
177	если не	2	10
178	или иной	2	10
179	но для	3	10
180	вытекает из	2	10
181	мысль и	2	10
182	и отношения	3	10
183	и может	3	10
184	но этот	2	10
185	в момент	3	9
186	он может	2	9
187	а по	2	9
188	включает в	2	9
189	мы говорим	2	9
190	но эта	6	9
191	этот факт	2	9
192	как оно	2	9
193	совершенно не	7	9
194	целом и	3	9
195	та же	3	9
196	оно не	2	9
197	он имеет	2	9
198	место в	6	9
199	может не	2	9
200	той или	3	9
201	должен быть	7	9
202	теории и	3	9
203	говорить о	2	9
204	нисколько не	4	8
205	что не	3	8
206	себе и	3	8
207	что только	2	8
208	со стороны	8	8
209	в современной	3	8
210	дело с	2	8
211	все остальные	2	8
212	не как	4	8
213	что я	5	8
214	отношении к	2	8
215	должна быть	4	7
216	с ними	4	7
217	которой он	2	7
218	всех этих	3	7
219	из нее	2	7
220	его и	2	7
221	в жизни	2	7
222	сознания и	3	7
223	сознания в	2	7
224	и делает	3	7
225	его с	2	7
226	слово не	3	7
227	в каждом	3	6
228	это было	2	6
229	с другим	4	6
230	на язык	3	6
231	эти момента	3	6
232	бы и	3	6
