N	3gram	Losev_Prob	Problema
1	не может быть	5	11
2	но отнюдь не	4	7
3	с точки зрения	3	6
4	с другой стороны	7	4
5	в данном случае	10	4
6	бы то ни	2	3
7	с одной стороны	4	3
8	в том что	7	3
9	может быть только	2	3
10	в этом смысле	8	3
11	в то же	4	3
12	на самом деле	6	3
13	тем не менее	25	3
14	в самом деле	4	3
15	как мы увидим	2	3
16	можно было бы	4	3
17	мы здесь не	2	2
18	не во всех	2	2
19	то же самое	9	2
20	и в частности	3	2
21	той или иной	5	2
22	мы можем говорить	2	2
23	на первый план	3	2
24	в этом отношении	2	2
25	не только в	3	2
26	не совпадает с	2	2
27	для того чтобы	9	2
28	можно сказать что	6	2
29	то есть чисто	2	2
30	и тем самым	4	2
31	сказать и о	3	2
32	то или иное	2	2
33	никогда не может	2	2
34	но и в	3	2
35	того или иного	6	2
36	так и в	2	2
