N	3gram	Tiupa_Hudo	Vvedenie
1	и т д	5	39
2	для того чтобы	2	22
3	в том что	15	15
4	о том что	14	13
5	не может быть	5	10
6	тем не менее	6	9
7	до сих пор	3	7
8	в то же	11	6
9	в самом деле	5	6
10	то же время	11	6
11	и т п	10	5
12	не только в	4	4
13	в данном случае	3	4
14	так или иначе	3	4
15	в этом отношении	4	4
16	и в этом	3	4
17	но все же	2	4
18	с одной стороны	4	4
19	по отношению к	15	4
20	с точки зрения	5	4
21	можно было бы	5	4
22	то же самое	3	3
23	и в самом	4	3
24	но в то	3	3
25	во второй половине	2	2
26	состоит в том	3	2
27	мы уже знаем	2	2
28	на том что	2	2
29	что же касается	2	2
30	подобно тому как	4	2
31	в первом случае	2	2
32	не в том	2	2
33	как будто бы	3	2
34	а между тем	3	2
35	только в том	4	2
36	в связи с	3	2
37	же самое что	2	2
