N	2gram	Losev_Dial	TeoriaLi
1	– это	14	33
2	в качестве	2	33
3	в мире	3	26
4	не только	26	24
5	и в	35	24
6	в частности	4	23
7	может быть	30	22
8	в том	20	20
9	– в	11	20
10	при этом	2	20
11	я в	3	18
12	и не	51	17
13	а в	8	15
14	но и	17	14
15	так и	18	14
16	а не	24	14
17	в себе	23	14
18	но не	9	13
19	в этом	18	12
20	то же	21	12
21	но в	8	12
22	в его	4	12
23	том что	18	11
24	точки зрения	25	11
25	и его	6	11
26	как это	8	10
27	что в	19	10
28	в данном	5	9
29	не в	12	9
30	в искусстве	2	9
31	в душе	8	9
32	с другой	10	9
33	в то	10	9
34	только в	7	9
35	не может	16	8
36	по своей	5	8
37	как бы	19	8
38	в своей	9	8
39	же время	9	8
40	или иной	4	7
41	в своем	7	7
42	мы имеем	4	7
43	себя в	2	7
44	отношение к	5	7
45	в области	2	7
46	в самом	6	7
47	в нем	25	7
48	другой стороны	7	6
49	со стороны	2	6
50	не менее	5	6
51	еще не	4	6
52	то что	25	6
53	или менее	5	6
54	как и	10	6
55	более или	5	6
56	с другими	2	6
57	или иначе	3	6
58	уже не	3	6
59	в ее	3	6
60	в основе	4	6
61	как в	3	5
62	ни в	20	5
63	в виду	9	5
64	и тем	2	5
65	не является	3	5
66	для того	2	5
67	и о	4	5
68	для него	2	5
69	так или	3	5
70	на почве	2	5
71	между тем	3	5
72	могут быть	6	5
73	того что	6	5
74	он не	5	5
75	можно сказать	10	5
76	никогда не	18	4
77	сказать что	19	4
78	в отношении	5	4
79	его в	3	4
80	это не	18	4
81	во времени	4	4
82	в другом	6	4
83	в силу	6	4
84	субъекта и	4	4
85	– не	17	4
86	в их	5	4
87	силу своей	2	4
88	в этих	6	4
89	что он	16	4
90	по своему	4	4
91	далеко не	2	4
92	к тому	6	4
93	а только	5	4
94	мира и	2	4
95	личности и	2	4
96	личности в	2	4
97	отношении к	3	4
98	и что	17	4
99	говорить о	9	4
100	отношения к	3	4
101	не знает	2	4
102	хотя и	4	4
103	но он	3	4
104	даже в	6	3
105	и то	15	3
106	перед нами	3	3
107	и притом	7	3
108	и потому	6	3
109	во всех	3	3
110	из этих	2	3
111	одной стороны	3	3
112	– все	8	3
113	о чем	4	3
114	в которой	3	3
115	в противоположность	6	3
116	и для	2	3
117	тем не	3	3
118	на меня	2	3
119	и как	14	3
120	говоря о	2	3
121	если бы	12	3
122	в узком	2	3
123	или в	2	3
124	в таком	4	3
125	с этой	3	3
126	а именно	3	3
127	объекта и	2	3
128	и вот	10	3
129	ни к	2	3
130	была бы	4	3
131	никто не	2	3
132	с одной	4	3
133	и др	2	3
134	а с	2	3
135	не с	5	3
136	есть в	2	3
137	в жизни	3	3
138	в акте	2	3
139	их в	2	3
140	именно в	4	3
141	потому что	23	3
142	прежде всего	14	3
143	к его	2	3
144	человеческой жизни	2	3
145	и к	8	3
146	этом смысле	4	3
147	отнюдь не	13	3
148	только не	2	3
149	мог бы	3	3
150	не будет	2	3
151	с точки	18	3
152	все эти	4	3
153	не обязательно	5	3
154	той или	11	3
155	и по	5	3
156	связи с	3	3
157	в связи	3	3
158	таким образом	5	3
159	я –	2	3
160	например в	2	3
161	тех или	5	3
162	в этой	3	3
163	в одном	4	3
164	как раз	7	3
165	вовсе не	19	3
166	вслед за	2	3
167	и –	15	3
168	одно и	8	2
169	еще и	4	2
170	в каком	10	2
171	чтобы не	6	2
172	только и	5	2
173	но она	4	2
174	могла бы	2	2
175	не могут	4	2
176	то в	8	2
177	для меня	5	2
178	так же	6	2
179	если в	5	2
180	но –	8	2
181	но как	7	2
182	с чем	2	2
183	тем более	2	2
184	дело не	3	2
185	не всегда	2	2
186	человека и	2	2
187	– и	5	2
188	что она	18	2
189	с их	2	2
190	за пределы	4	2
191	говорит что	3	2
192	о своем	2	2
193	это было	4	2
194	отличается от	3	2
195	об этом	7	2
196	и даже	23	2
197	в конце	5	2
198	сама по	12	2
199	на деле	2	2
200	таком случае	2	2
201	я и	3	2
202	это и	6	2
203	превращается в	2	2
204	времени и	10	2
205	ни было	2	2
206	может оказаться	2	2
207	только на	3	2
208	мире и	3	2
209	у него	2	2
210	это может	4	2
211	самом деле	6	2
212	и состоит	2	2
213	может и	5	2
214	е о	2	2
215	в чем	9	2
216	вместе с	3	2
217	в одно	5	2
218	в какой	3	2
219	перед лицом	2	2
220	– как	6	2
221	к нему	12	2
222	и является	2	2
223	тот кто	2	2
224	и это	6	2
225	ее в	2	2
226	тому что	4	2
227	о том	8	2
228	зрения и	2	2
229	что такое	13	2
230	если мы	3	2
231	образом и	3	2
232	оно не	2	2
233	должен быть	2	2
234	этой точки	2	2
235	во мне	5	2
236	на этом	4	2
237	– всегда	3	2
238	он и	2	2
239	один из	3	2
240	собственно говоря	5	2
241	– уже	2	2
242	в них	4	2
243	в поэзии	8	2
244	по себе	39	2
245	речь идет	2	2
246	несмотря на	12	2
247	на мир	2	2
248	в той	4	2
249	– то	4	2
250	мы в	2	2
251	что и	7	2
252	тем или	2	2
253	и больше	2	2
254	с ними	4	2
255	заключается в	4	2
256	не просто	19	2
257	все это	14	2
258	только о	3	2
259	что они	8	2
260	времени в	2	2
261	как будто	7	2
262	случае не	4	2
263	я не	9	2
264	не сама	3	2
265	тем же	3	2
266	быть и	7	2
267	при условии	3	2
268	в системе	2	2
