N	2gram	Berdyaev_M	Freidism
1	и не	26	34
2	точки зрения	6	31
3	не может	39	30
4	– это	2	29
5	может быть	42	28
6	и в	61	28
7	в этом	34	28
8	прежде всего	18	26
9	в его	10	25
10	и его	13	22
11	это –	32	22
12	как бы	10	19
13	– в	2	17
14	то что	10	17
15	так как	10	15
16	все эти	3	15
17	самом деле	2	14
18	так и	5	14
19	в своей	18	14
20	с ним	5	14
21	во всех	3	13
22	к матери	2	13
23	и все	13	13
24	но в	12	13
25	как и	14	13
26	по отношению	4	13
27	и потому	17	12
28	том что	7	12
29	– не	6	12
30	то же	4	12
31	что он	16	12
32	ни в	3	12
33	в самом	15	12
34	для него	28	12
35	все это	6	12
36	сказать что	5	11
37	его в	6	11
38	отношению к	4	11
39	только в	7	11
40	никогда не	30	10
41	и с	6	10
42	за пределы	5	10
43	не только	42	10
44	но и	34	10
45	не в	16	10
46	он не	34	10
47	в том	9	10
48	все что	5	10
49	один из	9	10
50	что же	2	10
51	конечно не	3	10
52	могут быть	2	9
53	к этому	3	9
54	те же	5	9
55	к нему	8	9
56	в чем	3	9
57	уже не	8	9
58	и на	9	9
59	мы не	2	9
60	а не	36	9
61	с его	6	9
62	все же	2	8
63	с этим	4	8
64	душевной жизни	2	8
65	– все	5	8
66	было бы	11	8
67	и вот	7	8
68	а в	4	8
69	в ней	23	8
70	на этом	5	8
71	в каком	2	7
72	не могут	6	7
73	до конца	16	7
74	в жизни	7	7
75	в то	2	7
76	в себе	12	7
77	что в	12	7
78	и ее	2	7
79	хотя бы	8	7
80	и для	7	7
81	отношение к	9	7
82	быть и	2	7
83	роль в	2	7
84	я и	3	7
85	человека –	5	7
86	того что	13	7
87	на протяжении	2	7
88	и у	3	7
89	но не	8	7
90	что все	5	7
91	об этом	2	7
92	в нем	26	7
93	и к	9	7
94	– с	2	7
95	жизни и	6	7
96	в этой	12	7
97	одно из	3	6
98	на самом	2	6
99	для этого	3	6
100	в высшей	4	6
101	в человеке	10	6
102	человека и	19	6
103	для того	4	6
104	если он	7	6
105	она не	9	6
106	к тому	6	6
107	что такое	2	6
108	в свою	5	6
109	совсем не	3	6
110	и что	4	6
111	высшей степени	4	6
112	учение о	3	6
113	в основе	4	6
114	он –	20	5
115	что это	5	5
