N	2gram	Losev_Dial	Analitik
1	не только	35	71
2	и в	34	66
3	но и	14	57
4	в том	17	52
5	может быть	30	52
6	в частности	3	51
7	в этом	14	51
8	как и	14	50
9	и не	50	48
10	а не	39	42
11	том что	18	40
12	при этом	7	40
13	так и	11	35
14	в мире	2	31
15	не может	29	29
16	как бы	19	29
17	отнюдь не	16	29
18	а в	3	28
19	в его	6	27
20	и его	8	27
21	не в	11	26
22	но не	3	26
23	в себе	8	24
24	к тому	4	22
25	и даже	21	22
26	в этой	3	22
27	что в	12	22
28	о том	11	20
29	но в	3	19
30	в своей	4	19
31	то же	9	19
32	в самом	9	19
33	с его	7	19
34	в то	9	18
35	в данном	6	18
36	тем самым	3	17
37	или иной	4	17
38	с другой	5	17
39	со стороны	5	17
40	только в	10	17
41	могут быть	5	16
42	то что	25	16
43	что и	8	16
44	не есть	95	15
45	в их	2	15
46	прежде всего	20	15
47	в сущности	10	15
48	уже не	9	15
49	и на	6	15
50	данном случае	3	14
51	отличие от	2	14
52	не менее	11	14
53	той или	3	14
54	мы имеем	3	14
55	себя в	3	14
56	я и	2	14
57	же время	5	14
58	в себя	4	14
59	по себе	31	13
60	ничего не	29	13
61	точки зрения	43	13
62	как раз	11	13
63	для него	4	13
64	он не	8	13
65	тому же	2	13
66	никогда не	9	12
67	и к	5	12
68	есть не	11	12
69	как это	8	12
70	еще не	7	12
71	как в	2	12
72	это не	13	11
73	и как	13	11
74	можно сказать	5	11
75	той же	6	11
76	имеем дело	2	11
77	в конце	2	10
78	едва ли	2	10
79	все же	4	10
80	на себя	3	10
81	было бы	13	10
82	того или	6	10
83	подобно тому	5	10
84	с одной	4	10
85	именно в	5	10
86	совпадает с	2	10
87	здесь не	2	10
88	отношения к	4	10
89	в своем	7	9
90	того что	22	9
91	одной стороны	3	9
92	крайней мере	10	9
93	особого рода	3	9
94	или иного	3	9
95	другой стороны	4	9
96	за пределы	3	9
97	во всех	2	9
98	в результате	7	9
99	только не	10	9
100	по крайней	10	9
101	личности в	9	9
102	тому как	5	9
103	говорит о	5	9
104	говорить о	13	9
105	таким образом	14	9
106	вместе с	3	9
107	я с	2	8
108	перед нами	5	8
109	о чем	2	8
110	не всегда	3	8
111	что он	18	8
112	одной из	3	8
113	и все	17	8
114	этом отношении	2	8
115	хотя и	9	8
116	в основе	6	8
117	дело не	2	8
118	если бы	10	8
119	он и	3	8
120	с точки	25	8
121	с ним	3	8
122	вплоть до	2	7
123	иное как	6	7
124	и тем	3	7
125	от себя	5	7
126	реальности в	2	7
127	место в	2	7
128	в ее	5	7
129	все это	13	7
130	во всяком	5	7
131	одна из	4	7
132	в противоположность	3	7
133	по преимуществу	2	7
134	себя и	3	7
135	несмотря на	2	7
136	как будто	3	7
137	субъекта и	5	7
138	что иное	6	7
139	и для	5	7
140	у него	2	7
141	и является	2	7
142	или иначе	2	7
143	личности и	15	7
144	в одном	3	7
145	таком случае	11	7
146	собственно говоря	5	7
147	однако не	2	7
148	всяком случае	3	7
149	как мы	4	7
150	в таком	15	7
151	не мог	3	7
152	его в	2	6
153	из того	2	6
154	что не	8	6
155	с другим	2	6
156	не что	6	6
157	в силу	5	6
158	от своего	2	6
159	не знает	4	6
160	мере в	3	6
161	в нем	7	6
162	что на	3	6
163	не будет	5	6
164	тем более	5	6
165	или в	4	6
166	и то	7	6
167	хотя бы	9	6
168	то в	5	6
169	из этих	5	6
170	его как	6	6
171	превращается в	6	6
172	же в	2	6
173	во всем	5	6
174	тем не	10	6
175	так или	2	6
176	есть в	4	6
177	о себе	2	6
178	на этом	3	6
179	из которых	4	6
180	из них	4	6
181	по его	2	6
182	вовсе не	18	6
183	не о	6	5
184	и потому	6	5
185	не могут	6	5
186	но как	3	5
187	для себя	2	5
188	совершенно не	6	5
189	так что	11	5
190	самом деле	7	5
191	в один	2	5
192	личность в	3	5
193	в них	6	5
194	и по	2	5
195	все эти	4	5
196	мы не	11	5
197	того и	2	5
198	в первом	2	5
199	я не	11	5
200	и здесь	3	5
201	да и	4	5
202	с их	4	5
203	одно из	8	5
204	к этому	3	5
205	и он	3	5
206	бы быть	2	5
207	с ее	10	5
208	и смерти	2	5
209	в особенности	9	5
210	как о	6	5
211	для того	4	5
212	в этих	3	5
213	тем что	5	5
214	еще и	2	5
215	ни с	4	5
216	ни в	20	5
217	в котором	2	5
218	в слове	3	5
219	все что	3	5
220	что мы	10	5
221	нового времени	2	5
222	в глубине	3	5
223	и ее	8	4
224	как к	2	4
225	а как	2	4
226	были бы	2	4
227	нас к	2	4
228	как он	4	4
229	а именно	7	4
230	только на	8	4
231	была бы	5	4
232	его от	2	4
233	о нем	6	4
234	и о	9	4
235	ко второму	2	4
236	к нему	4	4
237	и что	21	4
238	на себе	4	4
239	потому что	21	4
240	разного рода	2	4
241	так в	2	4
242	в чем	11	4
243	однако что	2	4
244	его не	3	4
245	не предполагает	2	4
246	что же	12	4
247	с ними	3	4
248	и во	3	4
249	воли и	2	4
250	и тогда	6	4
251	то ни	4	4
252	жизнь и	9	4
253	но о	4	4
254	и т	41	4
255	бы и	2	4
256	сказать что	7	4
257	и от	4	4
258	по своему	2	4
259	с этим	4	4
260	но это	10	4
261	что она	13	4
262	бы в	5	4
263	который не	2	4
264	отличается от	9	4
265	об этом	8	4
266	сама по	11	4
267	сознания в	2	4
268	не должно	2	4
269	ее в	3	4
270	мы уже	6	4
271	или иных	2	4
272	строго говоря	2	4
273	в своих	3	4
274	и если	5	4
275	тех или	6	4
276	не было	6	4
277	это и	12	4
278	и есть	24	4
279	в собственном	3	4
280	на самом	2	3
281	только лишь	3	3
282	вопрос о	9	3
283	ни о	8	3
284	от него	2	3
285	когда же	2	3
286	человека и	2	3
287	первых двух	2	3
288	говоря о	3	3
289	ведь это	2	3
290	в виду	12	3
291	к ее	2	3
292	тут же	3	3
293	претендует на	2	3
294	одной и	4	3
295	при таком	2	3
296	всего в	2	3
297	на котором	2	3
298	ведь и	3	3
299	с тем	4	3
300	может и	3	3
301	она не	10	3
302	к этой	2	3
303	тех пор	3	3
304	нас самих	2	3
305	мира и	3	3
306	в ней	4	3
307	уже о	7	3
308	не говоря	6	3
309	быть может	3	3
310	только к	3	3
311	что все	16	3
312	в зависимости	3	3
313	заключается в	3	3
314	связи с	3	3
315	и я	3	3
316	в связи	3	3
317	что они	2	3
318	никто не	4	3
319	случае не	4	3
320	все еще	2	3
321	и больше	5	3
322	как нельзя	3	3
323	бы то	3	3
324	вопрос об	3	3
325	содержит в	2	3
326	для этого	3	3
327	никак не	3	3
328	например в	3	3
329	не от	2	3
330	тех же	2	3
331	и той	4	3
332	независимо от	3	3
333	так как	12	3
334	должно быть	7	3
335	всех этих	3	3
336	о котором	4	3
337	это было	5	3
338	себя самого	4	3
339	зависимости от	4	3
340	и может	2	3
341	тот или	2	3
342	и наконец	2	3
343	в жизни	4	3
344	с этой	7	3
345	и оказывается	2	3
346	себе не	3	3
347	понимать как	4	3
348	смысл и	2	3
349	ни к	3	3
350	ничто не	2	3
351	сами по	3	3
352	они не	3	3
353	при условии	5	3
354	также и	6	3
355	а то	2	3
356	что у	2	3
357	на то	5	3
358	когда он	3	3
359	оно не	7	3
360	и с	10	3
361	если не	3	3
362	тогда когда	9	3
363	мог бы	2	3
364	а для	2	3
365	раз и	3	3
366	жизни и	8	3
367	из этого	3	3
368	сам по	6	3
369	для науки	3	3
370	о личности	5	3
371	не говорит	6	3
372	как на	6	3
373	только одно	4	3
374	быть не	3	3
375	и без	4	3
376	но он	3	3
377	смысла и	3	3
378	и смерть	3	2
379	оно есть	4	2
380	при помощи	6	2
381	от всего	6	2
382	или к	2	2
383	так же	7	2
384	для нас	2	2
385	в процессе	2	2
386	не имеют	2	2
387	в одной	4	2
388	даже не	8	2
389	личности а	3	2
390	и прежде	6	2
391	ни чисто	4	2
392	и эти	2	2
393	что именно	10	2
394	ее и	2	2
395	одних и	2	2
396	к чему	2	2
397	объект и	2	2
398	сама жизнь	3	2
399	и при	4	2
400	это как	3	2
401	когда мы	3	2
402	зрения в	3	2
403	может ли	4	2
404	быть в	4	2
405	быть ни	2	2
406	в разных	2	2
407	то о	2	2
408	как я	2	2
409	условии что	2	2
410	тому что	5	2
411	не приходится	2	2
412	а только	2	2
413	она есть	17	2
414	жизнь в	2	2
415	все его	2	2
416	по законам	2	2
417	что этот	3	2
418	этой точки	4	2
419	грань между	2	2
420	всегда и	4	2
421	и всякого	2	2
422	не видно	2	2
423	личность есть	7	2
424	тогда не	2	2
425	тем или	3	2
426	что даже	2	2
427	по одному	3	2
428	что с	2	2
429	как нечто	2	2
430	в нас	2	2
431	говоря уже	6	2
432	уже и	3	2
433	начало и	2	2
434	по существу	2	2
435	или нет	8	2
436	но зато	2	2
437	одно и	6	2
438	мы видим	4	2
439	что это	20	2
440	миф и	5	2
441	или не	10	2
442	т е	72	2
443	есть ни	14	2
444	то и	5	2
445	утверждать что	6	2
446	я уже	9	2
447	нет ничего	14	2
448	бытия и	5	2
449	к истории	2	2
450	думать что	3	2
451	мы можем	3	2
452	его внутренней	2	2
453	бы это	3	2
454	но лишь	2	2
455	исходит из	2	2
456	своего собственного	2	2
457	и та	4	2
458	в сравнении	6	2
459	и тех	2	2
460	прежде чем	2	2
461	на первый	4	2
462	та же	5	2
463	и вот	13	2
464	в коем	4	2
465	но ведь	2	2
466	у нас	7	2
467	все равно	5	2
468	со всеми	2	2
469	в течение	4	2
470	е о	3	2
471	но они	3	2
472	но если	11	2
473	от его	2	2
474	только его	2	2
475	культуры и	2	2
476	нет и	5	2
477	не имеет	18	2
478	вообще не	3	2
479	в данный	2	2
480	он может	2	2
481	уже по	3	2
482	стало быть	23	2
483	их в	2	2
484	зависит от	4	2
485	не вполне	2	2
486	и мира	4	2
487	свою собственную	2	2
488	коем случае	4	2
489	истории не	2	2
490	но я	2	2
491	личность и	5	2
492	если он	2	2
493	не можем	3	2
494	не могу	2	2
495	сравнении с	5	2
496	учение о	11	2
497	может не	4	2
498	тем кто	2	2
499	субъект и	2	2
500	к другому	2	2
501	мы и	4	2
502	осуществляется в	2	2
503	данный момент	2	2
504	не просто	20	2
505	и только	6	2
506	и сами	2	2
507	не имея	2	2
508	и становится	2	2
509	у меня	2	2
