N	2gram	Nazirov_Tr	Freidism
1	и не	7	34
2	не может	5	30
3	может быть	7	28
4	и в	18	28
5	в этом	9	28
6	прежде всего	4	26
7	в его	3	25
8	и его	6	22
9	как бы	7	19
10	то что	4	17
11	все эти	3	15
12	так и	5	14
13	с ним	3	14
14	и все	4	13
15	в душе	2	13
16	но в	6	13
17	как и	5	13
18	том что	4	12
19	то же	5	12
20	что он	6	12
21	ни в	2	12
22	в самом	2	12
23	для него	3	12
24	все это	4	12
25	его в	2	11
26	никогда не	2	10
27	и с	7	10
28	не только	8	10
29	но и	4	10
30	не в	2	10
31	он не	2	10
32	в том	2	10
33	один из	3	10
34	к нему	3	9
35	уже не	2	9
36	и на	7	9
37	с его	2	9
38	все же	5	8
39	по мнению	2	8
40	еще не	4	8
41	при этом	3	8
42	не могут	2	7
43	до конца	2	7
44	в то	5	7
45	в себе	4	7
46	что в	4	7
47	и ее	2	7
48	отношение к	2	7
49	что все	2	7
50	об этом	4	7
51	в нем	4	7
52	в этой	4	7
53	в таком	2	6
54	к тому	2	6
55	и что	4	6
56	же время	6	6
57	по поводу	2	5
58	что это	5	5
59	ничего не	2	5
60	что она	2	5
61	как это	3	5
62	что и	2	5
63	это не	5	5
64	отнюдь не	3	5
65	в ее	2	5
66	он сам	7	5
67	и до	2	5
68	данном случае	2	4
69	одна из	2	4
70	так же	4	4
71	но это	4	4
72	с ее	3	4
73	в основном	3	4
74	и за	2	4
75	у него	6	4
76	как в	3	4
77	в своем	3	4
78	потому что	2	4
79	личности и	2	4
80	в целом	4	4
81	в данном	2	4
82	я не	4	4
83	и то	2	3
84	в силах	2	3
85	отцом и	2	3
86	на всем	2	3
87	и даже	4	3
88	и как	3	3
89	отца и	2	3
90	а как	2	3
91	он был	2	3
92	не так	2	3
93	о том	2	3
94	это уже	2	3
95	в одном	2	3
96	ребенка в	2	3
97	уже в	3	3
98	раз и	2	3
99	говорит о	2	3
100	и сам	3	3
101	под влиянием	2	3
102	во сне	2	3
103	вопрос о	2	2
104	нет в	2	2
105	с первого	2	2
106	бы и	2	2
107	должно быть	3	2
108	в глаза	2	2
109	в отличие	2	2
110	в конце	3	2
111	друг друга	2	2
112	в поле	3	2
113	ничем не	2	2
114	отличие от	2	2
115	в мире	3	2
116	не имеет	2	2
117	даже если	2	2
118	но все	2	2
119	он и	2	2
120	мог бы	3	2
121	что с	3	2
122	только о	2	2
123	в первом	2	2
124	в дальнейшем	5	2
125	чем он	2	2
