N	2gram	Nazirov_Vr	formyVre
1	и в	8	148
2	в этом	8	73
3	в романе	6	58
4	в нем	6	51
5	и не	5	37
6	в его	3	36
7	и его	3	36
8	но и	7	33
9	то же	5	32
10	не только	9	32
11	но в	6	31
12	может быть	4	27
13	как и	6	25
14	как бы	4	25
15	точки зрения	2	24
16	в то	5	23
17	человека в	3	23
18	то что	7	22
19	в том	3	22
20	связи с	3	21
21	же время	5	21
22	в своем	3	19
23	у него	5	18
24	и все	7	18
25	еще не	2	18
26	таким образом	2	18
27	при этом	4	17
28	все же	6	16
29	и во	3	16
30	в связи	3	16
31	не может	2	16
32	никогда не	2	15
33	в них	2	15
34	с точки	2	15
35	с его	3	15
36	вместе с	2	15
37	так же	4	14
38	все это	4	14
39	и как	3	14
40	в конце	3	14
41	и с	6	14
42	как раз	2	14
43	а в	2	13
44	же в	2	13
45	во время	2	13
46	в котором	6	13
47	с ним	4	13
48	отнюдь не	2	12
49	в истории	4	12
50	не было	5	12
51	он не	3	12
52	что в	7	12
53	его в	3	11
54	и у	3	11
55	в ней	4	11
56	из них	2	11
57	уже в	4	11
58	уже не	2	10
59	на основе	2	10
60	к себе	2	9
61	наряду с	3	9
62	том что	3	9
63	и даже	6	9
64	и это	2	9
65	для него	2	9
66	их в	2	9
67	отношения к	2	9
68	это не	4	8
69	отношение к	2	8
70	в роман	2	8
71	и т.п	2	8
72	и то	2	8
73	а также	2	8
74	в этот	3	8
75	в мире	2	8
76	рядом с	2	8
77	в виду	4	8
78	в себе	2	7
79	том же	2	7
80	в той	2	7
81	место в	2	7
82	к этому	3	7
83	и он	2	7
84	к ним	2	7
85	но он	3	7
86	и ее	2	6
87	в начале	6	6
88	на первый	2	6
89	о том	4	6
90	время и	2	6
91	о чем	2	5
92	в него	2	5
93	в этой	2	5
94	в своей	2	5
95	в это	2	5
96	об этом	5	5
97	тем что	3	5
98	далеко не	3	5
99	и уже	3	5
100	так в	2	4
101	его на	2	4
102	что он	4	4
103	и о	3	4
104	в чем	3	4
105	мотивы и	2	4
106	у достоевского	4	4
107	он был	3	4
108	тем более	2	4
109	раз в	3	4
110	в своих	4	4
111	несмотря на	4	4
112	но это	2	3
113	же как	2	3
114	одна из	2	3
115	и детей	4	3
116	целый ряд	4	3
117	его и	2	3
118	что есть	3	3
119	в свою	2	3
120	не мог	2	3
121	начиная с	2	2
122	имел в	3	2
123	после этого	2	2
124	на место	2	2
125	п в	2	2
126	но как	2	2
127	с нею	2	2
128	этот момент	2	2
129	в честь	2	2
130	его с	2	2
131	в париже	3	2
132	достоевского в	7	2
133	для нас	4	2
134	человека с	2	2
135	что у	3	2
136	и стал	2	2
137	там же	2	2
138	во многом	4	2
139	я не	3	2
140	он сам	2	2
