N	2gram	Bakhtin_Pr	Sovremen
1	не может	27	17
2	точки зрения	8	12
3	может быть	26	12
4	таким образом	10	11
5	в каждом	2	8
6	не можем	2	7
7	и в	38	7
8	в этом	15	7
9	и не	42	6
10	ничего не	6	6
11	как и	7	6
12	мы можем	6	6
13	с точки	6	5
14	все эти	5	5
15	и наконец	6	5
16	прежде всего	13	5
17	нет и	3	4
18	это не	5	4
19	не только	9	4
20	в том	8	4
21	мы должны	2	4
22	как бы	22	4
23	в дальнейшем	3	4
24	в целом	3	4
25	а в	6	4
26	с помощью	7	4
27	он может	2	3
28	и потому	4	3
29	но в	4	3
30	при этом	5	3
31	не в	7	3
32	все же	6	3
33	было бы	8	3
34	в области	11	3
35	в себе	4	3
36	еще не	7	3
37	одна из	2	3
38	у нас	2	3
39	и все	3	3
40	все это	3	3
41	в нем	15	3
42	а не	5	3
43	и к	3	3
44	то же	5	3
45	отличается от	2	3
46	отнюдь не	19	3
47	ясно что	3	3
48	ли мы	3	3
49	принципиально не	4	2
50	может иметь	5	2
51	с совершенно	2	2
52	о значении	4	2
53	же самое	2	2
54	что все	2	2
55	не менее	4	2
56	дает нам	2	2
57	не могут	2	2
58	в его	43	2
59	к чему	2	2
60	он должен	2	2
61	и пр	2	2
62	и что	2	2
63	и во	2	2
64	приводит к	3	2
65	в самом	7	2
66	она может	3	2
67	и есть	2	2
68	в виде	2	2
69	что в	7	2
70	совершенно не	7	2
71	ни одна	2	2
72	в таком	3	2
73	в некоторых	2	2
74	самом деле	6	2
75	со всеми	3	2
76	в свою	2	2
77	то ни	3	2
78	в нашем	4	2
79	не будем	3	2
80	могут быть	5	2
81	в отличие	5	2
82	отличие от	5	2
83	представлять себе	4	2
84	с одной	3	2
85	на этом	2	2
86	как мы	7	2
87	говорить о	3	2
88	не дает	2	2
89	что это	2	2
90	или иной	2	2
91	тем не	3	2
92	из которых	2	2
93	и даже	3	2
94	и именно	2	2
