N	2gram	Tiupa_Anal	Russkaja
1	не может	3	22
2	и не	14	19
3	в том	16	17
4	в этом	19	17
5	и в	36	14
6	то что	5	13
7	самим собой	3	12
8	точки зрения	3	11
9	то же	7	11
10	таким образом	4	11
11	в то	8	10
12	но и	26	10
13	же время	7	10
14	не только	40	9
15	том что	19	9
16	церкви и	2	9
17	может быть	19	9
18	в себе	7	9
19	с точки	2	9
20	во всяком	6	9
21	прежде всего	7	8
22	к тому	10	7
23	о том	9	7
24	в данном	12	7
25	и если	2	7
26	не будет	3	7
27	отнюдь не	7	7
28	ни к	3	7
29	самом деле	2	7
30	с тем	2	6
31	если в	3	6
32	и для	4	6
33	для всех	5	6
34	в своих	3	6
35	и к	7	6
36	если бы	2	6
37	всяком случае	6	6
38	все это	5	6
39	что он	5	6
40	в своем	7	6
41	для него	8	6
42	или иной	9	5
43	а в	17	5
44	было бы	6	5
45	из которых	2	5
46	и на	5	5
47	при этом	19	5
48	в нем	3	5
49	жизни в	4	5
50	в своей	12	5
51	себя и	2	5
52	только в	9	5
53	никогда не	7	5
54	он не	9	5
55	между тем	8	5
56	во всех	4	5
57	и то	2	4
58	что в	15	4
59	но не	13	4
60	его в	4	4
61	все же	6	4
62	себя в	6	4
63	не могут	2	4
64	к этой	2	4
65	не в	9	4
66	как и	27	4
67	в мире	17	4
68	как бы	14	4
69	все что	2	4
70	можно было	2	4
71	путь к	4	4
72	а лишь	2	4
73	приводит к	5	4
74	и т.д	3	4
75	жизни и	2	4
76	в его	12	4
77	со стороны	12	4
78	в их	7	4
79	во всем	5	4
80	в этой	10	4
81	вместе с	3	4
82	одной из	6	3
83	данном случае	11	3
84	да и	3	3
85	все они	2	3
86	одна из	6	3
87	том чтобы	2	3
88	о котором	2	3
89	в большинстве	2	3
90	с нею	2	3
91	о которых	2	3
92	именно в	4	3
93	из этих	4	3
94	только к	2	3
95	не есть	6	3
96	и потому	3	3
97	при условии	2	3
98	в другом	3	3
99	в значительной	3	3
100	в конце	6	3
101	из них	4	3
102	в самом	7	3
103	и как	5	3
104	несмотря на	2	3
105	что и	10	3
106	или в	4	3
107	сводится к	5	3
108	лишь в	9	3
109	он сам	2	3
110	таким же	4	3
111	говорить о	6	3
112	той или	6	3
113	и по	3	3
114	еще не	7	3
115	того что	4	3
116	в качестве	22	3
117	что они	3	3
118	не было	3	3
119	тем что	3	3
120	то в	4	3
121	не о	2	2
122	этой роли	2	2
123	любви к	2	2
124	и от	3	2
125	не так	2	2
126	с этим	4	2
127	в таких	2	2
128	тем самым	8	2
129	были бы	3	2
130	или иного	5	2
131	ее в	2	2
132	для себя	2	2
133	указывает на	3	2
134	она не	3	2
135	но в	8	2
136	того или	6	2
137	на себя	5	2
138	на почве	3	2
139	в начале	10	2
140	сама по	3	2
141	состоит в	14	2
142	в ней	2	2
143	в единое	3	2
144	на эту	2	2
145	уже не	9	2
146	на которой	2	2
147	время в	2	2
148	в результате	6	2
149	по отношению	9	2
150	с самим	3	2
151	по воле	3	2
152	в силу	2	2
153	и даже	12	2
154	а не	16	2
155	по себе	6	2
156	мы можем	2	2
157	речь идет	3	2
158	место в	4	2
159	в борьбе	2	2
160	от своей	2	2
161	и тем	3	2
162	и является	3	2
163	к чему	2	2
164	и вот	2	2
165	тогда как	37	2
166	и что	2	2
167	но это	3	2
168	все эти	2	2
169	совершенно не	3	2
170	а с	2	2
171	совершенно очевидно	2	2
172	в этих	2	2
173	в частности	19	2
174	в таком	2	2
175	так что	2	2
176	во время	2	2
177	противоречие с	2	2
178	во многих	2	2
179	отношения к	6	2
180	в противоречие	2	2
181	с ним	2	2
182	в глазах	6	2
183	у него	2	2
184	видеть в	2	2
185	не должен	2	2
186	мы уже	2	2
