N	2gram	Bakhtin_Fr	RusskieA
1	и в	105	79
2	в том	17	64
3	том что	9	59
4	что в	4	57
5	не только	24	41
6	во время	14	38
7	так как	11	34
8	в этом	22	33
9	и другие	10	33
10	как бы	33	31
11	но и	20	31
12	новый год	2	30
13	в других	3	30
14	как и	15	28
15	может быть	11	28
16	и на	25	28
17	одна из	5	24
18	о том	5	23
19	при этом	10	22
20	это не	4	20
21	как мы	12	20
22	а в	4	20
23	там же	2	20
24	из них	7	19
25	все это	16	18
26	потому что	6	17
27	то что	7	17
28	об этом	2	17
29	таким образом	5	17
30	во многих	2	16
31	один из	5	15
32	в xix	2	14
33	мы видели	3	14
34	для нас	5	14
35	не менее	2	14
36	в них	13	14
37	и не	34	14
38	и с	8	14
39	и по	3	13
40	к этому	2	13
41	не может	9	13
42	еще не	8	13
43	как в	6	13
44	уже не	3	13
45	в день	3	13
46	в некоторых	2	13
47	тем что	5	12
48	а затем	4	11
49	но это	5	11
50	далеко не	6	11
51	его в	7	10
52	и других	6	10
53	так и	16	10
54	по существу	2	10
55	так например	3	10
56	между тем	5	10
57	все же	10	10
58	что и	2	10
59	нового года	2	10
60	в течение	3	10
61	или в	2	10
62	о чем	3	9
63	но в	16	9
64	к жизни	2	9
65	и все	7	9
66	что они	2	9
67	с ней	2	9
68	то же	6	9
69	в г	3	9
70	но не	7	9
71	земли и	5	9
72	так же	2	8
73	и обрядов	2	8
74	того что	3	8
75	одно из	7	8
76	того чтобы	3	8
77	их в	3	8
78	же в	4	8
79	связи с	5	8
80	представление о	2	8
81	как например	2	8
82	во всех	13	8
83	подобно тому	2	8
84	ее в	2	8
85	для того	2	8
86	в этих	6	8
87	что по	2	8
88	тому как	2	8
89	в своем	11	7
90	мы должны	2	7
91	а и	2	7
92	ничего не	3	7
93	начиная с	2	7
94	в свете	3	7
95	не в	4	7
96	главным образом	6	7
97	к нему	5	7
98	на них	3	7
99	было бы	4	7
100	до конца	4	7
101	из этих	7	7
102	в это	2	7
103	и как	2	7
104	это время	2	7
105	еще в	3	7
106	только в	16	7
107	связанные с	2	7
108	этого праздника	3	6
109	в этой	11	6
110	должно было	2	6
111	и их	3	6
112	и у	7	6
113	друг друга	3	6
114	на этом	2	6
115	в их	6	6
116	игра в	2	6
117	только на	3	6
118	она не	2	6
119	к тому	3	6
120	в нем	16	6
121	так в	4	6
122	в году	13	6
123	с ними	2	6
124	все эти	15	6
125	связаны с	5	6
126	а иногда	2	6
127	в одном	8	6
128	и о	4	6
129	должен был	2	6
130	на земле	3	6
131	но они	4	6
132	и пр	5	6
133	и более	4	6
134	в обряде	3	6
135	приводит к	2	6
136	в таком	2	6
137	на самом	6	5
138	и потому	14	5
139	в тех	5	5
140	вплоть до	2	5
141	к себе	3	5
142	на новый	2	5
143	что он	5	5
144	прежде всего	26	5
145	и др	32	5
146	в разных	2	5
147	в праздник	3	5
148	в то	5	5
149	в целом	3	5
150	для них	2	5
151	в связи	2	5
152	там где	3	5
153	не было	3	5
154	например в	3	5
155	тот же	4	5
156	в его	24	5
157	по поводу	2	5
158	можно было	4	5
159	в особенности	7	5
160	в целях	2	5
161	обряды и	2	5
162	и для	3	5
163	с другой	3	5
164	входит в	4	5
165	и к	7	5
166	или даже	2	5
167	с ним	6	5
168	мы уже	18	5
169	в таких	2	4
170	некоторые из	3	4
171	влияние на	8	4
172	под названием	3	4
173	связано с	2	4
174	здесь мы	2	4
175	своего рода	2	4
176	в основном	4	4
177	отличие от	5	4
178	могут быть	4	4
179	на землю	3	4
180	и до	6	4
181	не на	2	4
182	во всей	4	4
183	во всяком	2	4
184	в основе	8	4
185	этого момента	2	4
186	и от	3	4
187	по своему	9	4
188	связанных с	4	4
189	к ней	2	4
190	несмотря на	5	4
191	за ним	2	4
192	и здесь	4	4
193	не просто	3	4
194	кроме того	2	4
195	та же	2	4
196	и многие	2	4
197	в отличие	4	4
198	в народном	2	4
199	но все	5	4
200	что для	3	4
201	именно в	6	4
202	в своих	8	4
203	этот вопрос	2	4
204	уже в	5	4
205	в ней	7	4
206	которое в	2	4
207	всяком случае	2	4
208	во всем	5	4
209	на этой	5	4
210	но он	5	4
211	никогда не	11	3
212	всех этих	10	3
213	его к	2	3
214	смерти и	6	3
215	в форме	6	3
216	них как	2	3
217	то есть	71	3
218	не во	2	3
219	есть и	2	3
220	на других	2	3
221	это и	3	3
222	в виду	5	3
223	на все	5	3
224	и смех	5	3
225	мы здесь	4	3
226	представления о	3	3
227	и иногда	2	3
228	они были	6	3
229	и это	3	3
230	обрядов и	2	3
231	точки зрения	10	3
232	связь с	8	3
233	и обряды	4	3
234	где они	3	3
235	большинстве случаев	2	3
236	в области	10	3
237	в какой	2	3
238	в ее	5	3
239	и во	6	3
240	в своей	8	3
241	он был	3	3
242	смерти в	2	3
243	значение и	3	3
244	нет и	2	3
245	место в	4	3
246	вся эта	4	3
247	хотя и	4	3
248	имеет место	2	3
249	это в	5	3
250	по отношению	2	3
251	и еще	5	3
252	из наиболее	2	3
253	на него	2	3
254	в эту	6	3
255	можно говорить	3	3
256	жизни в	8	3
257	отношению к	2	3
258	сих пор	7	3
259	что касается	3	3
260	жизнь и	3	3
261	с одной	2	3
262	есть в	6	3
263	на этот	3	3
264	думать что	2	3
265	еще далеко	2	3
266	не к	2	3
267	на то	2	3
268	все что	2	3
269	своей книге	3	3
270	других праздников	2	3
271	и этим	2	3
272	из которых	2	3
273	на весь	3	3
274	же деле	3	3
275	к числу	2	3
276	с точки	6	3
